year,quintil_oecd_hh,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.11806,170,1411,0.10121,0.13490
1996,1st Quintile,No,0.88194,1241,1411,0.86510,0.89879
1996,2nd Quintile,Yes,0.12946,202,1401,0.11187,0.14704
1996,2nd Quintile,No,0.87054,1199,1401,0.85296,0.88813
1996,3rd Quintile,Yes,0.13174,207,1394,0.11398,0.14950
1996,3rd Quintile,No,0.86826,1187,1394,0.85050,0.88602
1996,4th Quintile,Yes,0.15711,218,1298,0.13731,0.17692
1996,4th Quintile,No,0.84289,1080,1298,0.82308,0.86269
1996,5th Quintile,Yes,0.11830,148,1122,0.09939,0.13721
1996,5th Quintile,No,0.88170,974,1122,0.86279,0.90061
2001,1st Quintile,Yes,0.15151,356,2231,0.13663,0.16639
2001,1st Quintile,No,0.84849,1875,2231,0.83361,0.86337
2001,2nd Quintile,Yes,0.15125,435,2460,0.13708,0.16541
2001,2nd Quintile,No,0.84875,2025,2460,0.83459,0.86292
2001,3rd Quintile,Yes,0.15543,428,2436,0.14104,0.16982
2001,3rd Quintile,No,0.84457,2008,2436,0.83018,0.85896
2001,4th Quintile,Yes,0.14727,395,2369,0.13299,0.16154
2001,4th Quintile,No,0.85273,1974,2369,0.83846,0.86701
2001,5th Quintile,Yes,0.14345,346,2181,0.12873,0.15816
2001,5th Quintile,No,0.85655,1835,2181,0.84184,0.87127
2006,1st Quintile,Yes,0.15273,342,2096,0.13733,0.16814
2006,1st Quintile,No,0.84727,1754,2096,0.83186,0.86267
2006,2nd Quintile,Yes,0.15498,403,2222,0.13993,0.17003
2006,2nd Quintile,No,0.84502,1819,2222,0.82997,0.86007
2006,3rd Quintile,Yes,0.15722,424,2387,0.14262,0.17183
2006,3rd Quintile,No,0.84278,1963,2387,0.82817,0.85738
2006,4th Quintile,Yes,0.14629,419,2493,0.13241,0.16016
2006,4th Quintile,No,0.85371,2074,2493,0.83984,0.86759
2006,5th Quintile,Yes,0.14240,505,3061,0.13001,0.15478
2006,5th Quintile,No,0.85760,2556,3061,0.84522,0.86999
2011,1st Quintile,Yes,0.11149,354,2255,0.09850,0.12448
2011,1st Quintile,No,0.75601,1901,2255,0.73827,0.77374
2011,2nd Quintile,Yes,0.13119,378,2239,0.11720,0.14518
2011,2nd Quintile,No,0.77029,1861,2239,0.75286,0.78772
2011,3rd Quintile,Yes,0.15494,458,2375,0.14039,0.16950
2011,3rd Quintile,No,0.77832,1917,2375,0.76161,0.79503
2011,4th Quintile,Yes,0.14903,412,2436,0.13488,0.16317
2011,4th Quintile,No,0.80047,2024,2436,0.78460,0.81634
2011,5th Quintile,Yes,0.15753,506,2776,0.14398,0.17109
2011,5th Quintile,No,0.80762,2270,2776,0.79296,0.82229
2016,1st Quintile,Yes,0.13793,536,3096,0.12578,0.15008
2016,1st Quintile,No,0.83575,2560,3096,0.82270,0.84881
2016,2nd Quintile,Yes,0.16614,604,3041,0.15291,0.17937
2016,2nd Quintile,No,0.83386,2437,3041,0.82063,0.84709
2016,3rd Quintile,Yes,0.16948,527,2743,0.15543,0.18352
2016,3rd Quintile,No,0.83052,2216,2743,0.81648,0.84457
2016,4th Quintile,Yes,0.15298,480,2662,0.13931,0.16666
2016,4th Quintile,No,0.84702,2182,2662,0.83334,0.86069
2016,5th Quintile,Yes,0.15045,452,2755,0.13710,0.16380
2016,5th Quintile,No,0.84955,2303,2755,0.83620,0.86290
2021,1st Quintile,Yes,0.14729,355,2042,0.13191,0.16266
2021,1st Quintile,No,0.81170,1687,2042,0.79474,0.82866
2021,2nd Quintile,Yes,0.17020,451,2184,0.15444,0.18597
2021,2nd Quintile,No,0.82309,1733,2184,0.80708,0.83909
2021,3rd Quintile,Yes,0.17222,419,2024,0.15577,0.18867
2021,3rd Quintile,No,0.82606,1605,2024,0.80954,0.84258
2021,4th Quintile,Yes,0.17234,394,2078,0.15610,0.18858
2021,4th Quintile,No,0.82677,1684,2078,0.81049,0.84304
2021,5th Quintile,Yes,0.15350,479,2709,0.13992,0.16707
2021,5th Quintile,No,0.84234,2230,2709,0.82861,0.85606
