,Unnamed: 0,year,bula_h,sampreg,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,West,No,1.0,127,6580,0.90367,1.09744
1,1,1996,Hamburg,West,No,1.0,72,6580,0.85322,1.13292
2,2,1996,Lower Saxony,West,Yes,0.11081,60,6580,0.09354,0.13034
3,3,1996,Lower Saxony,West,No,0.88919,471,6580,0.83752,0.93664
4,4,1996,Bremen,West,No,1.0,46,6580,0.84961,1.17283
5,5,1996,North Rhine-Westphalia,West,Yes,0.10851,141,6580,0.09582,0.11973
6,6,1996,North Rhine-Westphalia,West,No,0.89149,1148,6580,0.84884,0.92907
7,7,1996,Hesse,West,Yes,0.12217,50,6580,0.09856,0.15163
8,8,1996,Hesse,West,No,0.87783,417,6580,0.81496,0.94784
9,9,1996,"Rhineland-Palatinate, Saarland",West,Yes,0.16411,58,6580,0.14175,0.18798
10,10,1996,"Rhineland-Palatinate, Saarland",West,No,0.83589,289,6580,0.77399,0.9036
11,11,1996,Baden-Wuerttemberg,West,Yes,0.11444,94,6580,0.09936,0.12967
12,12,1996,Baden-Wuerttemberg,West,No,0.88556,746,6580,0.83469,0.94385
13,13,1996,Bavaria,West,Yes,0.12388,119,6580,0.11247,0.13435
14,14,1996,Bavaria,West,No,0.87612,742,6580,0.82781,0.92966
15,15,1996,Berlin,West,Yes,0.19457,32,6580,0.15697,0.23134
16,16,1996,Berlin,West,No,0.80543,143,6580,0.72362,0.8956
17,17,1996,Berlin,East,No,1.0,122,6580,0.90762,1.09734
18,18,1996,Brandenburg,East,Yes,0.2319,72,6580,0.2034,0.26065
19,19,1996,Brandenburg,East,No,0.7681,228,6580,0.72124,0.82772
20,20,1996,Mecklenburg-Western Pomerania,East,Yes,0.22179,43,6580,0.18412,0.25954
21,21,1996,Mecklenburg-Western Pomerania,East,No,0.77821,156,6580,0.70884,0.84401
22,22,1996,Saxony,East,Yes,0.16677,101,6580,0.14734,0.1882
23,23,1996,Saxony,East,No,0.83323,447,6580,0.79015,0.88459
24,24,1996,Saxony-Anhalt,East,Yes,0.17495,59,6580,0.14624,0.1973
25,25,1996,Saxony-Anhalt,East,No,0.82505,271,6580,0.76204,0.88868
26,26,1996,Thuringa,East,Yes,0.16488,65,6580,0.14466,0.18898
27,27,1996,Thuringa,East,No,0.83512,261,6580,0.77619,0.90055
28,28,2001,Schleswig-Holstein,West,Yes,0.14088,56,11620,0.12134,0.16434
