year,quintil_oecd_hh,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,Yes,0.18240,56,233,0.13271,0.23209
1996,1st Quintile,Owner,No,0.81760,177,233,0.76791,0.86729
1996,1st Quintile,Tenant,Yes,0.10124,114,1178,0.08400,0.11847
1996,1st Quintile,Tenant,No,0.89876,1064,1178,0.88153,0.91600
1996,2nd Quintile,Owner,Yes,0.20454,107,415,0.16568,0.24340
1996,2nd Quintile,Owner,No,0.79546,308,415,0.75660,0.83432
1996,2nd Quintile,Tenant,Yes,0.09244,95,986,0.07435,0.11053
1996,2nd Quintile,Tenant,No,0.90756,891,986,0.88947,0.92565
1996,3rd Quintile,Owner,Yes,0.17117,127,541,0.13940,0.20294
1996,3rd Quintile,Owner,No,0.82883,414,541,0.79706,0.86060
1996,3rd Quintile,Tenant,Yes,0.10556,80,853,0.08493,0.12619
1996,3rd Quintile,Tenant,No,0.89444,773,853,0.87381,0.91507
1996,4th Quintile,Owner,Yes,0.17568,126,581,0.14470,0.20665
1996,4th Quintile,Owner,No,0.82432,455,581,0.79335,0.85530
1996,4th Quintile,Tenant,Yes,0.13965,92,717,0.11426,0.16504
1996,4th Quintile,Tenant,No,0.86035,625,717,0.83496,0.88574
1996,5th Quintile,Owner,Yes,0.12774,96,624,0.10153,0.15395
1996,5th Quintile,Owner,No,0.87226,528,624,0.84605,0.89847
1996,5th Quintile,Tenant,Yes,0.10489,52,498,0.07795,0.13183
1996,5th Quintile,Tenant,No,0.89511,446,498,0.86817,0.92205
2001,1st Quintile,Owner,Yes,0.27614,120,394,0.23194,0.32035
2001,1st Quintile,Owner,No,0.72386,274,394,0.67965,0.76806
2001,1st Quintile,Tenant,Yes,0.12694,236,1837,0.11171,0.14217
2001,1st Quintile,Tenant,No,0.87306,1601,1837,0.85783,0.88829
2001,2nd Quintile,Owner,Yes,0.22355,238,912,0.19650,0.25061
2001,2nd Quintile,Owner,No,0.77645,674,912,0.74939,0.80350
2001,2nd Quintile,Tenant,Yes,0.11344,197,1548,0.09764,0.12924
2001,2nd Quintile,Tenant,No,0.88656,1351,1548,0.87076,0.90236
2001,3rd Quintile,Owner,Yes,0.21638,284,1169,0.19276,0.23999
2001,3rd Quintile,Owner,No,0.78362,885,1169,0.76001,0.80724
2001,3rd Quintile,Tenant,Yes,0.10766,144,1267,0.09059,0.12473
2001,3rd Quintile,Tenant,No,0.89234,1123,1267,0.87527,0.90941
2001,4th Quintile,Owner,Yes,0.17635,265,1331,0.15587,0.19684
2001,4th Quintile,Owner,No,0.82365,1066,1331,0.80316,0.84413
2001,4th Quintile,Tenant,Yes,0.11558,130,1038,0.09612,0.13504
2001,4th Quintile,Tenant,No,0.88442,908,1038,0.86496,0.90388
2001,5th Quintile,Owner,Yes,0.15638,260,1461,0.13775,0.17501
2001,5th Quintile,Owner,No,0.84362,1201,1461,0.82499,0.86225
2001,5th Quintile,Tenant,Yes,0.12049,86,720,0.09669,0.14428
2001,5th Quintile,Tenant,No,0.87951,634,720,0.85572,0.90331
2006,1st Quintile,Owner,Yes,0.22801,90,354,0.18424,0.27177
2006,1st Quintile,Owner,No,0.77199,264,354,0.72823,0.81576
2006,1st Quintile,Tenant,Yes,0.13898,252,1742,0.12273,0.15523
2006,1st Quintile,Tenant,No,0.86102,1490,1742,0.84477,0.87727
2006,2nd Quintile,Owner,Yes,0.20009,189,805,0.17243,0.22774
2006,2nd Quintile,Owner,No,0.79991,616,805,0.77226,0.82757
2006,2nd Quintile,Tenant,Yes,0.13419,214,1417,0.11643,0.15194
2006,2nd Quintile,Tenant,No,0.86581,1203,1417,0.84806,0.88357
2006,3rd Quintile,Owner,Yes,0.19495,263,1191,0.17244,0.21746
2006,3rd Quintile,Owner,No,0.80505,928,1191,0.78254,0.82756
2006,3rd Quintile,Tenant,Yes,0.12664,161,1195,0.10778,0.14551
2006,3rd Quintile,Tenant,No,0.87336,1034,1195,0.85449,0.89222
2006,4th Quintile,Owner,Yes,0.16496,276,1485,0.14607,0.18384
2006,4th Quintile,Owner,No,0.83504,1209,1485,0.81616,0.85393
2006,4th Quintile,Tenant,Yes,0.12474,143,1008,0.10433,0.14515
2006,4th Quintile,Tenant,No,0.87526,865,1008,0.85485,0.89567
2006,5th Quintile,Owner,Yes,0.15913,385,2167,0.14372,0.17453
2006,5th Quintile,Owner,No,0.84087,1782,2167,0.82547,0.85628
2006,5th Quintile,Tenant,Yes,0.11507,120,893,0.09413,0.13601
2006,5th Quintile,Tenant,No,0.88493,773,893,0.86399,0.90587
2011,1st Quintile,Owner,Yes,0.18445,81,383,0.14556,0.22335
2011,1st Quintile,Owner,No,0.81555,302,383,0.77665,0.85444
2011,1st Quintile,Tenant,Yes,0.11712,273,1872,0.10255,0.13169
2011,1st Quintile,Tenant,No,0.88288,1599,1872,0.86831,0.89745
2011,2nd Quintile,Owner,Yes,0.16688,178,861,0.14196,0.19180
2011,2nd Quintile,Owner,No,0.83312,683,861,0.80820,0.85804
2011,2nd Quintile,Tenant,Yes,0.13301,200,1378,0.11508,0.15095
2011,2nd Quintile,Tenant,No,0.86699,1178,1378,0.84905,0.88492
2011,3rd Quintile,Owner,Yes,0.19590,282,1232,0.17373,0.21807
2011,3rd Quintile,Owner,No,0.80410,950,1232,0.78193,0.82627
2011,3rd Quintile,Tenant,Yes,0.13680,176,1143,0.11687,0.15673
2011,3rd Quintile,Tenant,No,0.86320,967,1143,0.84327,0.88313
2011,4th Quintile,Owner,Yes,0.17982,274,1470,0.16018,0.19946
2011,4th Quintile,Owner,No,0.82018,1196,1470,0.80054,0.83982
2011,4th Quintile,Tenant,Yes,0.12578,138,966,0.10486,0.14671
2011,4th Quintile,Tenant,No,0.87422,828,966,0.85329,0.89514
2011,5th Quintile,Owner,Yes,0.17307,382,1998,0.15648,0.18966
2011,5th Quintile,Owner,No,0.82693,1616,1998,0.81034,0.84352
2011,5th Quintile,Tenant,Yes,0.14245,124,778,0.11787,0.16702
2011,5th Quintile,Tenant,No,0.85755,654,778,0.83298,0.88213
2016,1st Quintile,Owner,Yes,0.18433,95,396,0.14609,0.22257
2016,1st Quintile,Owner,No,0.81567,301,396,0.77743,0.85391
2016,1st Quintile,Tenant,Yes,0.13436,441,2699,0.12149,0.14723
2016,1st Quintile,Tenant,No,0.86564,2258,2699,0.85277,0.87851
2016,2nd Quintile,Owner,Yes,0.21557,277,1026,0.19039,0.24074
2016,2nd Quintile,Owner,No,0.78443,749,1026,0.75926,0.80961
2016,2nd Quintile,Tenant,Yes,0.13798,327,2015,0.12292,0.15305
