"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","1110.62","1073.5","2925","1085.46","1135.78"
"1984","35-65 Jahre alt","1541.15","1431.5","4140","1512.63","1569.67"
"1984","66 und älter","782.97","366.5","50","437.7","1128.24"
"1985","16-34 Jahre alt","1100.2","1111.5","2679","1076.16","1124.24"
"1985","35-65 Jahre alt","1572.95","1468.5","3760","1543.32","1602.58"
"1985","66 und älter","832.22","334.5","48","452.66","1211.78"
"1986","16-34 Jahre alt","1142.53","1124.5","2667","1116.47","1168.59"
"1986","35-65 Jahre alt","1645","1532.5","3574","1612.79","1677.21"
"1986","66 und älter","835.56","299.5","31","431.5","1239.62"
"1987","16-34 Jahre alt","1171.9","1175.5","2678","1142.96","1200.84"
"1987","35-65 Jahre alt","1653.05","1533.5","3550","1620.69","1685.41"
"1987","66 und älter","1020.76","274","36","555.26","1486.26"
"1988","16-34 Jahre alt","1239.04","1226.5","2557","1209.98","1268.1"
"1988","35-65 Jahre alt","1718.88","1581","3371","1684.26","1753.5"
"1988","66 und älter","1304.32","412","35","617.37","1991.27"
"1989","16-34 Jahre alt","1288.98","1277.5","2575","1259.75","1318.21"
"1989","35-65 Jahre alt","1797.54","1646.5","3246","1759.62","1835.46"
"1989","66 und älter","1424.17","975","36","840.59","2007.75"
"1990","16-34 Jahre alt","1148.86","1097","3918","1125.19","1172.53"
"1990","35-65 Jahre alt","1544.84","1431.5","5208","1515.63","1574.05"
"1990","66 und älter","1092.42","741.5","49","597.37","1587.47"
"1991","16-34 Jahre alt","1258.86","1175.5","3690","1234.29","1283.43"
"1991","35-65 Jahre alt","1664.82","1533.5","4967","1634.77","1694.87"
"1991","66 und älter","965.76","713.5","39","583.97","1347.55"
"1992","16-34 Jahre alt","1397.41","1354.5","3410","1371.37","1423.45"
"1992","35-65 Jahre alt","1865.26","1683","4681","1833.8","1896.72"
"1992","66 und älter","","","","",""
"1993","16-34 Jahre alt","1510.4","1460","3342","1481.51","1539.29"
"1993","35-65 Jahre alt","2027.41","1789.5","4517","1990.21","2064.61"
"1993","66 und älter","","","","",""
"1994","16-34 Jahre alt","1582.89","1533","3184","1552.7","1613.08"
"1994","35-65 Jahre alt","2091.16","1891.5","4347","2051.76","2130.56"
"1994","66 und älter","","","","",""
"1995","16-34 Jahre alt","1606.59","1584.5","3282","1570.98","1642.2"
"1995","35-65 Jahre alt","2155.43","1942.5","4539","2109.83","2201.03"
"1995","66 und älter","1131.82","511.5","32","672.64","1591"
"1996","16-34 Jahre alt","1716.49","1634.5","3121","1675.53","1757.45"
"1996","35-65 Jahre alt","2259.97","2043","4471","2217.7","2302.24"
"1996","66 und älter","1140.97","843.5","38","728.05","1553.89"
"1997","16-34 Jahre alt","1702.84","1638","3007","1667.57","1738.11"
"1997","35-65 Jahre alt","2286.8","2044.5","4353","2246.59","2327.01"
"1997","66 und älter","1315.24","1168","37","951.31","1679.17"
"1998","16-34 Jahre alt","1686.43","1635","3142","1650.18","1722.68"
"1998","35-65 Jahre alt","2311.99","2093.5","4946","2275.31","2348.67"
"1998","66 und älter","1127.25","844","41","801.44","1453.06"
"1999","16-34 Jahre alt","1652.23","1635.5","3101","1616.36","1688.1"
"1999","35-65 Jahre alt","2351.04","2095.5","4912","2311.15","2390.93"
"1999","66 und älter","1309.88","920.5","45","886.56","1733.2"
"2000","16-34 Jahre alt","1721.92","1677.5","4668","1688.82","1755.02"
"2000","35-65 Jahre alt","2350.93","2145.5","9024","2318.26","2383.6"
"2000","66 und älter","1615.65","563.5","91","1164.8","2066.5"
"2001","16-34 Jahre alt","1689.47","1634.5","4103","1655.29","1723.65"
"2001","35-65 Jahre alt","2382.26","2157.5","8380","2348.79","2415.73"
"2001","66 und älter","1545.98","690.5","91","1160.19","1931.77"
"2002","16-34 Jahre alt","1700.49","1646","3916","1661.19","1739.79"
"2002","35-65 Jahre alt","2500.07","2199.5","9399","2441.76","2558.38"
"2002","66 und älter","1896.9","691","140","1386.29","2407.51"
"2003","16-34 Jahre alt","1727.07","1694","3650","1684.32","1769.82"
"2003","35-65 Jahre alt","2584.15","2297","8924","2530.52","2637.78"
"2003","66 und älter","1651.21","722","177","1253.59","2048.83"
"2004","16-34 Jahre alt","1734.08","1595","3433","1693.03","1775.13"
"2004","35-65 Jahre alt","2587.99","2299.5","8732","2536.41","2639.57"
"2004","66 und älter","1693.18","875","201","1207.55","2178.81"
"2005","16-34 Jahre alt","1716.99","1599.5","3182","1674.05","1759.93"
"2005","35-65 Jahre alt","2567.1","2299.5","8372","2518.17","2616.03"
"2005","66 und älter","1696.45","724","163","1173.34","2219.56"
"2006","16-34 Jahre alt","1664.29","1555.5","3166","1623.44","1705.14"
"2006","35-65 Jahre alt","2614.25","2299.5","8986","2560.91","2667.59"
"2006","66 und älter","1923.18","738","210","976.97","2869.39"
"2007","16-34 Jahre alt","1678.33","1557.5","3011","1636.55","1720.11"
"2007","35-65 Jahre alt","2647.67","2360.5","8554","2596.53","2698.81"
"2007","66 und älter","1928.52","640","215","1336.01","2521.03"
"2008","16-34 Jahre alt","1692.34","1595","2849","1648.92","1735.76"
"2008","35-65 Jahre alt","2656.9","2398","8113","2605.91","2707.89"
"2008","66 und älter","1910.75","505.5","200","1404.29","2417.21"
"2009","16-34 Jahre alt","1725.2","1641","2606","1678.21","1772.19"
"2009","35-65 Jahre alt","2708.51","2445.5","7565","2655.9","2761.12"
"2009","66 und älter","1744.05","561.5","232","1363.41","2124.69"
"2010","16-34 Jahre alt","1809.99","1599.5","3754","1765.28","1854.7"
"2010","35-65 Jahre alt","2708.35","2399.5","10122","2659.59","2757.11"
"2010","66 und älter","1535.08","505","211","1141.24","1928.92"
"2011","16-34 Jahre alt","1868.09","1726","4171","1827.2","1908.98"
"2011","35-65 Jahre alt","2733.86","2449.5","12606","2691.14","2776.58"
"2011","66 und älter","1491.31","535.5","227","1136.6","1846.02"
"2012","16-34 Jahre alt","1856.87","1772","3970","1812.89","1900.85"
"2012","35-65 Jahre alt","2789.88","2457.5","12481","2745.76","2834"
"2012","66 und älter","1215.73","399.5","285","972.49","1458.97"
"2013","16-34 Jahre alt","1869.79","1711.5","4983","1833.18","1906.4"
"2013","35-65 Jahre alt","2826.96","2499.5","13801","2785.83","2868.09"
"2013","66 und älter","1515.79","501","296","1185.64","1845.94"
"2014","16-34 Jahre alt","1889.79","1699.5","4220","1849.58","1930"
"2014","35-65 Jahre alt","2886.89","2499.5","12273","2842.63","2931.15"
"2014","66 und älter","1561.67","445","329","1249.16","1874.18"
"2015","16-34 Jahre alt","1962.81","1795","4279","1922.54","2003.08"
"2015","35-65 Jahre alt","2963.35","2499.5","11962","2917.46","3009.24"
"2015","66 und älter","1653.64","449.5","335","1273.77","2033.51"
"2016","16-34 Jahre alt","1965.9","1899","4003","1923.33","2008.47"
"2016","35-65 Jahre alt","3013.76","2599","11274","2965.82","3061.7"
"2016","66 und älter","1637.45","447.5","342","1218.27","2056.63"
"2017","16-34 Jahre alt","1998.68","1897.5","4622","1959.5","2037.86"
"2017","35-65 Jahre alt","3109.71","2699.5","12737","3062.84","3156.58"
