"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","1290.87","1278","1687","1255.36","1326.38"
"1984","16-34 Jahre alt","weiblich","855.94","869","1249","828.96","882.92"
"1984","35-65 Jahre alt","maennlich","1870.49","1636","2772","1834.96","1906.02"
"1984","35-65 Jahre alt","weiblich","922.44","852.87","1406","894.17","950.71"
"1984","66 und älter","maennlich","1128.61","570","31","609.78","1647.44"
"1984","66 und älter","weiblich","","","","",""
"1985","16-34 Jahre alt","maennlich","1276.94","1278","1524","1241.85","1312.03"
"1985","16-34 Jahre alt","weiblich","889.56","920","1167","861.81","917.31"
"1985","35-65 Jahre alt","maennlich","1927.24","1700","2463","1890.38","1964.1"
"1985","35-65 Jahre alt","weiblich","950.07","859","1328","920.15","979.99"
"1985","66 und älter","maennlich","","","","",""
"1985","66 und älter","weiblich","","","","",""
"1986","16-34 Jahre alt","maennlich","1309.84","1324.53","1527","1274.28","1345.4"
"1986","16-34 Jahre alt","weiblich","933.62","920","1152","898.62","968.62"
"1986","35-65 Jahre alt","maennlich","1993.63","1739.6","2331","1954.45","2032.81"
"1986","35-65 Jahre alt","weiblich","1012.49","920","1269","980.51","1044.47"
"1986","66 und älter","maennlich","","","","",""
"1986","66 und älter","weiblich","","","","",""
"1987","16-34 Jahre alt","maennlich","1352.66","1329","1541","1309.6","1395.72"
"1987","16-34 Jahre alt","weiblich","933.6","946","1143","903.46","963.74"
"1987","35-65 Jahre alt","maennlich","2015.47","1790","2278","1976.41","2054.53"
"1987","35-65 Jahre alt","weiblich","1028.16","920","1299","990.43","1065.89"
"1987","66 und älter","maennlich","","","","",""
"1987","66 und älter","weiblich","","","","",""
"1988","16-34 Jahre alt","maennlich","1412.17","1380","1474","1371.55","1452.79"
"1988","16-34 Jahre alt","weiblich","1002.56","1023","1086","966.96","1038.16"
"1988","35-65 Jahre alt","maennlich","2101.41","1841","2134","2060.3","2142.52"
"1988","35-65 Jahre alt","weiblich","1072.66","946","1259","1029.3","1116.02"
"1988","66 und älter","maennlich","","","","",""
"1988","66 und älter","weiblich","","","","",""
"1989","16-34 Jahre alt","maennlich","1488.37","1439","1481","1447.02","1529.72"
"1989","16-34 Jahre alt","weiblich","1032.43","1074","1102","998.77","1066.09"
"1989","35-65 Jahre alt","maennlich","2194.29","1892","2033","2145.69","2242.89"
"1989","35-65 Jahre alt","weiblich","1138.4","1036.64","1229","1099.17","1177.63"
"1989","66 und älter","maennlich","","","","",""
"1989","66 und älter","weiblich","","","","",""
"1990","16-34 Jahre alt","maennlich","1311.59","1329","2166","1276.24","1346.94"
"1990","16-34 Jahre alt","weiblich","932.14","818","1762","905.18","959.1"
"1990","35-65 Jahre alt","maennlich","1935.68","1790","3049","1894.03","1977.33"
"1990","35-65 Jahre alt","weiblich","972.14","767","2179","943.41","1000.87"
"1990","66 und älter","maennlich","1176.22","838.27","30","802.65","1549.79"
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","1458.99","1432","2072","1422.56","1495.42"
"1991","16-34 Jahre alt","weiblich","1008.72","920","1630","981.58","1035.86"
"1991","35-65 Jahre alt","maennlich","2068.42","1834.72","2908","2025.98","2110.86"
"1991","35-65 Jahre alt","weiblich","1074.43","869","2078","1045.73","1103.13"
"1991","66 und älter","maennlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","1589.32","1611","1934","1551.26","1627.38"
"1992","16-34 Jahre alt","weiblich","1127.12","1074","1490","1097.9","1156.34"
"1992","35-65 Jahre alt","maennlich","2291.77","2045","2752","2248.59","2334.95"
"1992","35-65 Jahre alt","weiblich","1243.53","1085.18","1944","1210.68","1276.38"
"1992","66 und älter","maennlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","1718.69","1687","1882","1676.96","1760.42"
"1993","16-34 Jahre alt","weiblich","1218.27","1212.8","1481","1185.66","1250.88"
"1993","35-65 Jahre alt","maennlich","2502.11","2147","2632","2449.33","2554.89"
"1993","35-65 Jahre alt","weiblich","1360.75","1227","1896","1323.72","1397.78"
"1993","66 und älter","maennlich","","","","",""
"1993","66 und älter","weiblich","","","","",""
"1994","16-34 Jahre alt","maennlich","1797.58","1746.17","1775","1754.25","1840.91"
"1994","16-34 Jahre alt","weiblich","1293.48","1278","1423","1258.34","1328.62"
"1994","35-65 Jahre alt","maennlich","2546.66","2215.01","2537","2492.46","2600.86"
"1994","35-65 Jahre alt","weiblich","1431.34","1318.11","1822","1386.21","1476.47"
"1994","66 und älter","maennlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","1832.54","1790","1856","1778.17","1886.91"
"1995","16-34 Jahre alt","weiblich","1302.94","1278","1449","1268.42","1337.46"
