"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","(Fach-)Abitur","Laendlicher Raum","1299.04","1125","63","241","322","2045","2556","3579","1085.4","1512.68","102","3579","920","1585"
"1985","(Fach-)Abitur","Staedtischer Raum","1253.08","1206","373","256","511","1738","2301","4090","1170.74","1335.42","0","5701","1125","1278"
"1985","(noch) kein Abschluss","Laendlicher Raum","979.02","1099.5","55","102","281","1242","1611","2556","837","1121.04","102","2860","1125","1278"
"1985","(noch) kein Abschluss","Staedtischer Raum","1068.9","1112","460","200","868","1330","1585","2260","1030.62","1107.18","31","3019","1125","1227"
"1985","AkademikerIn","Laendlicher Raum","2066.18","2019.5","90","1125","1534","2674","3068","3630","1891.61","2240.75","123","4090","1848","2301"
"1985","AkademikerIn","Staedtischer Raum","2236.94","2109","501","828","1534","2812","3477","6135","2132.81","2341.07","71","7950","2045","2194"
"1985","Hauptschule","Laendlicher Raum","1187.08","1168","862","322","716","1534","1892","3592","1137.49","1236.67","0","9374","1125","1202"
"1985","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Realschule","Staedtischer Raum","1378.02","1271","879","313","818","1790","2354","4095","1318.31","1437.73","0","9715","1227","1310"
"1986","(Fach-)Abitur","Laendlicher Raum","1158.17","1018","68","214","383","1790","2301","3528","975.57","1340.77","15","3528","920","1380"
"1986","(Fach-)Abitur","Staedtischer Raum","1369.82","1314","373","307","568","1836","2533","4421","1287.02","1452.62","80","6187","1227","1380"
"1986","(noch) kein Abschluss","Laendlicher Raum","983.96","1105.5","57","117","685","1278","1534","3324","838.55","1129.37","38","3324","1125","1278"
"1986","(noch) kein Abschluss","Staedtischer Raum","1162.88","1218.5","423","614","920","1432","1687","2403","1119.17","1206.59","34","3579","1176","1278"
"1986","AkademikerIn","Laendlicher Raum","2293.69","2275.5","96","1278","1738","2761","3168","5113","2075.63","2511.75","92","8692","2096","2454"
"1986","AkademikerIn","Staedtischer Raum","2440.81","2281","489","1023","1585","3062","3689","6902","2311.64","2569.98","0","12782","2045","2345"
"1986","Hauptschule","Laendlicher Raum","1178.46","1174.5","821","291","716","1540","1892","3272","1134.26","1222.66","0","5113","1135","1227"
"1986","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Realschule","Staedtischer Raum","1422.38","1302.5","854","330","869","1790","2437","4382","1357.21","1487.55","0","11248","1227","1329"
"1987","(Fach-)Abitur","Laendlicher Raum","1129.49","952","60","271","388","1534","2301","3579","918.41","1340.57","36","3579","897","1432"
"1987","(Fach-)Abitur","Staedtischer Raum","1318.93","1265.5","381","280","549","1862","2556","3835","1238.99","1398.87","69","5880","1176","1329"
"1987","(noch) kein Abschluss","Laendlicher Raum","1018.75","1127.5","60","117","256","1432","1687","1892","752.03","1285.47","51","8038","1023","1380"
"1987","(noch) kein Abschluss","Staedtischer Raum","1180.4","1201.5","409","409","869","1534","1790","2659","1131.42","1229.38","26","4075","1176","1278"
"1987","AkademikerIn","Laendlicher Raum","2393.84","2339","95","818","1943","2863","3375","7732","2083.63","2704.05","72","12782","2147","2551"
"1987","AkademikerIn","Staedtischer Raum","2427.78","2298.5","486","920","1636","3068","3835","7669","2304.08","2551.48","51","11913","2147","2352"
"1987","Hauptschule","Laendlicher Raum","1198.85","1172","843","266","665","1585","1994","3580","1146.3","1251.4","0","12782","1163","1242"
"1987","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Realschule","Staedtischer Raum","1442.05","1324","867","332","833","1841","2480","4550","1375.3","1508.8","0","10226","1228","1356"
