year,regtyp,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.24270,1930,8573,0.23363,0.25178
1985,Urban regions,At least once per month,0.04771,414,8573,0.04320,0.05222
1985,Urban regions,Seldom,0.13158,1140,8573,0.12442,0.13874
1985,Urban regions,Never,0.57801,5089,8573,0.56755,0.58846
1985,Rural regions,At least once per week,0.22724,530,2315,0.21017,0.24432
1985,Rural regions,At least once per month,0.05005,126,2315,0.04116,0.05893
1985,Rural regions,Seldom,0.11489,291,2315,0.10189,0.12788
1985,Rural regions,Never,0.60782,1368,2315,0.58793,0.62772
1986,Urban regions,At least once per week,0.24946,2002,8264,0.24013,0.25879
1986,Urban regions,At least once per month,0.05402,446,8264,0.04915,0.05890
1986,Urban regions,Seldom,0.11970,989,8264,0.11270,0.12670
1986,Urban regions,Never,0.57682,4827,8264,0.56616,0.58747
1986,Rural regions,At least once per week,0.23633,530,2203,0.21859,0.25408
1986,Rural regions,At least once per month,0.04980,118,2203,0.04072,0.05889
1986,Rural regions,Seldom,0.11837,285,2203,0.10488,0.13187
1986,Rural regions,Never,0.59549,1270,2203,0.57499,0.61599
1988,Urban regions,At least once per week,0.25560,1919,7822,0.24593,0.26527
1988,Urban regions,At least once per month,0.05272,402,7822,0.04777,0.05768
1988,Urban regions,Seldom,0.13071,1013,7822,0.12324,0.13818
1988,Urban regions,Never,0.56096,4488,7822,0.54996,0.57196
1988,Rural regions,At least once per week,0.23370,496,2043,0.21534,0.25205
1988,Rural regions,At least once per month,0.05567,118,2043,0.04573,0.06562
1988,Rural regions,Seldom,0.15226,318,2043,0.13668,0.16784
1988,Rural regions,Never,0.55837,1111,2043,0.53683,0.57991
1990,No answer / don't know,Never,0.57536,51,51,0.43835,0.71237
1990,Urban regions,At least once per week,0.28265,2301,8872,0.27328,0.29202
1990,Urban regions,At least once per month,0.08074,675,8872,0.07507,0.08641
1990,Urban regions,Seldom,0.18542,1579,8872,0.17734,0.19351
1990,Urban regions,Never,0.45118,4317,8872,0.44083,0.46154
1990,Rural regions,At least once per week,0.20540,855,4729,0.19389,0.21692
1990,Rural regions,At least once per month,0.06737,270,4729,0.06022,0.07451
1990,Rural regions,Seldom,0.18457,817,4729,0.17352,0.19563
1990,Rural regions,Never,0.54265,2787,4729,0.52845,0.55685
1992,No answer / don't know,Never,0.62315,72,72,0.51043,0.73587
1992,Urban regions,At least once per week,0.24598,1992,8504,0.23683,0.25514
1992,Urban regions,At least once per month,0.06637,539,8504,0.06108,0.07166
1992,Urban regions,Seldom,0.15626,1362,8504,0.14854,0.16398
1992,Urban regions,Never,0.53139,4611,8504,0.52078,0.54200
1992,Rural regions,At least once per week,0.19250,770,4449,0.18091,0.20409
1992,Rural regions,At least once per month,0.05098,222,4449,0.04451,0.05744
1992,Rural regions,Seldom,0.16546,800,4449,0.15454,0.17638
1992,Rural regions,Never,0.59106,2657,4449,0.57662,0.60551
1994,Urban regions,At least once per week,0.24258,1890,8351,0.23338,0.25177
1994,Urban regions,At least once per month,0.06155,539,8351,0.05639,0.06670
1994,Urban regions,Seldom,0.17485,1497,8351,0.16670,0.18299
1994,Urban regions,Never,0.52103,4425,8351,0.51032,0.53175
1994,Rural regions,At least once per week,0.19201,761,4311,0.18025,0.20377
1994,Rural regions,At least once per month,0.05575,235,4311,0.04890,0.06260
1994,Rural regions,Seldom,0.16860,777,4311,0.15742,0.17978
1994,Rural regions,Never,0.58365,2538,4311,0.56893,0.59836
1995,Urban regions,At least once per week,0.29403,2422,8678,0.28444,0.30361
1995,Urban regions,At least once per month,0.07475,635,8678,0.06922,0.08029
1995,Urban regions,Seldom,0.19987,1769,8678,0.19146,0.20828
1995,Urban regions,Never,0.43135,3852,8678,0.42093,0.44177
1995,Rural regions,At least once per week,0.24983,1047,4505,0.23718,0.26247
1995,Rural regions,At least once per month,0.06680,320,4505,0.05951,0.07410
1995,Rural regions,Seldom,0.23553,1159,4505,0.22314,0.24792
1995,Rural regions,Never,0.44784,1979,4505,0.43332,0.46236
1996,Urban regions,At least once per week,0.25557,2006,8482,0.24629,0.26486
1996,Urban regions,At least once per month,0.07182,630,8482,0.06633,0.07732
1996,Urban regions,Seldom,0.19465,1702,8482,0.18622,0.20307
1996,Urban regions,Never,0.47795,4144,8482,0.46732,0.48858
1996,Rural regions,At least once per week,0.21402,871,4462,0.20198,0.22605
1996,Rural regions,At least once per month,0.06439,287,4462,0.05719,0.07160
1996,Rural regions,Seldom,0.20421,991,4462,0.19238,0.21604
1996,Rural regions,Never,0.51738,2313,4462,0.50271,0.53204
1997,Urban regions,At least once per week,0.26643,2103,8291,0.25692,0.27595
1997,Urban regions,At least once per month,0.05679,498,8291,0.05181,0.06177
1997,Urban regions,Seldom,0.17999,1512,8291,0.17172,0.18826
1997,Urban regions,Never,0.49679,4178,8291,0.48603,0.50755
1997,Rural regions,At least once per week,0.21639,855,4397,0.20422,0.22857
1997,Rural regions,At least once per month,0.05812,259,4397,0.05120,0.06503
1997,Rural regions,Seldom,0.19464,960,4397,0.18294,0.20634
1997,Rural regions,Never,0.53085,2323,4397,0.51610,0.54560
1998,Urban regions,At least once per week,0.31085,2694,9204,0.30139,0.32030
1998,Urban regions,At least once per month,0.08148,749,9204,0.07589,0.08707
1998,Urban regions,Seldom,0.19609,1925,9204,0.18798,0.20420
1998,Urban regions,Never,0.41158,3836,9204,0.40153,0.42164
1998,Rural regions,At least once per week,0.26452,1240,4907,0.25218,0.27686
1998,Rural regions,At least once per month,0.06726,353,4907,0.06025,0.07427
1998,Rural regions,Seldom,0.24232,1266,4907,0.23033,0.25431
1998,Rural regions,Never,0.42590,2048,4907,0.41206,0.43974
1999,Urban regions,At least once per week,0.26943,2256,8808,0.26016,0.27869
1999,Urban regions,At least once per month,0.06715,624,8808,0.06192,0.07237
1999,Urban regions,Seldom,0.18432,1734,8808,0.17622,0.19242
1999,Urban regions,Never,0.47911,4194,8808,0.46867,0.48954
1999,Rural regions,At least once per week,0.22841,1014,4728,0.21645,0.24038
1999,Rural regions,At least once per month,0.05925,295,4728,0.05252,0.06598
1999,Rural regions,Seldom,0.20416,1041,4728,0.19267,0.21566
1999,Rural regions,Never,0.50817,2378,4728,0.49392,0.52242
2001,Urban regions,At least once per week,0.28623,4074,14199,0.27879,0.29366
2001,Urban regions,At least once per month,0.06660,937,14199,0.06250,0.07070
2001,Urban regions,Seldom,0.16078,2368,14199,0.15474,0.16682
2001,Urban regions,Never,0.48639,6820,14199,0.47817,0.49461
2001,Rural regions,At least once per week,0.24036,1779,7523,0.23070,0.25001
2001,Rural regions,At least once per month,0.05165,425,7523,0.04665,0.05666
2001,Rural regions,Seldom,0.15865,1307,7523,0.15040,0.16691
2001,Rural regions,Never,0.54934,4012,7523,0.53809,0.56058
2003,Urban regions,At least once per week,0.34540,5472,14659,0.33770,0.35309
