,Unnamed: 0,year,bula_h,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,At least once per week,0.27275,90,10763,0.25723,0.28769
1,1,1985,Schleswig-Holstein,Seldom,0.14175,48,10763,0.129,0.1548
2,2,1985,Schleswig-Holstein,Never,0.5855,192,10763,0.54944,0.627
3,3,1985,Hamburg,At least once per week,0.37486,82,10763,0.3372,0.41418
4,4,1985,Hamburg,Never,0.62514,148,10763,0.56551,0.69153
5,5,1985,Lower Saxony,At least once per week,0.24308,270,10763,0.23239,0.25291
6,6,1985,Lower Saxony,At least once per month,0.03703,46,10763,0.03367,0.04113
7,7,1985,Lower Saxony,Seldom,0.12401,142,10763,0.11568,0.13248
8,8,1985,Lower Saxony,Never,0.59589,633,10763,0.57757,0.61654
9,9,1985,Bremen,Never,1.0,74,10763,0.88951,1.10461
10,10,1985,North Rhine-Westphalia,At least once per week,0.24016,669,10763,0.23167,0.24862
11,11,1985,North Rhine-Westphalia,At least once per month,0.0445,128,10763,0.04098,0.048
12,12,1985,North Rhine-Westphalia,Seldom,0.13102,396,10763,0.12518,0.13659
13,13,1985,North Rhine-Westphalia,Never,0.58432,1736,10763,0.56779,0.6009
14,14,1985,Hesse,At least once per week,0.24771,242,10763,0.23502,0.26211
15,15,1985,Hesse,At least once per month,0.0355,44,10763,0.02871,0.04274
16,16,1985,Hesse,Seldom,0.11332,133,10763,0.10138,0.12497
17,17,1985,Hesse,Never,0.60347,694,10763,0.5775,0.6362
18,18,1985,"Rhineland-Palatinate, Saarland",At least once per week,0.20381,155,10763,0.19465,0.21695
19,19,1985,"Rhineland-Palatinate, Saarland",At least once per month,0.04855,37,10763,0.04435,0.05479
20,20,1985,"Rhineland-Palatinate, Saarland",Seldom,0.13081,102,10763,0.12134,0.13938
21,21,1985,"Rhineland-Palatinate, Saarland",Never,0.61683,465,10763,0.58769,0.64396
22,22,1985,Baden-Wuerttemberg,At least once per week,0.22172,402,10763,0.21039,0.23448
23,23,1985,Baden-Wuerttemberg,At least once per month,0.05289,107,10763,0.04747,0.05955
24,24,1985,Baden-Wuerttemberg,Seldom,0.12767,249,10763,0.11823,0.13644
25,25,1985,Baden-Wuerttemberg,Never,0.59773,1264,10763,0.57475,0.62539
26,26,1985,Bavaria,At least once per week,0.25115,458,10763,0.24266,0.25889
27,27,1985,Bavaria,At least once per month,0.05654,110,10763,0.05219,0.06088
28,28,1985,Bavaria,Seldom,0.1341,267,10763,0.12649,0.1411
29,29,1985,Bavaria,Never,0.55821,1040,10763,0.54188,0.57426
30,30,1985,Berlin,At least once per week,0.24484,78,10763,0.22167,0.26608
31,31,1985,Berlin,Seldom,0.13525,51,10763,0.11455,0.15683
32,32,1985,Berlin,Never,0.6199,211,10763,0.5689,0.67545
33,33,1986,Schleswig-Holstein,At least once per week,0.27365,82,10347,0.25108,0.298
34,34,1986,Schleswig-Holstein,Seldom,0.13564,43,10347,0.11824,0.15869
35,35,1986,Schleswig-Holstein,Never,0.59072,178,10347,0.55194,0.6232
36,36,1986,Hamburg,At least once per week,0.30799,62,10347,0.27385,0.35294
37,37,1986,Hamburg,Never,0.69201,143,10347,0.61046,0.75922
38,38,1986,Lower Saxony,At least once per week,0.25871,295,10347,0.24485,0.27163
39,39,1986,Lower Saxony,At least once per month,0.04913,57,10347,0.04448,0.05467
