year,regtyp,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,At least once per week,0.24270,1930,8573,0.23363,0.25178
1985,Urban regions,West,At least once per month,0.04771,414,8573,0.04320,0.05222
1985,Urban regions,West,Seldom,0.13158,1140,8573,0.12442,0.13874
1985,Urban regions,West,Never,0.57801,5089,8573,0.56755,0.58846
1985,Rural regions,West,At least once per week,0.22724,530,2315,0.21017,0.24432
1985,Rural regions,West,At least once per month,0.05005,126,2315,0.04116,0.05893
1985,Rural regions,West,Seldom,0.11489,291,2315,0.10189,0.12788
1985,Rural regions,West,Never,0.60782,1368,2315,0.58793,0.62772
1986,Urban regions,West,At least once per week,0.24946,2002,8264,0.24013,0.25879
1986,Urban regions,West,At least once per month,0.05402,446,8264,0.04915,0.05890
1986,Urban regions,West,Seldom,0.11970,989,8264,0.11270,0.12670
1986,Urban regions,West,Never,0.57682,4827,8264,0.56616,0.58747
1986,Rural regions,West,At least once per week,0.23633,530,2203,0.21859,0.25408
1986,Rural regions,West,At least once per month,0.04980,118,2203,0.04072,0.05889
1986,Rural regions,West,Seldom,0.11837,285,2203,0.10488,0.13187
1986,Rural regions,West,Never,0.59549,1270,2203,0.57499,0.61599
1988,Urban regions,West,At least once per week,0.25560,1919,7822,0.24593,0.26527
1988,Urban regions,West,At least once per month,0.05272,402,7822,0.04777,0.05768
1988,Urban regions,West,Seldom,0.13071,1013,7822,0.12324,0.13818
1988,Urban regions,West,Never,0.56096,4488,7822,0.54996,0.57196
1988,Rural regions,West,At least once per week,0.23370,496,2043,0.21534,0.25205
1988,Rural regions,West,At least once per month,0.05567,118,2043,0.04573,0.06562
1988,Rural regions,West,Seldom,0.15226,318,2043,0.13668,0.16784
1988,Rural regions,West,Never,0.55837,1111,2043,0.53683,0.57991
1990,No answer / don't know,East,Never,0.57536,51,51,0.43835,0.71237
1990,Urban regions,West,At least once per week,0.29640,2072,7454,0.28603,0.30677
1990,Urban regions,West,At least once per month,0.08574,620,7454,0.07939,0.09210
1990,Urban regions,West,Seldom,0.18945,1354,7454,0.18055,0.19835
1990,Urban regions,West,Never,0.42841,3408,7454,0.41717,0.43964
1990,Urban regions,East,At least once per week,0.15415,229,1418,0.13534,0.17295
1990,Urban regions,East,At least once per month,0.03402,55,1418,0.02458,0.04346
1990,Urban regions,East,Seldom,0.14779,225,1418,0.12931,0.16627
1990,Urban regions,East,Never,0.66404,909,1418,0.63945,0.68863
1990,Rural regions,West,At least once per week,0.26663,519,1946,0.24698,0.28628
1990,Rural regions,West,At least once per month,0.09267,182,1946,0.07978,0.10556
1990,Rural regions,West,Seldom,0.22632,435,1946,0.20773,0.24492
1990,Rural regions,West,Never,0.41437,810,1946,0.39248,0.43627
1990,Rural regions,East,At least once per week,0.11299,336,2783,0.10123,0.12476
1990,Rural regions,East,At least once per month,0.02918,88,2783,0.02292,0.03543
1990,Rural regions,East,Seldom,0.12156,382,2783,0.10941,0.13370
1990,Rural regions,East,Never,0.73627,1977,2783,0.71990,0.75264
1992,No answer / don't know,East,Never,0.63826,65,65,0.52054,0.75599
1992,Urban regions,West,At least once per week,0.25757,1798,7198,0.24746,0.26767
1992,Urban regions,West,At least once per month,0.06927,486,7198,0.06341,0.07514
1992,Urban regions,West,Seldom,0.15473,1119,7198,0.14637,0.16308
1992,Urban regions,West,Never,0.51844,3795,7198,0.50689,0.52998
1992,Urban regions,East,At least once per week,0.14858,194,1306,0.12928,0.16787
1992,Urban regions,East,At least once per month,0.04194,53,1306,0.03107,0.05282
1992,Urban regions,East,Seldom,0.16916,243,1306,0.14882,0.18950
1992,Urban regions,East,Never,0.64032,816,1306,0.61428,0.66635
1992,Rural regions,West,At least once per week,0.25333,487,1933,0.23393,0.27272
1992,Rural regions,West,At least once per month,0.06243,131,1933,0.05164,0.07322
1992,Rural regions,West,Seldom,0.17473,352,1933,0.15780,0.19166
1992,Rural regions,West,Never,0.50951,963,1933,0.48722,0.53180
1992,Rural regions,East,At least once per week,0.10283,283,2516,0.09096,0.11470
1992,Rural regions,East,At least once per month,0.03409,91,2516,0.02700,0.04118
1992,Rural regions,East,Seldom,0.15180,448,2516,0.13777,0.16582
1992,Rural regions,East,Never,0.71128,1694,2516,0.69357,0.72900
