year,bula_h,pgisced97,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Lower Secondary Level,Never,0.66656,54,54,0.53963,0.79348
1985,Schleswig-Holstein,Upper Secondary Level,At least once per week,0.28667,57,159,0.21616,0.35719
1985,Schleswig-Holstein,Upper Secondary Level,Never,0.53776,102,159,0.46001,0.61550
1985,Hamburg,Lower Secondary Level,Never,0.66273,37,37,0.50829,0.81717
1985,Hamburg,Upper Secondary Level,At least once per week,0.32394,46,122,0.24056,0.40733
1985,Hamburg,Upper Secondary Level,Never,0.52450,76,122,0.43552,0.61349
1985,Lower Saxony,Primary Level,Never,0.91507,44,44,0.83174,0.99840
1985,Lower Saxony,Lower Secondary Level,At least once per week,0.19046,60,274,0.14388,0.23704
1985,Lower Saxony,Lower Secondary Level,Never,0.72908,214,274,0.67636,0.78180
1985,Lower Saxony,Upper Secondary Level,At least once per week,0.22221,125,508,0.18602,0.25840
1985,Lower Saxony,Upper Secondary Level,Seldom,0.15053,80,508,0.11941,0.18166
1985,Lower Saxony,Upper Secondary Level,Never,0.58776,303,508,0.54491,0.63061
1985,Lower Saxony,First Stage of Tertiary Education,Never,0.46938,32,32,0.29370,0.64506
1985,Lower Saxony,Second Stage of Tertiary Education,At least once per week,0.43263,34,34,0.26359,0.60167
1985,Bremen,Upper Secondary Level,Never,0.68527,42,42,0.54311,0.82742
1985,North Rhine-Westphalia,Pre-primary Level,At least once per week,0.72561,41,41,0.58733,0.86389
1985,North Rhine-Westphalia,Primary Level,Never,0.83931,224,224,0.79111,0.88751
1985,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.18246,145,719,0.15421,0.21071
1985,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.10603,87,719,0.08351,0.12855
1985,North Rhine-Westphalia,Lower Secondary Level,Never,0.68008,487,719,0.64596,0.71420
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.21466,302,1382,0.19301,0.23632
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.04462,68,1382,0.03373,0.05551
1985,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.14136,205,1382,0.12299,0.15974
1985,North Rhine-Westphalia,Upper Secondary Level,Never,0.59936,807,1382,0.57351,0.62520
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.39766,37,37,0.23778,0.55754
1985,North Rhine-Westphalia,First Stage of Tertiary Education,At least once per week,0.33601,50,115,0.24930,0.42272
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.47004,65,115,0.37842,0.56166
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.39834,89,207,0.33149,0.46520
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.16157,39,207,0.11131,0.21183
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.37385,79,207,0.30778,0.43992
1985,Hesse,Primary Level,Never,0.83994,74,74,0.75583,0.92406
1985,Hesse,Lower Secondary Level,At least once per week,0.18488,52,283,0.13957,0.23019
1985,Hesse,Lower Secondary Level,Never,0.74182,231,283,0.69074,0.79289
1985,Hesse,Upper Secondary Level,At least once per week,0.25016,122,486,0.21161,0.28871
1985,Hesse,Upper Secondary Level,Seldom,0.12341,65,486,0.09413,0.15268
1985,Hesse,Upper Secondary Level,Never,0.59068,299,486,0.54692,0.63444
1985,Hesse,First Stage of Tertiary Education,Never,0.63193,32,32,0.46215,0.80170
1985,Hesse,Second Stage of Tertiary Education,At least once per week,0.48434,42,42,0.33136,0.63731
