year,age_gr,pgisced97,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No answer / don't know,Never,0.49665,31,31,0.31774,0.67557
1985,17-29 y.,Pre-primary Level,At least once per week,0.60495,109,149,0.52619,0.68371
1985,17-29 y.,Pre-primary Level,Never,0.18406,40,149,0.12162,0.24649
1985,17-29 y.,Primary Level,Never,0.61431,111,111,0.52334,0.70527
1985,17-29 y.,Lower Secondary Level,At least once per week,0.37947,325,951,0.34861,0.41033
1985,17-29 y.,Lower Secondary Level,At least once per month,0.07617,74,951,0.05930,0.09304
1985,17-29 y.,Lower Secondary Level,Seldom,0.19608,177,951,0.17083,0.22133
1985,17-29 y.,Lower Secondary Level,Never,0.34828,375,951,0.31798,0.37857
1985,17-29 y.,Upper Secondary Level,At least once per week,0.36572,481,1421,0.34067,0.39078
1985,17-29 y.,Upper Secondary Level,At least once per month,0.07401,117,1421,0.06039,0.08763
1985,17-29 y.,Upper Secondary Level,Seldom,0.22601,308,1421,0.20426,0.24777
1985,17-29 y.,Upper Secondary Level,Never,0.33425,515,1421,0.30972,0.35879
1985,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.45542,45,45,0.30827,0.60257
1985,17-29 y.,First Stage of Tertiary Education,At least once per week,0.41214,40,74,0.29922,0.52506
1985,17-29 y.,First Stage of Tertiary Education,Never,0.30212,34,74,0.19679,0.40746
1985,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.45516,48,81,0.34603,0.56429
1985,17-29 y.,Second Stage of Tertiary Education,Seldom,0.24380,33,81,0.14971,0.33789
1985,30-45 y.,Primary Level,Never,0.85448,277,277,0.81288,0.89608
1985,30-45 y.,Lower Secondary Level,At least once per week,0.18040,92,652,0.15087,0.20994
1985,30-45 y.,Lower Secondary Level,Seldom,0.11872,73,652,0.09387,0.14357
1985,30-45 y.,Lower Secondary Level,Never,0.66670,487,652,0.63048,0.70291
1985,30-45 y.,Upper Secondary Level,At least once per week,0.28948,461,1745,0.26819,0.31076
1985,30-45 y.,Upper Secondary Level,At least once per month,0.05756,95,1745,0.04663,0.06849
1985,30-45 y.,Upper Secondary Level,Seldom,0.18472,302,1745,0.16651,0.20293
1985,30-45 y.,Upper Secondary Level,Never,0.46824,887,1745,0.44482,0.49166
1985,30-45 y.,Post-secondary Non-tertiary Level,Never,0.44216,44,44,0.29371,0.59060
1985,30-45 y.,First Stage of Tertiary Education,At least once per week,0.38597,84,212,0.32028,0.45166
1985,30-45 y.,First Stage of Tertiary Education,Seldom,0.17916,43,212,0.12741,0.23090
1985,30-45 y.,First Stage of Tertiary Education,Never,0.35416,85,212,0.28963,0.41869
1985,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.46384,165,361,0.41233,0.51536
1985,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.08137,32,361,0.05313,0.10961
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.19259,69,361,0.15185,0.23332
1985,30-45 y.,Second Stage of Tertiary Education,Never,0.26220,95,361,0.21676,0.30763
1985,46-65 y.,Primary Level,Never,0.90189,307,307,0.86856,0.93522
1985,46-65 y.,Lower Secondary Level,At least once per week,0.10676,92,959,0.08720,0.12631
1985,46-65 y.,Lower Secondary Level,Seldom,0.04025,42,959,0.02780,0.05270
1985,46-65 y.,Lower Secondary Level,Never,0.82565,825,959,0.80162,0.84968
1985,46-65 y.,Upper Secondary Level,At least once per week,0.15935,218,1448,0.14049,0.17821
1985,46-65 y.,Upper Secondary Level,At least once per month,0.03540,50,1448,0.02588,0.04493
1985,46-65 y.,Upper Secondary Level,Seldom,0.08761,127,1448,0.07304,0.10218
1985,46-65 y.,Upper Secondary Level,Never,0.71764,1053,1448,0.69444,0.74083
1985,46-65 y.,Post-secondary Non-tertiary Level,Never,0.56365,37,37,0.40164,0.72565
1985,46-65 y.,First Stage of Tertiary Education,At least once per week,0.21592,42,184,0.15631,0.27554
1985,46-65 y.,First Stage of Tertiary Education,Seldom,0.18587,36,184,0.12951,0.24223
