"pli0092_h","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1985","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1985","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1985","Realschule","Staedtischer Raum","","","",""
"Taeglich","1985","Realschule","Laendlicher Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1985","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1985","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Staedtischer Raum","124","0.299900490193676","0.270467002590996","0.329333977796356"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Laendlicher Raum","38","0.412641990902441","0.332232927671042","0.49305105413384"
"Min 1x pro Woche","1985","Hauptschule","Staedtischer Raum","770","0.157377376914087","0.147080889243997","0.167673864584177"
"Min 1x pro Woche","1985","Hauptschule","Laendlicher Raum","258","0.161479622575301","0.143148954803747","0.179810290346855"
"Min 1x pro Woche","1985","Realschule","Staedtischer Raum","511","0.357229220593673","0.33205650760912","0.382401933578226"
"Min 1x pro Woche","1985","Realschule","Laendlicher Raum","155","0.366456156166889","0.319529465532193","0.413382846801586"
"Min 1x pro Woche","1985","(Fach-)Abitur","Staedtischer Raum","244","0.407340987723973","0.370053194930443","0.444628780517503"
"Min 1x pro Woche","1985","(Fach-)Abitur","Laendlicher Raum","38","0.375425453402383","0.284520229736265","0.466330677068501"
"Min 1x pro Woche","1985","AkademikerIn","Staedtischer Raum","252","0.405721417892997","0.367286732797971","0.444156102988023"
"Min 1x pro Woche","1985","AkademikerIn","Laendlicher Raum","44","0.344952171336714","0.259902348127601","0.430001994545827"
"Min 1x pro Monat","1985","(noch) kein Abschluss","Staedtischer Raum","28","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Min 1x pro Monat","1985","Hauptschule","Staedtischer Raum","197","0.0370801240570732","0.0317373469077284","0.0424229012064181"
"Min 1x pro Monat","1985","Hauptschule","Laendlicher Raum","70","0.040496869715872","0.0306772077399422","0.0503165316918018"
"Min 1x pro Monat","1985","Realschule","Staedtischer Raum","88","0.0614722391606515","0.0488542092835499","0.0740902690377531"
"Min 1x pro Monat","1985","Realschule","Laendlicher Raum","35","0.0789644522929133","0.0526996225899879","0.105229281995839"
"Min 1x pro Monat","1985","(Fach-)Abitur","Staedtischer Raum","48","0.0650031154523582","0.0462938239377913","0.0837124069669252"
"Min 1x pro Monat","1985","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Min 1x pro Monat","1985","AkademikerIn","Staedtischer Raum","47","0.0728741388286056","0.052528544252004","0.0932197334052073"
