,Unnamed: 0,year,pgisced97,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,West,At least once per week,0.76674,109,10709,0.71054,0.8155
1,1,1985,Pre-primary Level,West,Never,0.23326,40,10709,0.19265,0.27073
2,2,1985,Primary Level,West,At least once per week,0.11053,49,10709,0.08448,0.14312
3,3,1985,Primary Level,West,Seldom,0.076,53,10709,0.05599,0.09948
4,4,1985,Primary Level,West,Never,0.81348,708,10709,0.74999,0.89633
5,5,1985,Lower Secondary Level,West,At least once per week,0.17052,525,10709,0.16329,0.1771
6,6,1985,Lower Secondary Level,West,At least once per month,0.0356,122,10709,0.0321,0.03911
7,7,1985,Lower Secondary Level,West,Seldom,0.08305,295,10709,0.07751,0.08864
8,8,1985,Lower Secondary Level,West,Never,0.71083,2080,10709,0.69257,0.72963
9,9,1985,Upper Secondary Level,West,At least once per week,0.23531,1200,10709,0.23014,0.24086
10,10,1985,Upper Secondary Level,West,At least once per month,0.04892,273,10709,0.04665,0.05154
11,11,1985,Upper Secondary Level,West,Seldom,0.14138,755,10709,0.13741,0.14632
12,12,1985,Upper Secondary Level,West,Never,0.57439,2887,10709,0.56439,0.58596
13,13,1985,Post-secondary Non-tertiary Level,West,At least once per week,0.36139,84,10709,0.3169,0.41433
14,14,1985,Post-secondary Non-tertiary Level,West,Seldom,0.20199,48,10709,0.17453,0.22717
15,15,1985,Post-secondary Non-tertiary Level,West,Never,0.43662,122,10709,0.37418,0.48988
16,16,1985,First Stage of Tertiary Education,West,At least once per week,0.28599,175,10709,0.27408,0.30196
17,17,1985,First Stage of Tertiary Education,West,At least once per month,0.06669,42,10709,0.06093,0.07395
18,18,1985,First Stage of Tertiary Education,West,Seldom,0.15587,106,10709,0.14665,0.16657
19,19,1985,First Stage of Tertiary Education,West,Never,0.49145,289,10709,0.47109,0.51069
20,20,1985,Second Stage of Tertiary Education,West,At least once per week,0.39497,296,10709,0.37957,0.41089
21,21,1985,Second Stage of Tertiary Education,West,At least once per month,0.07003,56,10709,0.06247,0.0769
22,22,1985,Second Stage of Tertiary Education,West,Seldom,0.17699,140,10709,0.16441,0.18935
23,23,1985,Second Stage of Tertiary Education,West,Never,0.35801,255,10709,0.34047,0.37801
24,24,1986,Pre-primary Level,West,At least once per week,0.80691,121,10291,0.74145,0.88386
25,25,1986,Pre-primary Level,West,Seldom,0.19309,33,10291,0.15345,0.23194
26,26,1986,Primary Level,West,At least once per week,0.13698,57,10291,0.10323,0.16596
27,27,1986,Primary Level,West,Seldom,0.06608,49,10291,0.04589,0.094
28,28,1986,Primary Level,West,Never,0.79694,648,10291,0.72291,0.87799
29,29,1986,Lower Secondary Level,West,At least once per week,0.17279,540,10291,0.16356,0.18218
30,30,1986,Lower Secondary Level,West,At least once per month,0.03795,120,10291,0.03297,0.04233
31,31,1986,Lower Secondary Level,West,Seldom,0.07984,259,10291,0.0732,0.08526
32,32,1986,Lower Secondary Level,West,Never,0.70942,1951,10291,0.68868,0.72975
33,33,1986,Upper Secondary Level,West,At least once per week,0.24822,1238,10291,0.24237,0.25418
34,34,1986,Upper Secondary Level,West,At least once per month,0.05562,298,10291,0.05258,0.05808
35,35,1986,Upper Secondary Level,West,Seldom,0.12882,673,10291,0.12467,0.13373
36,36,1986,Upper Secondary Level,West,Never,0.56733,2736,10291,0.55692,0.57767
37,37,1986,Post-secondary Non-tertiary Level,West,At least once per week,0.35533,86,10291,0.32114,0.39433
38,38,1986,Post-secondary Non-tertiary Level,West,Seldom,0.2118,47,10291,0.1842,0.24701
39,39,1986,Post-secondary Non-tertiary Level,West,Never,0.43287,122,10291,0.37681,0.4935
40,40,1986,First Stage of Tertiary Education,West,At least once per week,0.28381,167,10291,0.27044,0.30108
41,41,1986,First Stage of Tertiary Education,West,At least once per month,0.05033,35,10291,0.04388,0.05749
42,42,1986,First Stage of Tertiary Education,West,Seldom,0.16634,92,10291,0.15223,0.17853
43,43,1986,First Stage of Tertiary Education,West,Never,0.49952,275,10291,0.47083,0.51865
44,44,1986,Second Stage of Tertiary Education,West,At least once per week,0.38626,298,10291,0.36733,0.40408
45,45,1986,Second Stage of Tertiary Education,West,At least once per month,0.09073,67,10291,0.08155,0.10002
46,46,1986,Second Stage of Tertiary Education,West,Seldom,0.14302,110,10291,0.13076,0.15634
47,47,1986,Second Stage of Tertiary Education,West,Never,0.37999,269,10291,0.35911,0.40201
48,48,1988,Pre-primary Level,West,At least once per week,1.0,116,9647,0.87352,1.13115
49,49,1988,Primary Level,West,At least once per week,0.10729,45,9647,0.07736,0.13831
50,50,1988,Primary Level,West,Seldom,0.07753,33,9647,0.04805,0.11033
51,51,1988,Primary Level,West,Never,0.81518,598,9647,0.73184,0.88611
52,52,1988,Lower Secondary Level,West,At least once per week,0.17673,523,9647,0.16738,0.18696
53,53,1988,Lower Secondary Level,West,At least once per month,0.03586,121,9647,0.03128,0.04139
54,54,1988,Lower Secondary Level,West,Seldom,0.08648,268,9647,0.07876,0.09372
55,55,1988,Lower Secondary Level,West,Never,0.70093,1775,9647,0.67595,0.72285
56,56,1988,Upper Secondary Level,West,At least once per week,0.24901,1169,9647,0.24147,0.25702
57,57,1988,Upper Secondary Level,West,At least once per month,0.05825,274,9647,0.05479,0.06108
58,58,1988,Upper Secondary Level,West,Seldom,0.14726,713,9647,0.14113,0.15249
59,59,1988,Upper Secondary Level,West,Never,0.54547,2527,9647,0.53496,0.55742
60,60,1988,Post-secondary Non-tertiary Level,West,At least once per week,0.33337,79,9647,0.29012,0.38707
61,61,1988,Post-secondary Non-tertiary Level,West,Seldom,0.21863,48,9647,0.18487,0.25486
62,62,1988,Post-secondary Non-tertiary Level,West,Never,0.448,123,9647,0.3841,0.50322
63,63,1988,First Stage of Tertiary Education,West,At least once per week,0.28309,159,9647,0.26274,0.30397
64,64,1988,First Stage of Tertiary Education,West,At least once per month,0.06907,37,9647,0.05994,0.07776
65,65,1988,First Stage of Tertiary Education,West,Seldom,0.17628,103,9647,0.16111,0.19028
66,66,1988,First Stage of Tertiary Education,West,Never,0.47157,237,9647,0.44961,0.4941
67,67,1988,Second Stage of Tertiary Education,West,At least once per week,0.39216,283,9647,0.37169,0.41334
68,68,1988,Second Stage of Tertiary Education,West,At least once per month,0.06712,45,9647,0.0605,0.0765
69,69,1988,Second Stage of Tertiary Education,West,Seldom,0.17724,130,9647,0.16501,0.19069
70,70,1988,Second Stage of Tertiary Education,West,Never,0.36348,241,9647,0.3411,0.38743
71,71,1990,Pre-primary Level,West,At least once per week,1.0,110,13314,0.86538,1.11092
72,72,1990,Primary Level,West,At least once per week,0.11672,45,13314,0.08889,0.15512
73,73,1990,Primary Level,West,Seldom,0.13044,61,13314,0.0969,0.16999
