year,bula_h,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,West,At least once per week,0.21021,90,330,0.16618,0.25424
1985,Schleswig-Holstein,West,Seldom,0.10913,48,330,0.07544,0.14282
1985,Schleswig-Holstein,West,Never,0.45117,192,330,0.39740,0.50494
1985,Hamburg,West,At least once per week,0.27523,82,230,0.21738,0.33308
1985,Hamburg,West,Never,0.45911,148,230,0.39457,0.52366
1985,Lower Saxony,West,At least once per week,0.20228,270,1091,0.17844,0.22613
1985,Lower Saxony,West,At least once per month,0.03081,46,1091,0.02055,0.04107
1985,Lower Saxony,West,Seldom,0.10317,142,1091,0.08511,0.12123
1985,Lower Saxony,West,Never,0.49583,633,1091,0.46615,0.52552
1985,Bremen,West,Never,0.62803,74,74,0.51715,0.73890
1985,North Rhine-Westphalia,West,At least once per week,0.19637,669,2929,0.18199,0.21076
1985,North Rhine-Westphalia,West,At least once per month,0.03640,128,2929,0.02962,0.04318
1985,North Rhine-Westphalia,West,Seldom,0.10723,396,2929,0.09602,0.11844
1985,North Rhine-Westphalia,West,Never,0.47794,1736,2929,0.45984,0.49603
1985,Hesse,West,At least once per week,0.20992,242,1113,0.18598,0.23385
1985,Hesse,West,At least once per month,0.03004,44,1113,0.02001,0.04007
1985,Hesse,West,Seldom,0.09612,133,1113,0.07879,0.11344
1985,Hesse,West,Never,0.51132,694,1113,0.48194,0.54070
1985,"Rhineland-Palatinate, Saarland",West,At least once per week,0.17143,155,759,0.14460,0.19826
1985,"Rhineland-Palatinate, Saarland",West,At least once per month,0.04084,37,759,0.02675,0.05493
1985,"Rhineland-Palatinate, Saarland",West,Seldom,0.11006,102,759,0.08778,0.13234
1985,"Rhineland-Palatinate, Saarland",West,Never,0.51882,465,759,0.48325,0.55439
1985,Baden-Wuerttemberg,West,At least once per week,0.17901,402,2022,0.16230,0.19573
1985,Baden-Wuerttemberg,West,At least once per month,0.04273,107,2022,0.03391,0.05154
1985,Baden-Wuerttemberg,West,Seldom,0.10314,249,2022,0.08988,0.11640
1985,Baden-Wuerttemberg,West,Never,0.48256,1264,2022,0.46077,0.50435
1985,Bavaria,West,At least once per week,0.20736,458,1875,0.18901,0.22572
1985,Bavaria,West,At least once per month,0.04669,110,1875,0.03714,0.05625
1985,Bavaria,West,Seldom,0.11067,267,1875,0.09646,0.12487
1985,Bavaria,West,Never,0.46086,1040,1875,0.43829,0.48343
1985,Berlin,West,At least once per week,0.19446,78,340,0.15233,0.23659
1985,Berlin,West,Seldom,0.10740,51,340,0.07444,0.14036
1985,Berlin,West,Never,0.49224,211,340,0.43902,0.54546
1986,Schleswig-Holstein,West,At least once per week,0.21110,82,303,0.16507,0.25712
1986,Schleswig-Holstein,West,Seldom,0.10470,43,303,0.07017,0.13924
1986,Schleswig-Holstein,West,Never,0.45594,178,303,0.39977,0.51211
1986,Hamburg,West,At least once per week,0.22411,62,205,0.16689,0.28134
1986,Hamburg,West,Never,0.50328,143,205,0.43467,0.57189
1986,Lower Saxony,West,At least once per week,0.21747,295,1098,0.19305,0.24188
1986,Lower Saxony,West,At least once per month,0.04132,57,1098,0.02954,0.05309
1986,Lower Saxony,West,Seldom,0.09469,136,1098,0.07736,0.11202
1986,Lower Saxony,West,Never,0.48690,610,1098,0.45732,0.51648
1986,Bremen,West,Never,0.61033,75,75,0.49922,0.72145
1986,North Rhine-Westphalia,West,At least once per week,0.21015,708,2828,0.19513,0.22517
1986,North Rhine-Westphalia,West,At least once per month,0.04053,144,2828,0.03326,0.04780
1986,North Rhine-Westphalia,West,Seldom,0.09998,352,2828,0.08892,0.11104
1986,North Rhine-Westphalia,West,Never,0.46712,1624,2828,0.44872,0.48551
1986,Hesse,West,At least once per week,0.21105,248,1036,0.18619,0.23591
1986,Hesse,West,At least once per month,0.03223,36,1036,0.02147,0.04299
1986,Hesse,West,Seldom,0.08732,102,1036,0.07012,0.10452
1986,Hesse,West,Never,0.50436,650,1036,0.47390,0.53482
1986,"Rhineland-Palatinate, Saarland",West,At least once per week,0.16249,152,763,0.13630,0.18868
1986,"Rhineland-Palatinate, Saarland",West,At least once per month,0.04902,42,763,0.03369,0.06435
1986,"Rhineland-Palatinate, Saarland",West,Seldom,0.08233,77,763,0.06281,0.10184
1986,"Rhineland-Palatinate, Saarland",West,Never,0.55274,492,763,0.51743,0.58804
1986,Baden-Wuerttemberg,West,At least once per week,0.18030,424,1968,0.16331,0.19729
1986,Baden-Wuerttemberg,West,At least once per month,0.04622,111,1968,0.03694,0.05550
1986,Baden-Wuerttemberg,West,Seldom,0.11325,249,1968,0.09924,0.12725
1986,Baden-Wuerttemberg,West,Never,0.47586,1184,1968,0.45379,0.49793
1986,Bavaria,West,At least once per week,0.22189,477,1749,0.20241,0.24137
1986,Bavaria,West,At least once per month,0.04839,108,1749,0.03833,0.05845
1986,Bavaria,West,Seldom,0.10038,234,1749,0.08630,0.11447
1986,Bavaria,West,Never,0.44900,930,1749,0.42568,0.47232
1986,Berlin,West,At least once per week,0.17739,70,322,0.13560,0.21918
1986,Berlin,West,Seldom,0.07511,41,322,0.04627,0.10394
1986,Berlin,West,Never,0.53816,211,322,0.48362,0.59270
1988,Schleswig-Holstein,West,At least once per week,0.26430,103,299,0.21423,0.31436
1988,Schleswig-Holstein,West,Seldom,0.12130,49,299,0.08424,0.15837
1988,Schleswig-Holstein,West,Never,0.36154,147,299,0.30699,0.41609
1988,Hamburg,West,At least once per week,0.27856,56,158,0.20843,0.34868
1988,Hamburg,West,Never,0.44724,102,158,0.36946,0.52501
1988,Lower Saxony,West,At least once per week,0.23824,310,1039,0.21232,0.26415
1988,Lower Saxony,West,At least once per month,0.03481,45,1039,0.02366,0.04597
1988,Lower Saxony,West,Seldom,0.10024,128,1039,0.08197,0.11851
1988,Lower Saxony,West,Never,0.46849,556,1039,0.43813,0.49885
1988,Bremen,West,Never,0.55262,59,59,0.42466,0.68059
1988,North Rhine-Westphalia,West,At least once per week,0.21148,676,2674,0.19600,0.22696
1988,North Rhine-Westphalia,West,At least once per month,0.03950,129,2674,0.03211,0.04688
1988,North Rhine-Westphalia,West,Seldom,0.11115,351,2674,0.09924,0.12307
1988,North Rhine-Westphalia,West,Never,0.46033,1518,2674,0.44143,0.47922
1988,Hesse,West,At least once per week,0.18640,211,993,0.16217,0.21064
1988,Hesse,West,At least once per month,0.04476,49,993,0.03189,0.05763
1988,Hesse,West,Seldom,0.08913,98,993,0.07140,0.10686
