,Unnamed: 0,year,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
31,31,1994,West,Never,0.50244,4510,12662,0.49311,0.51257
32,32,1994,East,At least once per week,0.1167,461,12662,0.11075,0.12193
33,33,1994,East,At least once per month,0.03801,149,12662,0.03411,0.04225
34,34,1994,East,Seldom,0.15239,649,12662,0.14567,0.15925
35,35,1994,East,Never,0.6929,2453,12662,0.67931,0.70904
36,36,1995,West,At least once per week,0.30409,2756,13183,0.29598,0.31179
37,37,1995,West,At least once per month,0.07571,727,13183,0.07271,0.08062
38,38,1995,West,Seldom,0.20189,1910,13183,0.19523,0.20907
39,39,1995,West,Never,0.41831,4128,13183,0.40998,0.42825
40,40,1995,East,At least once per week,0.18073,713,13183,0.1732,0.18914
41,41,1995,East,At least once per month,0.05803,228,13183,0.05357,0.06283
42,42,1995,East,Seldom,0.24914,1018,13183,0.24102,0.26012
43,43,1995,East,Never,0.5121,1703,13183,0.49761,0.52447
44,44,1996,West,At least once per week,0.26547,2294,12944,0.25711,0.27302
45,45,1996,West,At least once per month,0.07489,714,12944,0.07075,0.07966
46,46,1996,West,Seldom,0.1967,1890,12944,0.19035,0.2026
47,47,1996,West,Never,0.46295,4393,12944,0.45269,0.47296
48,48,1996,East,At least once per week,0.14645,583,12944,0.14015,0.15353
49,49,1996,East,At least once per month,0.04689,203,12944,0.04361,0.0503
50,50,1996,East,Seldom,0.20123,803,12944,0.19267,0.20971
51,51,1996,East,Never,0.60543,2064,12944,0.58928,0.62058
52,52,1997,West,At least once per week,0.27467,2371,12689,0.2676,0.28199
53,53,1997,West,At least once per month,0.06124,598,12689,0.05839,0.06487
54,54,1997,West,Seldom,0.18151,1709,12689,0.17508,0.18897
55,55,1997,West,Never,0.48258,4421,12689,0.47142,0.49356
56,56,1997,East,At least once per week,0.14997,587,12689,0.14248,0.15817
57,57,1997,East,At least once per month,0.03999,159,12689,0.03684,0.0444
58,58,1997,East,Seldom,0.19831,764,12689,0.18887,0.20825
59,59,1997,East,Never,0.61173,2080,12689,0.59712,0.62596
60,60,1998,West,At least once per week,0.31754,3080,14111,0.30978,0.32517
61,61,1998,West,At least once per month,0.08112,853,14111,0.07764,0.0848
62,62,1998,West,Seldom,0.19952,2154,14111,0.19376,0.20565
63,63,1998,West,Never,0.40182,4192,14111,0.39352,0.41172
64,64,1998,East,At least once per week,0.20775,854,14111,0.19913,0.21533
65,65,1998,East,At least once per month,0.05999,249,14111,0.05538,0.06411
66,66,1998,East,Seldom,0.25659,1037,14111,0.24701,0.26749
67,67,1998,East,Never,0.47567,1692,14111,0.46196,0.49038
68,68,1999,West,At least once per week,0.27799,2613,13536,0.2708,0.28586
69,69,1999,West,At least once per month,0.06768,709,13536,0.06436,0.07111
70,70,1999,West,Seldom,0.18685,1967,13536,0.18115,0.1931
71,71,1999,West,Never,0.46748,4508,13536,0.45704,0.47757
72,72,1999,East,At least once per week,0.16532,657,13536,0.15695,0.17581
73,73,1999,East,At least once per month,0.05182,210,13536,0.04619,0.05798
74,74,1999,East,Seldom,0.20585,808,13536,0.19608,0.21698
75,75,1999,East,Never,0.57701,2064,13536,0.56025,0.5928
76,76,2001,West,At least once per week,0.2879,4731,21722,0.28326,0.29384
