,Unnamed: 0,year,bula_h,pgisced97,ple0005,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2002,Schleswig-Holstein,Lower Secondary Level,A Little,0.44807,32,21145,0.36741,0.52447
1,1,2002,Schleswig-Holstein,Lower Secondary Level,Not at all,0.55193,40,21145,0.47102,0.63424
2,2,2002,Schleswig-Holstein,Upper Secondary Level,Strong,0.15114,48,21145,0.12638,0.18081
3,3,2002,Schleswig-Holstein,Upper Secondary Level,A Little,0.33203,119,21145,0.2905,0.36838
4,4,2002,Schleswig-Holstein,Upper Secondary Level,Not at all,0.51682,213,21145,0.47169,0.55942
5,5,2002,Schleswig-Holstein,First Stage of Tertiary Education,Not at all,1.0,33,21145,0.71911,1.30941
6,6,2002,Schleswig-Holstein,Second Stage of Tertiary Education,Not at all,1.0,80,21145,0.81711,1.22281
7,7,2002,Hamburg,Upper Secondary Level,Strong,0.25224,31,21145,0.21318,0.2957
8,8,2002,Hamburg,Upper Secondary Level,A Little,0.23806,39,21145,0.19624,0.28818
9,9,2002,Hamburg,Upper Secondary Level,Not at all,0.50969,87,21145,0.43811,0.58552
10,10,2002,Hamburg,Second Stage of Tertiary Education,Not at all,1.0,60,21145,0.78768,1.22415
11,11,2002,Lower Saxony,Pre-primary Level,Not at all,1.0,46,21145,0.78614,1.23045
12,12,2002,Lower Saxony,Lower Secondary Level,Strong,0.2601,62,21145,0.22387,0.30475
13,13,2002,Lower Saxony,Lower Secondary Level,A Little,0.33834,89,21145,0.29212,0.37872
14,14,2002,Lower Saxony,Lower Secondary Level,Not at all,0.40156,125,21145,0.34193,0.4547
15,15,2002,Lower Saxony,Upper Secondary Level,Strong,0.14458,143,21145,0.1302,0.15952
16,16,2002,Lower Saxony,Upper Secondary Level,A Little,0.3824,378,21145,0.35701,0.40758
17,17,2002,Lower Saxony,Upper Secondary Level,Not at all,0.47302,516,21145,0.44824,0.50483
18,18,2002,Lower Saxony,Post-secondary Non-tertiary Level,A Little,0.40884,44,21145,0.32521,0.49998
19,19,2002,Lower Saxony,Post-secondary Non-tertiary Level,Not at all,0.59116,62,21145,0.49302,0.71753
20,20,2002,Lower Saxony,First Stage of Tertiary Education,A Little,0.51162,45,21145,0.41223,0.63823
21,21,2002,Lower Saxony,First Stage of Tertiary Education,Not at all,0.48838,64,21145,0.40031,0.58409
22,22,2002,Lower Saxony,Second Stage of Tertiary Education,A Little,0.40788,106,21145,0.33413,0.49293
23,23,2002,Lower Saxony,Second Stage of Tertiary Education,Not at all,0.59212,176,21145,0.50773,0.68969
24,24,2002,Bremen,Upper Secondary Level,Not at all,1.0,40,21145,0.75809,1.24058
25,25,2002,North Rhine-Westphalia,Pre-primary Level,Not at all,1.0,131,21145,0.8854,1.11769
26,26,2002,North Rhine-Westphalia,Primary Level,A Little,0.40513,40,21145,0.33444,0.47845
27,27,2002,North Rhine-Westphalia,Primary Level,Not at all,0.59487,47,21145,0.48998,0.68316
28,28,2002,North Rhine-Westphalia,Lower Secondary Level,Strong,0.2159,116,21145,0.19384,0.23826
29,29,2002,North Rhine-Westphalia,Lower Secondary Level,A Little,0.35636,219,21145,0.33133,0.38948
30,30,2002,North Rhine-Westphalia,Lower Secondary Level,Not at all,0.42774,288,21145,0.39947,0.46327
31,31,2002,North Rhine-Westphalia,Upper Secondary Level,Strong,0.16269,323,21145,0.15133,0.17367
32,32,2002,North Rhine-Westphalia,Upper Secondary Level,A Little,0.37275,814,21145,0.35689,0.38735
33,33,2002,North Rhine-Westphalia,Upper Secondary Level,Not at all,0.46456,1207,21145,0.44921,0.48368
34,34,2002,North Rhine-Westphalia,Post-secondary Non-tertiary Level,A Little,0.31567,110,21145,0.26733,0.36069
35,35,2002,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not at all,0.68433,215,21145,0.61387,0.75578
36,36,2002,North Rhine-Westphalia,First Stage of Tertiary Education,Strong,0.16877,48,21145,0.13809,0.20295
37,37,2002,North Rhine-Westphalia,First Stage of Tertiary Education,A Little,0.34697,117,21145,0.30419,0.40446
38,38,2002,North Rhine-Westphalia,First Stage of Tertiary Education,Not at all,0.48427,187,21145,0.42974,0.54014
39,39,2002,North Rhine-Westphalia,Second Stage of Tertiary Education,Strong,0.07826,48,21145,0.05783,0.09623
40,40,2002,North Rhine-Westphalia,Second Stage of Tertiary Education,A Little,0.29265,260,21145,0.26433,0.32612
41,41,2002,North Rhine-Westphalia,Second Stage of Tertiary Education,Not at all,0.62909,576,21145,0.58684,0.67024
42,42,2002,Hesse,Pre-primary Level,Not at all,1.0,31,21145,0.75686,1.2121
43,43,2002,Hesse,Lower Secondary Level,Strong,0.28682,54,21145,0.24295,0.32739
44,44,2002,Hesse,Lower Secondary Level,A Little,0.25682,64,21145,0.21122,0.3028
45,45,2002,Hesse,Lower Secondary Level,Not at all,0.45636,113,21145,0.4036,0.50584
46,46,2002,Hesse,Upper Secondary Level,Strong,0.18711,131,21145,0.16718,0.21037
47,47,2002,Hesse,Upper Secondary Level,A Little,0.36172,264,21145,0.33011,0.39414
48,48,2002,Hesse,Upper Secondary Level,Not at all,0.45117,376,21145,0.42014,0.48299
49,49,2002,Hesse,Post-secondary Non-tertiary Level,A Little,0.3834,36,21145,0.28893,0.47737
