"ple0005","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stark","2002","(noch) kein Abschluss","78","0.1112931571108","0.0907693315131152","0.131816982708485"
"Stark","2002","Hauptschule","1830","0.22415819933143","0.215483011572811","0.232833387090048"
"Stark","2002","Realschule","543","0.108615519614427","0.100725871884642","0.116505167344212"
"Stark","2002","(Fach-)Abitur","157","0.0791375834329514","0.0684350582942379","0.0898401085716649"
"Stark","2002","AkademikerIn","357","0.0985321292425966","0.0898599596640371","0.107204298821156"
"Ein wenig","2002","(noch) kein Abschluss","178","0.218966566856156","0.191978701221839","0.245954432490473"
"Ein wenig","2002","Hauptschule","3443","0.397260788940756","0.387081497373578","0.407440080507934"
"Ein wenig","2002","Realschule","2014","0.338257937509567","0.326261632347903","0.350254242671232"
"Ein wenig","2002","(Fach-)Abitur","634","0.281202392713688","0.263378182007109","0.299026603420267"
"Ein wenig","2002","AkademikerIn","1541","0.352448089004662","0.338547007933945","0.366349170075379"
"Gar nicht","2002","(noch) kein Abschluss","646","0.669740276033044","0.639048230244659","0.700432321821429"
"Gar nicht","2002","Hauptschule","3604","0.378581011727814","0.368491116546133","0.388670906909495"
"Gar nicht","2002","Realschule","3418","0.553126542876005","0.540520358179812","0.565732727572198"
"Gar nicht","2002","(Fach-)Abitur","1653","0.639660023853361","0.620626100421679","0.658693947285042"
"Gar nicht","2002","AkademikerIn","2639","0.549019781752741","0.534540852568101","0.563498710937381"
"Stark","2003","(noch) kein Abschluss","","","",""
"Stark","2003","Hauptschule","","","",""
"Stark","2003","Realschule","","","",""
"Stark","2003","(Fach-)Abitur","","","",""
"Stark","2003","AkademikerIn","","","",""
"Ein wenig","2003","(noch) kein Abschluss","","","",""
"Ein wenig","2003","Hauptschule","","","",""
"Ein wenig","2003","Realschule","","","",""
"Ein wenig","2003","(Fach-)Abitur","","","",""
"Ein wenig","2003","AkademikerIn","","","",""
"Gar nicht","2003","(noch) kein Abschluss","","","",""
"Gar nicht","2003","Hauptschule","","","",""
"Gar nicht","2003","Realschule","","","",""
"Gar nicht","2003","(Fach-)Abitur","","","",""
"Gar nicht","2003","AkademikerIn","","","",""
"Stark","2004","(noch) kein Abschluss","64","0.103664904836316","0.0837941230996418","0.123535686572991"
"Stark","2004","Hauptschule","1714","0.233675250339687","0.224420834176896","0.242929666502477"
"Stark","2004","Realschule","508","0.111858808809275","0.10360650650146","0.120111111117091"
"Stark","2004","(Fach-)Abitur","151","0.088512067285913","0.0771389010263968","0.0998852335454293"
"Stark","2004","AkademikerIn","370","0.106588139151492","0.097340987118934","0.115835291184051"
"Ein wenig","2004","(noch) kein Abschluss","195","0.253227287323217","0.224879879794556","0.281574694851879"
"Ein wenig","2004","Hauptschule","3150","0.391744002261477","0.381068689219022","0.402419315303932"
"Ein wenig","2004","Realschule","1914","0.345022628229534","0.332576451445284","0.357468805013784"
"Ein wenig","2004","(Fach-)Abitur","624","0.277130357201171","0.259208759329536","0.295051955072807"
"Ein wenig","2004","AkademikerIn","1437","0.339295396223008","0.325107423304354","0.353483369141662"
"Gar nicht","2004","(noch) kein Abschluss","645","0.643107807840466","0.611877642006647","0.674337973674285"
"Gar nicht","2004","Hauptschule","3168","0.374580747398836","0.363995656541144","0.385165838256528"
"Gar nicht","2004","Realschule","3182","0.54311856296119","0.530076445491003","0.556160680431377"
"Gar nicht","2004","(Fach-)Abitur","1621","0.634357575512916","0.615073446004952","0.65364170502088"
"Gar nicht","2004","AkademikerIn","2471","0.554116464625499","0.539221518174522","0.569011411076476"
"Stark","2005","(noch) kein Abschluss","","","",""
"Stark","2005","Hauptschule","","","",""
"Stark","2005","Realschule","","","",""
"Stark","2005","(Fach-)Abitur","","","",""
"Stark","2005","AkademikerIn","","","",""
"Ein wenig","2005","(noch) kein Abschluss","","","",""
"Ein wenig","2005","Hauptschule","","","",""
"Ein wenig","2005","Realschule","","","",""
"Ein wenig","2005","(Fach-)Abitur","","","",""
"Ein wenig","2005","AkademikerIn","","","",""
"Gar nicht","2005","(noch) kein Abschluss","","","",""
"Gar nicht","2005","Hauptschule","","","",""
"Gar nicht","2005","Realschule","","","",""
"Gar nicht","2005","(Fach-)Abitur","","","",""
"Gar nicht","2005","AkademikerIn","","","",""
"Stark","2006","(noch) kein Abschluss","84","0.16426049956145","0.135755057733671","0.192765941389229"
"Stark","2006","Hauptschule","1820","0.236511250921384","0.227242866280176","0.245779635562592"
"Stark","2006","Realschule","579","0.111028470084092","0.102901039875442","0.119155900292741"
"Stark","2006","(Fach-)Abitur","166","0.0785078705795926","0.0678530829375475","0.0891626582216376"
"Stark","2006","AkademikerIn","433","0.108753222681875","0.0997279042376881","0.117778541126062"
"Ein wenig","2006","(noch) kein Abschluss","141","0.245503227238755","0.212391408299939","0.278615046177572"
"Ein wenig","2006","Hauptschule","3195","0.393097754301377","0.382444397339675","0.40375111126308"
"Ein wenig","2006","Realschule","2008","0.348057499917468","0.335734334170734","0.360380665664202"
"Ein wenig","2006","(Fach-)Abitur","663","0.279981902546197","0.262195870491756","0.297767934600638"
"Ein wenig","2006","AkademikerIn","1569","0.343070520708534","0.329308140343481","0.356832901073587"
"Gar nicht","2006","(noch) kein Abschluss","424","0.590236273199795","0.55240025323092","0.62807229316867"
"Gar nicht","2006","Hauptschule","3060","0.370390994777238","0.359858227204885","0.380923762349592"
"Gar nicht","2006","Realschule","3153","0.54091402999844","0.528022535185749","0.553805524811132"
"Gar nicht","2006","(Fach-)Abitur","1619","0.641510226874211","0.622513334520767","0.660507119227654"
"Gar nicht","2006","AkademikerIn","2569","0.548176256609591","0.533748888411021","0.56260362480816"
"Stark","2007","(noch) kein Abschluss","","","",""
"Stark","2007","Hauptschule","","","",""
"Stark","2007","Realschule","","","",""
"Stark","2007","(Fach-)Abitur","","","",""
"Stark","2007","AkademikerIn","","","",""
"Ein wenig","2007","(noch) kein Abschluss","","","",""
"Ein wenig","2007","Hauptschule","","","",""
"Ein wenig","2007","Realschule","","","",""
"Ein wenig","2007","(Fach-)Abitur","","","",""
"Ein wenig","2007","AkademikerIn","","","",""
"Gar nicht","2007","(noch) kein Abschluss","","","",""
"Gar nicht","2007","Hauptschule","","","",""
"Gar nicht","2007","Realschule","","","",""
"Gar nicht","2007","(Fach-)Abitur","","","",""
"Gar nicht","2007","AkademikerIn","","","",""
"Stark","2008","(noch) kein Abschluss","54","0.125363023216768","0.0975627870512769","0.153163259382259"
"Stark","2008","Hauptschule","1590","0.244149230359102","0.233931394696315","0.254367066021889"
"Stark","2008","Realschule","515","0.107838257861749","0.0993229764759066","0.116353539247591"
"Stark","2008","(Fach-)Abitur","147","0.0759035344170361","0.0647603869425546","0.0870466818915177"
"Stark","2008","AkademikerIn","384","0.0981866262300814","0.0891723059701371","0.107200946490026"
"Ein wenig","2008","(noch) kein Abschluss","109","0.228798304007646","0.193531977153411","0.26406463086188"
"Ein wenig","2008","Hauptschule","2720","0.400069205754989","0.388416377564904","0.411722033945075"
"Ein wenig","2008","Realschule","1805","0.370454097751289","0.3571962912407","0.383711904261877"
"Ein wenig","2008","(Fach-)Abitur","574","0.274164173783155","0.255395102838961","0.29293324472735"
"Ein wenig","2008","AkademikerIn","1482","0.350988822384601","0.336530389933569","0.365447254835633"
"Gar nicht","2008","(noch) kein Abschluss","382","0.645838672775586","0.605686187489506","0.685991158061667"
"Gar nicht","2008","Hauptschule","2480","0.355781563885909","0.344394244587013","0.367168883184804"
"Gar nicht","2008","Realschule","2777","0.521707644386963","0.507994056496598","0.535421232277328"
"Gar nicht","2008","(Fach-)Abitur","1449","0.649932291799809","0.629863172830354","0.670001410769263"
"Gar nicht","2008","AkademikerIn","2320","0.550824551385317","0.535756290567345","0.56589281220329"
"Stark","2009","(noch) kein Abschluss","","","",""
"Stark","2009","Hauptschule","","","",""
"Stark","2009","Realschule","","","",""
"Stark","2009","(Fach-)Abitur","","","",""
"Stark","2009","AkademikerIn","","","",""
"Ein wenig","2009","(noch) kein Abschluss","","","",""
"Ein wenig","2009","Hauptschule","","","",""
"Ein wenig","2009","Realschule","","","",""
"Ein wenig","2009","(Fach-)Abitur","","","",""
"Ein wenig","2009","AkademikerIn","","","",""
"Gar nicht","2009","(noch) kein Abschluss","","","",""
"Gar nicht","2009","Hauptschule","","","",""
