year,pgisced97,quintil_oecd,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No answer / don't know,1st Quintile,Not at all,0.61014,39,39,0.45506,0.76521
2002,Pre-primary Level,1st Quintile,Not at all,0.90510,93,93,0.84521,0.96499
2002,Pre-primary Level,2nd Quintile,Not at all,0.77370,89,89,0.68627,0.86112
2002,Pre-primary Level,3rd Quintile,Not at all,0.87060,113,113,0.80844,0.93276
2002,Pre-primary Level,4th Quintile,Not at all,0.89413,83,83,0.82753,0.96072
2002,Pre-primary Level,5th Quintile,Not at all,0.87902,91,91,0.81164,0.94639
2002,Primary Level,1st Quintile,A Little,0.31263,42,101,0.22177,0.40349
2002,Primary Level,1st Quintile,Not at all,0.47953,59,101,0.38161,0.57744
2002,Lower Secondary Level,1st Quintile,Strong,0.25671,189,874,0.22774,0.28569
2002,Lower Secondary Level,1st Quintile,A Little,0.33520,295,874,0.30389,0.36652
2002,Lower Secondary Level,1st Quintile,Not at all,0.40809,390,874,0.37548,0.44069
2002,Lower Secondary Level,2nd Quintile,Strong,0.24960,160,709,0.21772,0.28148
2002,Lower Secondary Level,2nd Quintile,A Little,0.35895,246,709,0.32361,0.39428
2002,Lower Secondary Level,2nd Quintile,Not at all,0.39145,303,709,0.35550,0.42741
2002,Lower Secondary Level,3rd Quintile,Strong,0.21963,95,502,0.18338,0.25589
2002,Lower Secondary Level,3rd Quintile,A Little,0.38359,185,502,0.34101,0.42617
2002,Lower Secondary Level,3rd Quintile,Not at all,0.39678,222,502,0.35394,0.43962
2002,Lower Secondary Level,4th Quintile,Strong,0.22757,85,448,0.18870,0.26644
2002,Lower Secondary Level,4th Quintile,A Little,0.33327,146,448,0.28957,0.37697
2002,Lower Secondary Level,4th Quintile,Not at all,0.43916,217,448,0.39315,0.48517
2002,Lower Secondary Level,5th Quintile,Strong,0.25351,52,257,0.20022,0.30680
2002,Lower Secondary Level,5th Quintile,A Little,0.35183,85,257,0.29334,0.41033
2002,Lower Secondary Level,5th Quintile,Not at all,0.39465,120,257,0.33478,0.45453
2002,Upper Secondary Level,1st Quintile,Strong,0.18390,294,1759,0.16579,0.20201
2002,Upper Secondary Level,1st Quintile,A Little,0.35479,605,1759,0.33242,0.37715
2002,Upper Secondary Level,1st Quintile,Not at all,0.46131,860,1759,0.43801,0.48462
2002,Upper Secondary Level,2nd Quintile,Strong,0.17158,358,2245,0.15598,0.18718
2002,Upper Secondary Level,2nd Quintile,A Little,0.38567,848,2245,0.36553,0.40581
2002,Upper Secondary Level,2nd Quintile,Not at all,0.44276,1039,2245,0.42221,0.46331
2002,Upper Secondary Level,3rd Quintile,Strong,0.16459,353,2348,0.14959,0.17959
2002,Upper Secondary Level,3rd Quintile,A Little,0.37128,887,2348,0.35173,0.39082
2002,Upper Secondary Level,3rd Quintile,Not at all,0.46413,1108,2348,0.44396,0.48431
2002,Upper Secondary Level,4th Quintile,Strong,0.14338,297,2310,0.12908,0.15767
2002,Upper Secondary Level,4th Quintile,A Little,0.37674,818,2310,0.35698,0.39651
2002,Upper Secondary Level,4th Quintile,Not at all,0.47988,1195,2310,0.45950,0.50026
2002,Upper Secondary Level,5th Quintile,Strong,0.14470,273,2237,0.13012,0.15928
2002,Upper Secondary Level,5th Quintile,A Little,0.37048,777,2237,0.35046,0.39050
2002,Upper Secondary Level,5th Quintile,Not at all,0.48482,1187,2237,0.46411,0.50554
2002,Post-secondary Non-tertiary Level,1st Quintile,A Little,0.38061,65,155,0.30393,0.45730
2002,Post-secondary Non-tertiary Level,1st Quintile,Not at all,0.48929,90,155,0.41033,0.56824
2002,Post-secondary Non-tertiary Level,2nd Quintile,A Little,0.23842,40,146,0.16907,0.30778
2002,Post-secondary Non-tertiary Level,2nd Quintile,Not at all,0.63477,106,146,0.55640,0.71314
2002,Post-secondary Non-tertiary Level,3rd Quintile,A Little,0.35640,50,144,0.27790,0.43490
2002,Post-secondary Non-tertiary Level,3rd Quintile,Not at all,0.55844,94,144,0.47705,0.63983
2002,Post-secondary Non-tertiary Level,4th Quintile,A Little,0.27551,64,208,0.21464,0.33637
2002,Post-secondary Non-tertiary Level,4th Quintile,Not at all,0.62753,144,208,0.56167,0.69339
2002,Post-secondary Non-tertiary Level,5th Quintile,A Little,0.31528,91,273,0.26006,0.37049
2002,Post-secondary Non-tertiary Level,5th Quintile,Not at all,0.57089,182,273,0.51207,0.62971
2002,First Stage of Tertiary Education,1st Quintile,Strong,0.28128,37,151,0.20932,0.35323
2002,First Stage of Tertiary Education,1st Quintile,A Little,0.41064,56,151,0.33191,0.48937
2002,First Stage of Tertiary Education,1st Quintile,Not at all,0.30808,58,151,0.23419,0.38197
2002,First Stage of Tertiary Education,2nd Quintile,Strong,0.17354,47,285,0.12950,0.21759
