year,quintil_oecd,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Strong,0.15135,596,3454,0.13939,0.16330
2002,1st Quintile,A Little,0.26827,1168,3454,0.25349,0.28305
2002,1st Quintile,Not at all,0.35373,1690,3454,0.33778,0.36968
2002,2nd Quintile,Strong,0.14532,650,3899,0.13426,0.15638
2002,2nd Quintile,A Little,0.29606,1407,3899,0.28173,0.31040
2002,2nd Quintile,Not at all,0.35533,1842,3899,0.34031,0.37036
2002,3rd Quintile,Strong,0.12805,568,4025,0.11773,0.13838
2002,3rd Quintile,A Little,0.29574,1462,4025,0.28164,0.30984
2002,3rd Quintile,Not at all,0.38829,1995,4025,0.37323,0.40334
2002,4th Quintile,Strong,0.12029,518,4344,0.11062,0.12997
2002,4th Quintile,A Little,0.30949,1507,4344,0.29574,0.32323
2002,4th Quintile,Not at all,0.42524,2319,4344,0.41054,0.43994
2002,5th Quintile,Strong,0.11335,506,4979,0.10454,0.12215
2002,5th Quintile,A Little,0.31806,1656,4979,0.30512,0.33100
2002,5th Quintile,Not at all,0.48179,2817,4979,0.46791,0.49567
2004,1st Quintile,Strong,0.15557,569,3243,0.14310,0.16805
2004,1st Quintile,A Little,0.26151,1066,3243,0.24638,0.27664
2004,1st Quintile,Not at all,0.36199,1608,3243,0.34545,0.37854
2004,2nd Quintile,Strong,0.14886,604,3767,0.13749,0.16023
2004,2nd Quintile,A Little,0.28313,1342,3767,0.26874,0.29752
2004,2nd Quintile,Not at all,0.36850,1821,3767,0.35310,0.38391
2004,3rd Quintile,Strong,0.13291,567,3999,0.12238,0.14343
2004,3rd Quintile,A Little,0.31683,1478,3999,0.30241,0.33125
2004,3rd Quintile,Not at all,0.37540,1954,3999,0.36039,0.39041
2004,4th Quintile,Strong,0.13447,563,4341,0.12432,0.14462
2004,4th Quintile,A Little,0.29251,1444,4341,0.27897,0.30604
2004,4th Quintile,Not at all,0.42953,2334,4341,0.41480,0.44425
2004,5th Quintile,Strong,0.09555,514,6172,0.08822,0.10289
2004,5th Quintile,A Little,0.30986,2046,6172,0.29832,0.32140
2004,5th Quintile,Not at all,0.49555,3612,6172,0.48308,0.50803
2006,1st Quintile,Strong,0.15321,513,2938,0.14019,0.16624
2006,1st Quintile,A Little,0.27499,1023,2938,0.25884,0.29114
2006,1st Quintile,Not at all,0.35982,1402,2938,0.34246,0.37717
2006,2nd Quintile,Strong,0.16070,608,3308,0.14818,0.17322
2006,2nd Quintile,A Little,0.30224,1250,3308,0.28659,0.31789
2006,2nd Quintile,Not at all,0.33658,1450,3308,0.32047,0.35269
2006,3rd Quintile,Strong,0.13149,531,3574,0.12041,0.14257
2006,3rd Quintile,A Little,0.31981,1344,3574,0.30452,0.33511
2006,3rd Quintile,Not at all,0.36693,1699,3574,0.35113,0.38273
2006,4th Quintile,Strong,0.12336,531,3959,0.11312,0.13361
2006,4th Quintile,A Little,0.30055,1399,3959,0.28627,0.31484
2006,4th Quintile,Not at all,0.42336,2029,3959,0.40797,0.43875
2006,5th Quintile,Strong,0.09886,516,5513,0.09098,0.10673
2006,5th Quintile,A Little,0.31875,1893,5513,0.30645,0.33105
2006,5th Quintile,Not at all,0.48189,3104,5513,0.46870,0.49508
2008,1st Quintile,Strong,0.16191,562,2963,0.14864,0.17518
2008,1st Quintile,A Little,0.27725,1012,2963,0.26113,0.29337
2008,1st Quintile,Not at all,0.35259,1389,2963,0.33538,0.36979
2008,2nd Quintile,Strong,0.16380,622,3368,0.15130,0.17630
2008,2nd Quintile,A Little,0.28601,1199,3368,0.27074,0.30127
2008,2nd Quintile,Not at all,0.35955,1547,3368,0.34334,0.37576
2008,3rd Quintile,Strong,0.13102,564,3811,0.12031,0.14174
2008,3rd Quintile,A Little,0.32234,1413,3811,0.30750,0.33718
2008,3rd Quintile,Not at all,0.38381,1834,3811,0.36837,0.39926
2008,4th Quintile,Strong,0.11185,492,3857,0.10190,0.12180
2008,4th Quintile,A Little,0.30229,1340,3857,0.28779,0.31678
2008,4th Quintile,Not at all,0.43383,2025,3857,0.41819,0.44948
2008,5th Quintile,Strong,0.08391,475,5259,0.07642,0.09141
2008,5th Quintile,A Little,0.31574,1816,5259,0.30317,0.32830
2008,5th Quintile,Not at all,0.49802,2968,5259,0.48451,0.51154
2014,1st Quintile,Strong,0.18268,1064,5810,0.17274,0.19262
2014,1st Quintile,A Little,0.25876,1813,5810,0.24750,0.27003
2014,1st Quintile,Not at all,0.34975,2933,5810,0.33748,0.36201
2014,2nd Quintile,Strong,0.16905,853,5503,0.15914,0.17895
2014,2nd Quintile,A Little,0.30357,1901,5503,0.29142,0.31572
2014,2nd Quintile,Not at all,0.34361,2749,5503,0.33106,0.35616
2014,3rd Quintile,Strong,0.13037,679,5155,0.12118,0.13956
2014,3rd Quintile,A Little,0.32073,1812,5155,0.30799,0.33348
2014,3rd Quintile,Not at all,0.38821,2664,5155,0.37490,0.40151
2014,4th Quintile,Strong,0.10477,559,5152,0.09640,0.11313
2014,4th Quintile,A Little,0.31041,1754,5152,0.29777,0.32304
2014,4th Quintile,Not at all,0.44300,2839,5152,0.42943,0.45656
2014,5th Quintile,Strong,0.07541,436,5392,0.06836,0.08246
2014,5th Quintile,A Little,0.28884,1745,5392,0.27674,0.30094
2014,5th Quintile,Not at all,0.52992,3211,5392,0.51659,0.54324
2016,1st Quintile,Strong,0.17293,880,4994,0.16244,0.18342
2016,1st Quintile,A Little,0.25879,1564,4994,0.24664,0.27094
2016,1st Quintile,Not at all,0.34764,2550,4994,0.33443,0.36085
2016,2nd Quintile,Strong,0.15706,797,5048,0.14702,0.16710
2016,2nd Quintile,A Little,0.30022,1738,5048,0.28758,0.31287
2016,2nd Quintile,Not at all,0.36447,2513,5048,0.35119,0.37774
2016,3rd Quintile,Strong,0.12780,623,4601,0.11815,0.13744
2016,3rd Quintile,A Little,0.30760,1585,4601,0.29427,0.32094
2016,3rd Quintile,Not at all,0.39614,2393,4601,0.38201,0.41028
2016,4th Quintile,Strong,0.09843,457,4614,0.08984,0.10703
2016,4th Quintile,A Little,0.31557,1606,4614,0.30216,0.32898
2016,4th Quintile,Not at all,0.44495,2551,4614,0.43061,0.45929
2016,5th Quintile,Strong,0.08490,414,4848,0.07706,0.09275
2016,5th Quintile,A Little,0.30591,1653,4848,0.29294,0.31888
2016,5th Quintile,Not at all,0.49976,2781,4848,0.48568,0.51384
2018,1st Quintile,Strong,0.16872,1114,7115,0.16002,0.17742
2018,1st Quintile,A Little,0.27322,2253,7115,0.26286,0.28357
2018,1st Quintile,Not at all,0.34379,3748,7115,0.33275,0.35482
2018,2nd Quintile,Strong,0.15472,794,5297,0.14498,0.16446
2018,2nd Quintile,A Little,0.29859,1827,5297,0.28627,0.31092
2018,2nd Quintile,Not at all,0.36382,2676,5297,0.35086,0.37678
2018,3rd Quintile,Strong,0.13451,641,4812,0.12487,0.14415
2018,3rd Quintile,A Little,0.30462,1658,4812,0.29161,0.31762
2018,3rd Quintile,Not at all,0.39913,2513,4812,0.38529,0.41297
2018,4th Quintile,Strong,0.09167,457,4727,0.08345,0.09990
2018,4th Quintile,A Little,0.31974,1619,4727,0.30644,0.33304
2018,4th Quintile,Not at all,0.45481,2651,4727,0.44062,0.46901
2018,5th Quintile,Strong,0.07684,428,5063,0.06951,0.08418
2018,5th Quintile,A Little,0.30562,1695,5063,0.29293,0.31832
2018,5th Quintile,Not at all,0.51192,2940,5063,0.49815,0.52569
2020,1st Quintile,Strong,0.17878,1183,6572,0.16951,0.18804
2020,1st Quintile,A Little,0.26710,2174,6572,0.25640,0.27779
2020,1st Quintile,Not at all,0.34891,3215,6572,0.33739,0.36044
2020,2nd Quintile,Strong,0.14140,738,4829,0.13157,0.15123
2020,2nd Quintile,A Little,0.32742,1879,4829,0.31419,0.34066
2020,2nd Quintile,Not at all,0.33957,2212,4829,0.32621,0.35293
2020,3rd Quintile,Strong,0.12503,544,4262,0.11510,0.13496
2020,3rd Quintile,A Little,0.33303,1610,4262,0.31888,0.34718
2020,3rd Quintile,Not at all,0.38209,2108,4262,0.36750,0.39668
2020,4th Quintile,Strong,0.08596,424,4517,0.07778,0.09413
2020,4th Quintile,A Little,0.33667,1721,4517,0.32288,0.35045
2020,4th Quintile,Not at all,0.42916,2372,4517,0.41473,0.44360
2020,5th Quintile,Strong,0.07145,414,5941,0.06490,0.07800
2020,5th Quintile,A Little,0.31386,2117,5941,0.30206,0.32566
2020,5th Quintile,Not at all,0.49348,3410,5941,0.48076,0.50619
2022,1st Quintile,Strong,0.20893,925,4257,0.19671,0.22114
2022,1st Quintile,A Little,0.29891,1633,4257,0.28516,0.31266
2022,1st Quintile,Not at all,0.29400,1699,4257,0.28032,0.30769
2022,2nd Quintile,Strong,0.17287,554,3222,0.15981,0.18593
2022,2nd Quintile,A Little,0.34707,1305,3222,0.33063,0.36351
2022,2nd Quintile,Not at all,0.31717,1363,3222,0.30110,0.33325
2022,3rd Quintile,Strong,0.16528,447,2969,0.15191,0.17864
2022,3rd Quintile,A Little,0.33608,1158,2969,0.31908,0.35307
2022,3rd Quintile,Not at all,0.34423,1364,2969,0.32713,0.36132
2022,4th Quintile,Strong,0.12558,349,3113,0.11394,0.13722
2022,4th Quintile,A Little,0.34110,1226,3113,0.32444,0.35775
2022,4th Quintile,Not at all,0.38338,1538,3113,0.36630,0.40047
2022,5th Quintile,Strong,0.09344,348,4010,0.08443,0.10245
2022,5th Quintile,A Little,0.34476,1433,4010,0.33005,0.35947
2022,5th Quintile,Not at all,0.44850,2229,4010,0.43310,0.46390
