"ple0005","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stark","2002","(noch) kein Abschluss","Schleswig-Holstein","5","0.230807975431948","0.0800326565303618","0.381583294333533"
"Stark","2002","(noch) kein Abschluss","Hamburg","","","",""
"Stark","2002","(noch) kein Abschluss","Niedersachsen","3","","",""
"Stark","2002","(noch) kein Abschluss","Bremen","","","",""
"Stark","2002","(noch) kein Abschluss","Nordrhein-Westfalen","20","","",""
"Stark","2002","(noch) kein Abschluss","Hessen","12","","",""
"Stark","2002","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","5","0.0797832400562618","0.0100507781382602","0.149515701974263"
"Stark","2002","(noch) kein Abschluss","Baden-Wuerttemberg","16","","",""
"Stark","2002","(noch) kein Abschluss","Bayern","10","","",""
"Stark","2002","(noch) kein Abschluss","Saarland","","","",""
"Stark","2002","(noch) kein Abschluss","Berlin","4","0.144675705408835","0.035661949323269","0.253689461494402"
"Stark","2002","(noch) kein Abschluss","Brandenburg","1","","",""
"Stark","2002","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Stark","2002","(noch) kein Abschluss","Sachsen","1","","",""
"Stark","2002","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Stark","2002","(noch) kein Abschluss","Thueringen","1","","",""
"Stark","2002","Hauptschule","Schleswig-Holstein","54","0.182317511662914","0.13847993889079","0.226155084435037"
"Stark","2002","Hauptschule","Hamburg","24","","",""
"Stark","2002","Hauptschule","Niedersachsen","166","","",""
"Stark","2002","Hauptschule","Bremen","25","","",""
"Stark","2002","Hauptschule","Nordrhein-Westfalen","380","0.212631181083058","0.194725732390947","0.230536629775169"
"Stark","2002","Hauptschule","Hessen","157","","",""
"Stark","2002","Hauptschule","Rheinland-Pfalz,Saarland","131","","",""
"Stark","2002","Hauptschule","Baden-Wuerttemberg","216","","",""
"Stark","2002","Hauptschule","Bayern","240","","",""
"Stark","2002","Hauptschule","Saarland","","","",""
"Stark","2002","Hauptschule","Berlin","33","0.199706885838952","0.139786983665327","0.259626788012578"
"Stark","2002","Hauptschule","Brandenburg","82","0.33788162352761","0.280054493827983","0.395708753227237"
"Stark","2002","Hauptschule","Mecklenburg-Vorpommern","39","0.349046681603177","0.264114538026333","0.433978825180022"
"Stark","2002","Hauptschule","Sachsen","125","","",""
"Stark","2002","Hauptschule","Sachsen-Anhalt","85","0.270999637186474","0.221600868542956","0.320398405829991"
"Stark","2002","Hauptschule","Thueringen","73","0.237172822690155","0.189437076999858","0.284908568380452"
"Stark","2002","Realschule","Schleswig-Holstein","14","","",""
"Stark","2002","Realschule","Hamburg","11","","",""
"Stark","2002","Realschule","Niedersachsen","57","0.116201814199268","0.0895403125401413","0.142863315858394"
"Stark","2002","Realschule","Bremen","4","0.10780483672456","0.0161678482775006","0.199441825171619"
"Stark","2002","Realschule","Nordrhein-Westfalen","89","0.115657434064507","0.0955105701222068","0.135804298006808"
"Stark","2002","Realschule","Hessen","35","0.114388000249015","0.0829603464669819","0.145815654031047"
"Stark","2002","Realschule","Rheinland-Pfalz,Saarland","20","","",""
"Stark","2002","Realschule","Baden-Wuerttemberg","51","0.111713542068606","0.0863806775672804","0.137046406569931"
"Stark","2002","Realschule","Bayern","65","0.0994106906261414","0.0778525068277987","0.120968874424484"
"Stark","2002","Realschule","Saarland","","","",""
"Stark","2002","Realschule","Berlin","31","0.150157821914103","0.104868870929597","0.195446772898609"
"Stark","2002","Realschule","Brandenburg","33","0.0917862046398615","0.061319793625954","0.122252615653769"
"Stark","2002","Realschule","Mecklenburg-Vorpommern","23","","",""
"Stark","2002","Realschule","Sachsen","52","0.0812545722760548","0.060168789247205","0.102340355304905"
"Stark","2002","Realschule","Sachsen-Anhalt","33","0.0984034769129577","0.0658699242247699","0.130937029601146"
"Stark","2002","Realschule","Thueringen","25","","",""
"Stark","2002","(Fach-)Abitur","Schleswig-Holstein","3","","",""
"Stark","2002","(Fach-)Abitur","Hamburg","3","","",""
"Stark","2002","(Fach-)Abitur","Niedersachsen","18","","",""
"Stark","2002","(Fach-)Abitur","Bremen","3","","",""
"Stark","2002","(Fach-)Abitur","Nordrhein-Westfalen","46","0.0875162977060776","0.0665671417538632","0.108465453658292"
"Stark","2002","(Fach-)Abitur","Hessen","12","","",""
