"ple0005","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Stark","2002","Schleswig-Holstein","85","0.139004381327058","0.113575456030257","0.164433306623859"
"Stark","2002","Hamburg","43","0.203290819655718","0.159401825881351","0.247179813430086"
"Stark","2002","Niedersachsen","272","0.157529817559109","0.14143878597159","0.173620849146629"
"Stark","2002","Bremen","33","0.239675738148197","0.175879462060591","0.303472014235802"
"Stark","2002","Nordrhein-Westfalen","585","0.151371363700156","0.141281337726288","0.161461389674024"
"Stark","2002","Hessen","236","0.171170700274114","0.152913403552071","0.189427996996156"
"Stark","2002","Rheinland-Pfalz,Saarland","181","0.153644022272064","0.134583661837671","0.172704382706456"
"Stark","2002","Baden-Wuerttemberg","336","0.150575144502671","0.137273685569693","0.163876603435649"
"Stark","2002","Bayern","382","0.144817987761279","0.13270787460181","0.156928100920748"
"Stark","2002","Berlin","96","0.130337479607363","0.107377679453686","0.15329727976104"
"Stark","2002","Brandenburg","156","0.176138188655439","0.152040997453228","0.20023537985765"
"Stark","2002","Mecklenburg-Vorpommern","85","0.199725525709368","0.165163212590432","0.234287838828303"
"Stark","2002","Sachsen","217","0.15529027126522","0.137761477178576","0.172819065351865"
"Stark","2002","Sachsen-Anhalt","155","0.184070078312897","0.159644048522761","0.208496108103034"
"Stark","2002","Thueringen","113","0.147342915403814","0.124967999798161","0.169717831009466"
"Ein wenig","2002","Schleswig-Holstein","212","0.331543518645053","0.296940010438978","0.366147026851128"
"Ein wenig","2002","Hamburg","79","0.242757458366618","0.196000029371087","0.28951488736215"
"Ein wenig","2002","Niedersachsen","693","0.369849234677651","0.348525668950747","0.391172800404555"
"Ein wenig","2002","Bremen","46","0.339865730443252","0.269078699826953","0.410652761059552"
"Ein wenig","2002","Nordrhein-Westfalen","1578","0.341862797595791","0.328509278779871","0.355216316411711"
"Ein wenig","2002","Hessen","513","0.323463901565665","0.300788885152296","0.346138917979035"
"Ein wenig","2002","Rheinland-Pfalz,Saarland","422","0.327310428401927","0.302508582162364","0.35211227464149"
"Ein wenig","2002","Baden-Wuerttemberg","902","0.348760857374996","0.331035529904552","0.366486184845439"
"Ein wenig","2002","Bayern","1078","0.349092813483937","0.332689270699265","0.36549635626861"
"Ein wenig","2002","Berlin","309","0.378801494317003","0.345720457676779","0.411882530957228"
"Ein wenig","2002","Brandenburg","418","0.445663509534842","0.414222046498363","0.477104972571322"
"Ein wenig","2002","Mecklenburg-Vorpommern","196","0.407455467957648","0.36497717027281","0.449933765642486"
"Ein wenig","2002","Sachsen","623","0.400039689124149","0.376329284341333","0.423750093906966"
"Ein wenig","2002","Sachsen-Anhalt","398","0.419442175496744","0.388339794008605","0.450544556984883"
"Ein wenig","2002","Thueringen","390","0.413494112293331","0.382406996762204","0.444581227824459"
"Gar nicht","2002","Schleswig-Holstein","414","0.529452100027889","0.492763718978509","0.566140481077269"
"Gar nicht","2002","Hamburg","201","0.553951721977664","0.499742431656058","0.608161012299269"
"Gar nicht","2002","Niedersachsen","1004","0.472620947763239","0.450569193001449","0.49467270252503"
"Gar nicht","2002","Bremen","93","0.420458531408551","0.346687184881228","0.494229877935874"
"Gar nicht","2002","Nordrhein-Westfalen","2684","0.506765838704053","0.492691052040266","0.52084062536784"
"Gar nicht","2002","Hessen","886","0.505365398160221","0.481130889956373","0.529599906364069"
"Gar nicht","2002","Rheinland-Pfalz,Saarland","772","0.519045549326009","0.492636580030277","0.545454518621742"
"Gar nicht","2002","Baden-Wuerttemberg","1539","0.500663998122333","0.482067559865393","0.519260436379273"
