"ple0005","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stark","2002","(noch) kein Abschluss","Staedtischer Raum","64","0.119276265010606","0.0943596937951436","0.144192836226068"
"Stark","2002","(noch) kein Abschluss","Laendlicher Raum","14","","",""
"Stark","2002","Hauptschule","Staedtischer Raum","1155","0.226317153291007","0.215518348633862","0.237115957948152"
"Stark","2002","Hauptschule","Laendlicher Raum","675","0.219912056548925","0.205352973182008","0.234471139915842"
"Stark","2002","Realschule","Staedtischer Raum","328","0.113879650503374","0.103450506570446","0.124308794436302"
"Stark","2002","Realschule","Laendlicher Raum","215","0.0998343371980192","0.0878682909614898","0.111800383434548"
"Stark","2002","(Fach-)Abitur","Staedtischer Raum","129","0.0855641859740803","0.0728453355154466","0.098283036432714"
"Stark","2002","(Fach-)Abitur","Laendlicher Raum","28","","",""
"Stark","2002","AkademikerIn","Staedtischer Raum","213","0.0881522244834323","0.0783428561560835","0.0979615928107811"
"Stark","2002","AkademikerIn","Laendlicher Raum","144","0.126422400309872","0.108548809381552","0.144295991238192"
"Ein wenig","2002","(noch) kein Abschluss","Staedtischer Raum","135","0.232130092772401","0.199673647028944","0.264586538515858"
"Ein wenig","2002","(noch) kein Abschluss","Laendlicher Raum","43","0.183302861832683","0.13553201278175","0.231073710883615"
"Ein wenig","2002","Hauptschule","Staedtischer Raum","2180","0.390527962836126","0.377937594795836","0.403118330876416"
"Ein wenig","2002","Hauptschule","Laendlicher Raum","1263","0.410502637310523","0.393210979242019","0.427794295379027"
"Ein wenig","2002","Realschule","Staedtischer Raum","1139","0.325099301120308","0.309721041085997","0.34047756115462"
"Ein wenig","2002","Realschule","Laendlicher Raum","875","0.36020807304436","0.341045863510935","0.379370282577785"
"Ein wenig","2002","(Fach-)Abitur","Staedtischer Raum","489","0.280732219516728","0.260299947153872","0.301164491879585"
"Ein wenig","2002","(Fach-)Abitur","Laendlicher Raum","145","0.282937528836661","0.246468595770615","0.319406461902707"
"Ein wenig","2002","AkademikerIn","Staedtischer Raum","1014","0.324107213942074","0.307913499121717","0.340300928762431"
"Ein wenig","2002","AkademikerIn","Laendlicher Raum","527","0.428598564959801","0.401982424902334","0.455214705017269"
"Gar nicht","2002","(noch) kein Abschluss","Staedtischer Raum","451","0.648593642216993","0.611892247911858","0.685295036522129"
"Gar nicht","2002","(noch) kein Abschluss","Laendlicher Raum","195","0.727032472322516","0.672030252414336","0.782034692230696"
"Gar nicht","2002","Hauptschule","Staedtischer Raum","2433","0.383154883872867","0.370608727006868","0.395701040738866"
"Gar nicht","2002","Hauptschule","Laendlicher Raum","1171","0.369585306140552","0.352618181827802","0.386552430453302"
"Gar nicht","2002","Realschule","Staedtischer Raum","2097","0.561021048376318","0.544728438087264","0.577313658665371"
"Gar nicht","2002","Realschule","Laendlicher Raum","1321","0.53995758975762","0.520063308848012","0.559851870667229"
"Gar nicht","2002","(Fach-)Abitur","Staedtischer Raum","1240","0.633703594509191","0.611796506654449","0.655610682363933"
"Gar nicht","2002","(Fach-)Abitur","Laendlicher Raum","413","0.661641744176504","0.62333289367351","0.699950594679499"
"Gar nicht","2002","AkademikerIn","Staedtischer Raum","1982","0.587740561574494","0.570709513771313","0.604771609377674"
"Gar nicht","2002","AkademikerIn","Laendlicher Raum","657","0.444979034730327","0.418250600237536","0.471707469223117"
"Stark","2003","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Stark","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Stark","2003","Hauptschule","Staedtischer Raum","","","",""
"Stark","2003","Hauptschule","Laendlicher Raum","","","",""
"Stark","2003","Realschule","Staedtischer Raum","","","",""
"Stark","2003","Realschule","Laendlicher Raum","","","",""
"Stark","2003","(Fach-)Abitur","Staedtischer Raum","","","",""
"Stark","2003","(Fach-)Abitur","Laendlicher Raum","","","",""
"Stark","2003","AkademikerIn","Staedtischer Raum","","","",""
"Stark","2003","AkademikerIn","Laendlicher Raum","","","",""
"Ein wenig","2003","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ein wenig","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ein wenig","2003","Hauptschule","Staedtischer Raum","","","",""
"Ein wenig","2003","Hauptschule","Laendlicher Raum","","","",""
"Ein wenig","2003","Realschule","Staedtischer Raum","","","",""
"Ein wenig","2003","Realschule","Laendlicher Raum","","","",""
"Ein wenig","2003","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ein wenig","2003","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ein wenig","2003","AkademikerIn","Staedtischer Raum","","","",""
"Ein wenig","2003","AkademikerIn","Laendlicher Raum","","","",""
"Gar nicht","2003","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Gar nicht","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Gar nicht","2003","Hauptschule","Staedtischer Raum","","","",""
"Gar nicht","2003","Hauptschule","Laendlicher Raum","","","",""
"Gar nicht","2003","Realschule","Staedtischer Raum","","","",""
"Gar nicht","2003","Realschule","Laendlicher Raum","","","",""
"Gar nicht","2003","(Fach-)Abitur","Staedtischer Raum","","","",""
"Gar nicht","2003","(Fach-)Abitur","Laendlicher Raum","","","",""
"Gar nicht","2003","AkademikerIn","Staedtischer Raum","","","",""
"Gar nicht","2003","AkademikerIn","Laendlicher Raum","","","",""
"Stark","2004","(noch) kein Abschluss","Staedtischer Raum","51","0.11066956311627","0.0864772437068343","0.134861882525705"
"Stark","2004","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Stark","2004","Hauptschule","Staedtischer Raum","1116","0.24007899404286","0.228511836514494","0.251646151571227"
"Stark","2004","Hauptschule","Laendlicher Raum","598","0.220884762721227","0.205502556899858","0.236266968542595"
"Stark","2004","Realschule","Staedtischer Raum","308","0.115914654243726","0.105027110291161","0.126802198196291"
"Stark","2004","Realschule","Laendlicher Raum","200","0.105217895355301","0.0926315806834194","0.117804210027183"
"Stark","2004","(Fach-)Abitur","Staedtischer Raum","116","0.0856428916097341","0.0728077315673019","0.0984780516521663"
"Stark","2004","(Fach-)Abitur","Laendlicher Raum","35","0.0993948980118573","0.0748331138381857","0.123956682185529"
"Stark","2004","AkademikerIn","Staedtischer Raum","240","0.10024351732966","0.089527064011247","0.110959970648073"
"Stark","2004","AkademikerIn","Laendlicher Raum","130","0.124094653117376","0.10589782590933","0.142291480325423"
"Ein wenig","2004","(noch) kein Abschluss","Staedtischer Raum","140","0.243405299302946","0.210312881850997","0.276497716754895"
"Ein wenig","2004","(noch) kein Abschluss","Laendlicher Raum","55","0.281259447246995","0.226396659439679","0.336122235054311"
