year,quintil_oecd_hh,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,Yes,0.46009,123,233,0.39596,0.52423
1996,1st Quintile,Owner,No,0.53991,110,233,0.47577,0.60404
1996,1st Quintile,Tenant,Yes,0.29181,360,1178,0.26584,0.31778
1996,1st Quintile,Tenant,No,0.70819,818,1178,0.68222,0.73416
1996,2nd Quintile,Owner,Yes,0.45477,222,415,0.40680,0.50274
1996,2nd Quintile,Owner,No,0.54523,193,415,0.49726,0.59320
1996,2nd Quintile,Tenant,Yes,0.28132,313,986,0.25324,0.30940
1996,2nd Quintile,Tenant,No,0.71868,673,986,0.69060,0.74676
1996,3rd Quintile,Owner,Yes,0.45136,284,541,0.40939,0.49333
1996,3rd Quintile,Owner,No,0.54864,257,541,0.50667,0.59061
1996,3rd Quintile,Tenant,Yes,0.31737,280,853,0.28611,0.34862
1996,3rd Quintile,Tenant,No,0.68263,573,853,0.65138,0.71389
1996,4th Quintile,Owner,Yes,0.43604,276,581,0.39568,0.47640
1996,4th Quintile,Owner,No,0.56396,305,581,0.52360,0.60432
1996,4th Quintile,Tenant,Yes,0.31306,238,717,0.27909,0.34703
1996,4th Quintile,Tenant,No,0.68694,479,717,0.65297,0.72091
1996,5th Quintile,Owner,Yes,0.34749,249,624,0.31009,0.38488
1996,5th Quintile,Owner,No,0.65251,375,624,0.61512,0.68991
1996,5th Quintile,Tenant,Yes,0.24001,134,498,0.20246,0.27756
1996,5th Quintile,Tenant,No,0.75999,364,498,0.72244,0.79754
2001,1st Quintile,Owner,Yes,0.49372,213,394,0.44429,0.54315
2001,1st Quintile,Owner,No,0.50628,181,394,0.45685,0.55571
2001,1st Quintile,Tenant,Yes,0.31253,607,1837,0.29133,0.33373
2001,1st Quintile,Tenant,No,0.68747,1230,1837,0.66627,0.70867
2001,2nd Quintile,Owner,Yes,0.49683,499,912,0.46436,0.52930
2001,2nd Quintile,Owner,No,0.50317,413,912,0.47070,0.53564
2001,2nd Quintile,Tenant,Yes,0.30503,534,1548,0.28209,0.32798
2001,2nd Quintile,Tenant,No,0.69497,1014,1548,0.67202,0.71791
2001,3rd Quintile,Owner,Yes,0.46525,595,1169,0.43664,0.49385
2001,3rd Quintile,Owner,No,0.53475,574,1169,0.50615,0.56336
2001,3rd Quintile,Tenant,Yes,0.30410,419,1267,0.27876,0.32944
2001,3rd Quintile,Tenant,No,0.69590,848,1267,0.67056,0.72124
2001,4th Quintile,Owner,Yes,0.41852,614,1331,0.39200,0.44503
2001,4th Quintile,Owner,No,0.58148,717,1331,0.55497,0.60800
2001,4th Quintile,Tenant,Yes,0.30834,344,1038,0.28023,0.33645
2001,4th Quintile,Tenant,No,0.69166,694,1038,0.66355,0.71977
2001,5th Quintile,Owner,Yes,0.35373,558,1461,0.32921,0.37826
2001,5th Quintile,Owner,No,0.64627,903,1461,0.62174,0.67079
2001,5th Quintile,Tenant,Yes,0.24781,194,720,0.21626,0.27937
2001,5th Quintile,Tenant,No,0.75219,526,720,0.72063,0.78374
2006,1st Quintile,Owner,Yes,0.42787,175,354,0.37625,0.47948
2006,1st Quintile,Owner,No,0.57213,179,354,0.52052,0.62375
2006,1st Quintile,Tenant,Yes,0.30800,585,1742,0.28631,0.32969
2006,1st Quintile,Tenant,No,0.69200,1157,1742,0.67031,0.71369
2006,2nd Quintile,Owner,Yes,0.44548,393,805,0.41112,0.47983
2006,2nd Quintile,Owner,No,0.55452,412,805,0.52017,0.58888
2006,2nd Quintile,Tenant,Yes,0.29935,475,1417,0.27550,0.32321
