year,bula_h,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Yes,0.33587,59,149,0.25978,0.41196
1996,Schleswig-Holstein,No,0.66413,90,149,0.58804,0.74022
1996,Hamburg,No,0.76811,61,61,0.66132,0.87490
1996,Lower Saxony,Yes,0.34040,198,531,0.30006,0.38074
1996,Lower Saxony,No,0.65960,333,531,0.61926,0.69994
1996,Bremen,No,0.77547,39,39,0.64280,0.90815
1996,North Rhine-Westphalia,Yes,0.32195,420,1289,0.29643,0.34747
1996,North Rhine-Westphalia,No,0.67805,869,1289,0.65253,0.70357
1996,Hesse,Yes,0.29854,139,467,0.25699,0.34009
1996,Hesse,No,0.70146,328,467,0.65991,0.74301
1996,"Rhineland-Palatinate, Saarland",Yes,0.38402,141,347,0.33278,0.43527
1996,"Rhineland-Palatinate, Saarland",No,0.61598,206,347,0.56473,0.66722
1996,Baden-Wuerttemberg,Yes,0.32476,266,840,0.29308,0.35645
1996,Baden-Wuerttemberg,No,0.67524,574,840,0.64355,0.70692
1996,Bavaria,Yes,0.33398,306,861,0.30246,0.36550
1996,Bavaria,No,0.66602,555,861,0.63450,0.69754
1996,Berlin,Yes,0.35292,114,310,0.29964,0.40621
1996,Berlin,No,0.64708,196,310,0.59379,0.70036
1996,Brandenburg,Yes,0.46162,152,300,0.40511,0.51813
1996,Brandenburg,No,0.53838,148,300,0.48187,0.59489
1996,Mecklenburg-Western Pomerania,Yes,0.40128,88,199,0.33301,0.46956
1996,Mecklenburg-Western Pomerania,No,0.59872,111,199,0.53044,0.66699
1996,Saxony,Yes,0.37898,234,548,0.33832,0.41963
1996,Saxony,No,0.62102,314,548,0.58037,0.66168
1996,Saxony-Anhalt,Yes,0.45633,169,330,0.40251,0.51015
1996,Saxony-Anhalt,No,0.54367,161,330,0.48985,0.59749
1996,Thuringa,Yes,0.41198,161,326,0.35847,0.46549
1996,Thuringa,No,0.58802,165,326,0.53451,0.64153
2001,Schleswig-Holstein,Yes,0.35019,140,363,0.30105,0.39933
2001,Schleswig-Holstein,No,0.64981,223,363,0.60067,0.69895
2001,Hamburg,Yes,0.25215,48,181,0.18871,0.31559
2001,Hamburg,No,0.74785,133,181,0.68441,0.81129
2001,Lower Saxony,Yes,0.40678,403,961,0.37571,0.43786
2001,Lower Saxony,No,0.59322,558,961,0.56214,0.62429
2001,Bremen,Yes,0.30929,39,99,0.21778,0.40080
2001,Bremen,No,0.69071,60,99,0.59920,0.78222
2001,North Rhine-Westphalia,Yes,0.31650,835,2485,0.29821,0.33479
2001,North Rhine-Westphalia,No,0.68350,1650,2485,0.66521,0.70179
2001,Hesse,Yes,0.28460,259,779,0.25289,0.31631
2001,Hesse,No,0.71540,520,779,0.68369,0.74711
2001,"Rhineland-Palatinate, Saarland",Yes,0.40923,316,720,0.37329,0.44517
2001,"Rhineland-Palatinate, Saarland",No,0.59077,404,720,0.55483,0.62671
2001,Baden-Wuerttemberg,Yes,0.31156,444,1362,0.28696,0.33617
2001,Baden-Wuerttemberg,No,0.68844,918,1362,0.66383,0.71304
2001,Bavaria,Yes,0.33131,604,1616,0.30835,0.35426
2001,Bavaria,No,0.66869,1012,1616,0.64574,0.69165
2001,Berlin,Yes,0.31222,158,481,0.27076,0.35367
2001,Berlin,No,0.68778,323,481,0.64633,0.72924
2001,Brandenburg,Yes,0.50023,261,500,0.45636,0.54410
2001,Brandenburg,No,0.49977,239,500,0.45590,0.54364
2001,Mecklenburg-Western Pomerania,Yes,0.43438,135,285,0.37674,0.49203
2001,Mecklenburg-Western Pomerania,No,0.56562,150,285,0.50797,0.62326
2001,Saxony,Yes,0.43479,404,849,0.40143,0.46816
2001,Saxony,No,0.56521,445,849,0.53184,0.59857
2001,Saxony-Anhalt,Yes,0.49722,274,505,0.45356,0.54087
2001,Saxony-Anhalt,No,0.50278,231,505,0.45913,0.54644
2001,Thuringa,Yes,0.45261,257,494,0.40867,0.49655
2001,Thuringa,No,0.54739,237,494,0.50345,0.59133
2006,Schleswig-Holstein,Yes,0.34166,145,389,0.29446,0.38885
2006,Schleswig-Holstein,No,0.65834,244,389,0.61115,0.70554
2006,Hamburg,Yes,0.18127,42,194,0.12692,0.23563
2006,Hamburg,No,0.81873,152,194,0.76437,0.87308
2006,Lower Saxony,Yes,0.35552,426,1074,0.32688,0.38416
2006,Lower Saxony,No,0.64448,648,1074,0.61584,0.67312
2006,Bremen,Yes,0.38540,36,90,0.28429,0.48652
2006,Bremen,No,0.61460,54,90,0.51348,0.71571
2006,North Rhine-Westphalia,Yes,0.30787,857,2538,0.28990,0.32583
2006,North Rhine-Westphalia,No,0.69213,1681,2538,0.67417,0.71010
2006,Hesse,Yes,0.32197,317,846,0.29046,0.35347
2006,Hesse,No,0.67803,529,846,0.64653,0.70954
2006,"Rhineland-Palatinate, Saarland",Yes,0.37554,297,727,0.34031,0.41076
2006,"Rhineland-Palatinate, Saarland",No,0.62446,430,727,0.58924,0.65969
2006,Baden-Wuerttemberg,Yes,0.30807,495,1473,0.28449,0.33166
2006,Baden-Wuerttemberg,No,0.69193,978,1473,0.66834,0.71551
2006,Bavaria,Yes,0.34099,643,1730,0.31865,0.36334
2006,Bavaria,No,0.65901,1087,1730,0.63666,0.68135
2006,Berlin,Yes,0.26946,150,484,0.22990,0.30903
2006,Berlin,No,0.73054,334,484,0.69097,0.77010
2006,Brandenburg,Yes,0.49631,279,532,0.45378,0.53884
2006,Brandenburg,No,0.50369,253,532,0.46116,0.54622
2006,Mecklenburg-Western Pomerania,Yes,0.43088,136,304,0.37512,0.48663
2006,Mecklenburg-Western Pomerania,No,0.56912,168,304,0.51337,0.62488
2006,Saxony,Yes,0.39103,377,877,0.35872,0.42335
2006,Saxony,No,0.60897,500,877,0.57665,0.64128
2006,Saxony-Anhalt,Yes,0.47133,256,492,0.42718,0.51549
2006,Saxony-Anhalt,No,0.52867,236,492,0.48451,0.57282
2006,Thuringa,Yes,0.40290,254,515,0.36049,0.44530
2006,Thuringa,No,0.59710,261,515,0.55470,0.63951
2011,Schleswig-Holstein,Yes,0.28878,136,406,0.24464,0.33292
2011,Schleswig-Holstein,No,0.71122,270,406,0.66708,0.75536
2011,Hamburg,Yes,0.22697,46,196,0.16818,0.28576
2011,Hamburg,No,0.77303,150,196,0.71424,0.83182
2011,Lower Saxony,Yes,0.33676,408,1087,0.30865,0.36487
2011,Lower Saxony,No,0.66324,679,1087,0.63513,0.69135
2011,Bremen,No,0.72209,59,59,0.60680,0.83738
2011,North Rhine-Westphalia,Yes,0.30214,798,2353,0.28358,0.32069
2011,North Rhine-Westphalia,No,0.69786,1555,2353,0.67931,0.71642
2011,Hesse,Yes,0.35721,321,830,0.32459,0.38983
2011,Hesse,No,0.64279,509,830,0.61017,0.67541
2011,"Rhineland-Palatinate, Saarland",Yes,0.34361,288,710,0.30865,0.37857
2011,"Rhineland-Palatinate, Saarland",No,0.65639,422,710,0.62143,0.69135
2011,Baden-Wuerttemberg,Yes,0.30549,477,1401,0.28136,0.32962
2011,Baden-Wuerttemberg,No,0.69451,924,1401,0.67038,0.71864
2011,Bavaria,Yes,0.32917,691,1839,0.30769,0.35066
2011,Bavaria,No,0.67083,1148,1839,0.64934,0.69231
2011,Berlin,Yes,0.21795,142,513,0.18219,0.25371
2011,Berlin,No,0.78205,371,513,0.74629,0.81781
2011,Brandenburg,Yes,0.42684,238,518,0.38421,0.46948
2011,Brandenburg,No,0.57316,280,518,0.53052,0.61579
2011,Mecklenburg-Western Pomerania,Yes,0.35971,124,315,0.30662,0.41279
2011,Mecklenburg-Western Pomerania,No,0.64029,191,315,0.58721,0.69338
2011,Saxony,Yes,0.40762,340,808,0.37371,0.44152
2011,Saxony,No,0.59238,468,808,0.55848,0.62629
2011,Saxony-Anhalt,Yes,0.44014,238,509,0.39698,0.48331
2011,Saxony-Anhalt,No,0.55986,271,509,0.51669,0.60302
2011,Thuringa,Yes,0.37500,215,519,0.33331,0.41669
2011,Thuringa,No,0.62500,304,519,0.58331,0.66669
2016,Schleswig-Holstein,Yes,0.38781,207,503,0.34519,0.43043
2016,Schleswig-Holstein,No,0.61219,296,503,0.56957,0.65481
2016,Hamburg,Yes,0.24577,74,264,0.19374,0.29781
2016,Hamburg,No,0.75423,190,264,0.70219,0.80626
2016,Lower Saxony,Yes,0.34072,545,1348,0.31541,0.36603
2016,Lower Saxony,No,0.65928,803,1348,0.63397,0.68459
2016,Bremen,Yes,0.37072,32,105,0.27789,0.46355
2016,Bremen,No,0.62928,73,105,0.53645,0.72211
2016,North Rhine-Westphalia,Yes,0.28564,942,2907,0.26921,0.30206
2016,North Rhine-Westphalia,No,0.71436,1965,2907,0.69794,0.73079
2016,Hesse,Yes,0.31304,344,978,0.28396,0.34212
