year,quintil_oecd_hh,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Yes,0.32668,483,1411,0.30220,0.35116
1996,1st Quintile,No,0.67332,928,1411,0.64884,0.69780
1996,2nd Quintile,Yes,0.33859,535,1401,0.31381,0.36338
1996,2nd Quintile,No,0.66141,866,1401,0.63662,0.68619
1996,3rd Quintile,Yes,0.37083,564,1394,0.34546,0.39619
1996,3rd Quintile,No,0.62917,830,1394,0.60381,0.65454
1996,4th Quintile,Yes,0.37267,514,1298,0.34636,0.39898
1996,4th Quintile,No,0.62733,784,1298,0.60102,0.65364
1996,5th Quintile,Yes,0.30309,383,1122,0.27618,0.32999
1996,5th Quintile,No,0.69691,739,1122,0.67001,0.72382
2001,1st Quintile,Yes,0.34237,820,2231,0.32268,0.36207
2001,1st Quintile,No,0.65763,1411,2231,0.63793,0.67732
2001,2nd Quintile,Yes,0.37089,1033,2460,0.35179,0.38998
2001,2nd Quintile,No,0.62911,1427,2460,0.61002,0.64821
2001,3rd Quintile,Yes,0.37491,1014,2436,0.35568,0.39414
2001,3rd Quintile,No,0.62509,1422,2436,0.60586,0.64432
2001,4th Quintile,Yes,0.36578,958,2369,0.34638,0.38518
2001,4th Quintile,No,0.63422,1411,2369,0.61482,0.65362
2001,5th Quintile,Yes,0.31557,752,2181,0.29606,0.33507
2001,5th Quintile,No,0.68443,1429,2181,0.66493,0.70394
2006,1st Quintile,Yes,0.32651,760,2096,0.30643,0.34659
2006,1st Quintile,No,0.67349,1336,2096,0.65341,0.69357
2006,2nd Quintile,Yes,0.34547,868,2222,0.32569,0.36524
2006,2nd Quintile,No,0.65453,1354,2222,0.63476,0.67431
2006,3rd Quintile,Yes,0.36981,976,2387,0.35044,0.38918
2006,3rd Quintile,No,0.63019,1411,2387,0.61082,0.64956
2006,4th Quintile,Yes,0.34857,983,2493,0.32986,0.36728
2006,4th Quintile,No,0.65143,1510,2493,0.63272,0.67014
2006,5th Quintile,Yes,0.31586,1120,3061,0.29939,0.33233
2006,5th Quintile,No,0.68414,1941,3061,0.66767,0.70061
2011,1st Quintile,Yes,0.28862,774,2255,0.26992,0.30733
2011,1st Quintile,No,0.71138,1481,2255,0.69267,0.73008
2011,2nd Quintile,Yes,0.31097,802,2239,0.29179,0.33015
2011,2nd Quintile,No,0.68903,1437,2239,0.66985,0.70821
2011,3rd Quintile,Yes,0.35153,950,2375,0.33232,0.37073
2011,3rd Quintile,No,0.64847,1425,2375,0.62927,0.66768
2011,4th Quintile,Yes,0.34615,941,2436,0.32725,0.36504
2011,4th Quintile,No,0.65385,1495,2436,0.63496,0.67275
2011,5th Quintile,Yes,0.33514,1016,2776,0.31758,0.35271
2011,5th Quintile,No,0.66486,1760,2776,0.64729,0.68242
2016,1st Quintile,Yes,0.28975,1094,3096,0.27377,0.30574
2016,1st Quintile,No,0.71025,2002,3096,0.69426,0.72623
2016,2nd Quintile,Yes,0.31950,1165,3041,0.30292,0.33607
2016,2nd Quintile,No,0.68050,1876,3041,0.66393,0.69708
2016,3rd Quintile,Yes,0.33408,1068,2743,0.31643,0.35174
2016,3rd Quintile,No,0.66592,1675,2743,0.64826,0.68357
2016,4th Quintile,Yes,0.33536,1020,2662,0.31742,0.35330
2016,4th Quintile,No,0.66464,1642,2662,0.64670,0.68258
2016,5th Quintile,Yes,0.31133,938,2755,0.29404,0.32862
2016,5th Quintile,No,0.68867,1817,2755,0.67138,0.70596
2021,1st Quintile,Yes,0.28791,651,2045,0.26828,0.30754
2021,1st Quintile,No,0.71209,1394,2045,0.69246,0.73172
2021,2nd Quintile,Yes,0.30858,845,2186,0.28921,0.32794
2021,2nd Quintile,No,0.69142,1341,2186,0.67206,0.71079
2021,3rd Quintile,Yes,0.31978,785,2036,0.29951,0.34004
2021,3rd Quintile,No,0.68022,1251,2036,0.65996,0.70049
2021,4th Quintile,Yes,0.35671,814,2087,0.33616,0.37727
2021,4th Quintile,No,0.64329,1273,2087,0.62273,0.66384
2021,5th Quintile,Yes,0.32040,997,2719,0.30286,0.33794
2021,5th Quintile,No,0.67960,1722,2719,0.66206,0.69714
