,Unnamed: 0,year,bula_h,sampreg,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,West,Yes,0.33568,59,6597,0.29188,0.39016
1,1,1996,Schleswig-Holstein,West,No,0.66432,90,6597,0.59684,0.73121
2,2,1996,Hamburg,West,No,1.0,61,6597,0.84784,1.15844
3,3,1996,Lower Saxony,West,Yes,0.34038,198,6597,0.31106,0.371
4,4,1996,Lower Saxony,West,No,0.65962,333,6597,0.6152,0.70706
5,5,1996,Bremen,West,No,1.0,39,6597,0.82129,1.16446
6,6,1996,North Rhine-Westphalia,West,Yes,0.32195,420,6597,0.30166,0.34674
7,7,1996,North Rhine-Westphalia,West,No,0.67805,869,6597,0.6427,0.70785
8,8,1996,Hesse,West,Yes,0.29838,139,6597,0.26787,0.33084
9,9,1996,Hesse,West,No,0.70162,328,6597,0.6511,0.76933
10,10,1996,"Rhineland-Palatinate, Saarland",West,Yes,0.38405,141,6597,0.34341,0.42412
11,11,1996,"Rhineland-Palatinate, Saarland",West,No,0.61595,206,6597,0.5611,0.68214
12,12,1996,Baden-Wuerttemberg,West,Yes,0.32477,266,6597,0.29235,0.35538
13,13,1996,Baden-Wuerttemberg,West,No,0.67523,574,6597,0.62798,0.72708
14,14,1996,Bavaria,West,Yes,0.334,306,6597,0.3086,0.35876
15,15,1996,Bavaria,West,No,0.666,555,6597,0.6153,0.70798
16,16,1996,Berlin,West,Yes,0.34937,64,6597,0.3091,0.40451
17,17,1996,Berlin,West,No,0.65063,111,6597,0.56853,0.73348
18,18,1996,Berlin,East,Yes,0.35993,50,6597,0.32043,0.41898
19,19,1996,Berlin,East,No,0.64007,85,6597,0.57712,0.69615
20,20,1996,Brandenburg,East,Yes,0.46157,152,6597,0.42027,0.49491
21,21,1996,Brandenburg,East,No,0.53843,148,6597,0.49257,0.58561
22,22,1996,Mecklenburg-Western Pomerania,East,Yes,0.40135,88,6597,0.3495,0.44691
23,23,1996,Mecklenburg-Western Pomerania,East,No,0.59865,111,6597,0.54134,0.65669
24,24,1996,Saxony,East,Yes,0.37899,234,6597,0.35084,0.40762
25,25,1996,Saxony,East,No,0.62101,314,6597,0.58192,0.66839
