,Unnamed: 0,year,quintil_oecd_hh,sampreg,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,West,Yes,0.31339,283,6626,0.28783,0.33925
1,1,1996,1st Quintile,West,No,0.68661,654,6626,0.6392,0.73635
2,2,1996,1st Quintile,East,Yes,0.35977,186,6626,0.32439,0.38961
3,3,1996,1st Quintile,East,No,0.64023,256,6626,0.59549,0.68146
4,4,1996,2nd Quintile,West,Yes,0.29159,300,6626,0.2684,0.31964
5,5,1996,2nd Quintile,West,No,0.70841,638,6626,0.66494,0.76767
6,6,1996,2nd Quintile,East,Yes,0.44882,252,6626,0.41459,0.47699
7,7,1996,2nd Quintile,East,No,0.55118,261,6626,0.51433,0.58531
8,8,1996,3rd Quintile,West,Yes,0.36721,348,6626,0.34207,0.39655
9,9,1996,3rd Quintile,West,No,0.63279,597,6626,0.60109,0.6742
10,10,1996,3rd Quintile,East,Yes,0.45498,225,6626,0.42181,0.4885
11,11,1996,3rd Quintile,East,No,0.54502,217,6626,0.50769,0.58512
12,12,1996,4th Quintile,West,Yes,0.35394,372,6626,0.3306,0.37688
13,13,1996,4th Quintile,West,No,0.64606,648,6626,0.61391,0.67493
14,14,1996,4th Quintile,East,Yes,0.4452,137,6626,0.40377,0.50465
15,15,1996,4th Quintile,East,No,0.5548,147,6626,0.51286,0.6172
16,16,1996,5th Quintile,West,Yes,0.30584,322,6626,0.27913,0.3296
17,17,1996,5th Quintile,West,No,0.69416,626,6626,0.65124,0.72716
18,18,1996,5th Quintile,East,Yes,0.28298,54,6626,0.24388,0.31577
19,19,1996,5th Quintile,East,No,0.71702,103,6626,0.61067,0.82574
20,20,2001,1st Quintile,West,Yes,0.31573,506,11678,0.29947,0.3315
21,21,2001,1st Quintile,West,No,0.68427,1020,11678,0.65963,0.70661
22,22,2001,1st Quintile,East,Yes,0.41482,309,11678,0.38866,0.44419
23,23,2001,1st Quintile,East,No,0.58518,378,11678,0.5569,0.6134
24,24,2001,2nd Quintile,West,Yes,0.34488,622,11678,0.32988,0.36119
25,25,2001,2nd Quintile,West,No,0.65512,1054,11678,0.63174,0.67783
26,26,2001,2nd Quintile,East,Yes,0.45599,407,11678,0.43125,0.48167
27,27,2001,2nd Quintile,East,No,0.54401,379,11678,0.51718,0.57245
28,28,2001,3rd Quintile,West,Yes,0.34265,672,11678,0.32621,0.35902
29,29,2001,3rd Quintile,West,No,0.65735,1110,11678,0.63545,0.67697
30,30,2001,3rd Quintile,East,Yes,0.46307,345,11678,0.43297,0.48643
31,31,2001,3rd Quintile,East,No,0.53693,333,11678,0.50953,0.56879
32,32,2001,4th Quintile,West,Yes,0.35112,737,11678,0.33562,0.37032
33,33,2001,4th Quintile,West,No,0.64888,1176,11678,0.62619,0.66749
34,34,2001,4th Quintile,East,Yes,0.46038,224,11678,0.42818,0.49572
35,35,2001,4th Quintile,East,No,0.53962,231,11678,0.49653,0.58255
36,36,2001,5th Quintile,West,Yes,0.308,636,11678,0.29548,0.32331
37,37,2001,5th Quintile,West,No,0.692,1302,11678,0.6697,0.71339
38,38,2001,5th Quintile,East,Yes,0.4839,119,11678,0.43536,0.54624
39,39,2001,5th Quintile,East,No,0.5161,118,11678,0.45802,0.56961
40,40,2006,1st Quintile,West,Yes,0.28926,443,12259,0.2723,0.30762
41,41,2006,1st Quintile,West,No,0.71074,976,12259,0.68275,0.73988
42,42,2006,1st Quintile,East,Yes,0.41254,308,12259,0.38214,0.44237
43,43,2006,1st Quintile,East,No,0.58746,354,12259,0.54692,0.63502
44,44,2006,2nd Quintile,West,Yes,0.33552,543,12259,0.31839,0.35132
45,45,2006,2nd Quintile,West,No,0.66448,949,12259,0.63989,0.68957
46,46,2006,2nd Quintile,East,Yes,0.40223,333,12259,0.36931,0.44026
47,47,2006,2nd Quintile,East,No,0.59777,409,12259,0.56437,0.63391
48,48,2006,3rd Quintile,West,Yes,0.36167,680,12259,0.34218,0.38157
49,49,2006,3rd Quintile,West,No,0.63833,1056,12259,0.61304,0.65757
50,50,2006,3rd Quintile,East,Yes,0.4414,317,12259,0.40758,0.48224
51,51,2006,3rd Quintile,East,No,0.5586,355,12259,0.51937,0.59942
52,52,2006,4th Quintile,West,Yes,0.32684,730,12259,0.30933,0.34423
53,53,2006,4th Quintile,West,No,0.67316,1248,12259,0.64359,0.69441
54,54,2006,4th Quintile,East,Yes,0.41019,243,12259,0.36905,0.45987
55,55,2006,4th Quintile,East,No,0.58981,260,12259,0.53868,0.65171
56,56,2006,5th Quintile,West,Yes,0.30678,943,12259,0.28579,0.32382
57,57,2006,5th Quintile,West,No,0.69322,1764,12259,0.66551,0.71984
58,58,2006,5th Quintile,East,Yes,0.42862,167,12259,0.3666,0.49309
59,59,2006,5th Quintile,East,No,0.57138,181,12259,0.48935,0.67004
60,60,2011,1st Quintile,West,Yes,0.25836,469,12081,0.23552,0.28612
61,61,2011,1st Quintile,West,No,0.74164,1054,12081,0.70496,0.77497
62,62,2011,1st Quintile,East,Yes,0.35401,294,12081,0.31939,0.39015
63,63,2011,1st Quintile,East,No,0.64599,421,12081,0.59906,0.69355
64,64,2011,2nd Quintile,West,Yes,0.28964,508,12081,0.26428,0.31362
65,65,2011,2nd Quintile,West,No,0.71036,1011,12081,0.67485,0.74676
66,66,2011,2nd Quintile,East,Yes,0.39139,310,12081,0.36054,0.4349
67,67,2011,2nd Quintile,East,No,0.60861,434,12081,0.55508,0.6503
68,68,2011,3rd Quintile,West,Yes,0.34076,667,12081,0.31634,0.36293
69,69,2011,3rd Quintile,West,No,0.65924,1061,12081,0.62961,0.6904
70,70,2011,3rd Quintile,East,Yes,0.40349,283,12081,0.36124,0.45369
71,71,2011,3rd Quintile,East,No,0.59651,368,12081,0.54706,0.64577
72,72,2011,4th Quintile,West,Yes,0.3312,721,12081,0.30756,0.35449
73,73,2011,4th Quintile,West,No,0.6688,1233,12081,0.64127,0.69942
74,74,2011,4th Quintile,East,Yes,0.39889,197,12081,0.3496,0.46062
75,75,2011,4th Quintile,East,No,0.60111,263,12081,0.52584,0.66912
76,76,2011,5th Quintile,West,Yes,0.33488,889,12081,0.31114,0.35457
77,77,2011,5th Quintile,West,No,0.66512,1576,12081,0.63609,0.69656
78,78,2011,5th Quintile,East,Yes,0.42774,145,12081,0.36059,0.50229
79,79,2011,5th Quintile,East,No,0.57226,177,12081,0.47675,0.64864
80,80,2016,1st Quintile,West,Yes,0.26343,717,14297,0.23589,0.28753
81,81,2016,1st Quintile,West,No,0.73657,1535,14297,0.69478,0.77719
82,82,2016,1st Quintile,East,Yes,0.39001,366,14297,0.34219,0.43978
83,83,2016,1st Quintile,East,No,0.60999,447,14297,0.55032,0.67137
84,84,2016,2nd Quintile,West,Yes,0.30479,838,14297,0.2835,0.33274
85,85,2016,2nd Quintile,West,No,0.69521,1451,14297,0.65683,0.73623
86,86,2016,2nd Quintile,East,Yes,0.35389,356,14297,0.32061,0.3923
87,87,2016,2nd Quintile,East,No,0.64611,457,14297,0.59516,0.69859
88,88,2016,3rd Quintile,West,Yes,0.32355,784,14297,0.29344,0.35145
89,89,2016,3rd Quintile,West,No,0.67645,1293,14297,0.6386,0.71441
90,90,2016,3rd Quintile,East,Yes,0.4018,285,14297,0.35471,0.46324
