,Unnamed: 0,year,quintil_oecd_hh,regtyp,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Urban regions,Yes,0.31181,270,6626,0.28041,0.34497
1,1,1996,1st Quintile,Urban regions,No,0.68819,614,6626,0.6385,0.7355
2,2,1996,1st Quintile,Rural regions,Yes,0.35002,199,6626,0.31643,0.3941
3,3,1996,1st Quintile,Rural regions,No,0.64998,296,6626,0.59485,0.70383
4,4,1996,2nd Quintile,Urban regions,Yes,0.28979,298,6626,0.26699,0.31709
5,5,1996,2nd Quintile,Urban regions,No,0.71021,609,6626,0.65595,0.75465
6,6,1996,2nd Quintile,Rural regions,Yes,0.41024,254,6626,0.37131,0.44989
7,7,1996,2nd Quintile,Rural regions,No,0.58976,290,6626,0.53163,0.65476
8,8,1996,3rd Quintile,Urban regions,Yes,0.35183,300,6626,0.32688,0.37887
9,9,1996,3rd Quintile,Urban regions,No,0.64817,545,6626,0.60816,0.69533
10,10,1996,3rd Quintile,Rural regions,Yes,0.44889,273,6626,0.41217,0.48411
11,11,1996,3rd Quintile,Rural regions,No,0.55111,269,6626,0.50347,0.6035
12,12,1996,4th Quintile,Urban regions,Yes,0.34478,326,6626,0.32185,0.37382
13,13,1996,4th Quintile,Urban regions,No,0.65522,597,6626,0.61592,0.68987
14,14,1996,4th Quintile,Rural regions,Yes,0.42782,183,6626,0.37795,0.48378
15,15,1996,4th Quintile,Rural regions,No,0.57218,198,6626,0.51804,0.64074
16,16,1996,5th Quintile,Urban regions,Yes,0.29202,268,6626,0.27311,0.31603
17,17,1996,5th Quintile,Urban regions,No,0.70798,566,6626,0.67094,0.74646
18,18,1996,5th Quintile,Rural regions,Yes,0.35009,108,6626,0.30364,0.40796
19,19,1996,5th Quintile,Rural regions,No,0.64991,163,6626,0.57267,0.73049
20,20,2001,1st Quintile,Urban regions,Yes,0.30298,449,11678,0.28487,0.31864
21,21,2001,1st Quintile,Urban regions,No,0.69702,965,11678,0.67129,0.72344
22,22,2001,1st Quintile,Rural regions,Yes,0.4177,366,11678,0.39036,0.43958
23,23,2001,1st Quintile,Rural regions,No,0.5823,433,11678,0.55268,0.61569
24,24,2001,2nd Quintile,Urban regions,Yes,0.33042,548,11678,0.31512,0.34834
25,25,2001,2nd Quintile,Urban regions,No,0.66958,962,11678,0.64504,0.69872
26,26,2001,2nd Quintile,Rural regions,Yes,0.44758,481,11678,0.42654,0.47389
27,27,2001,2nd Quintile,Rural regions,No,0.55242,471,11678,0.51855,0.58443
28,28,2001,3rd Quintile,Urban regions,Yes,0.3365,574,11678,0.3193,0.35526
29,29,2001,3rd Quintile,Urban regions,No,0.6635,992,11678,0.63874,0.68667
30,30,2001,3rd Quintile,Rural regions,Yes,0.43301,443,11678,0.40916,0.45864
31,31,2001,3rd Quintile,Rural regions,No,0.56699,451,11678,0.5355,0.60071
32,32,2001,4th Quintile,Urban regions,Yes,0.33764,591,11678,0.32156,0.35497
33,33,2001,4th Quintile,Urban regions,No,0.66236,1020,11678,0.63804,0.68598
34,34,2001,4th Quintile,Rural regions,Yes,0.43777,370,11678,0.40973,0.46602
35,35,2001,4th Quintile,Rural regions,No,0.56223,387,11678,0.52438,0.59746
