year,bula_h,sampreg,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,West,Strong,0.12598,72,716,0.10166,0.15030
2002,Schleswig-Holstein,West,A Little,0.25724,162,716,0.22520,0.28928
2002,Schleswig-Holstein,West,Not at all,0.61678,482,716,0.58114,0.65242
2002,Hamburg,West,Strong,0.17294,39,325,0.13176,0.21412
2002,Hamburg,West,A Little,0.25063,67,325,0.20344,0.29781
2002,Hamburg,West,Not at all,0.57643,219,325,0.52263,0.63024
2002,Lower Saxony,West,Strong,0.11298,188,1975,0.09902,0.12695
2002,Lower Saxony,West,A Little,0.30426,562,1975,0.28396,0.32456
2002,Lower Saxony,West,Not at all,0.58276,1225,1975,0.56100,0.60451
2002,Bremen,West,A Little,0.28174,42,153,0.21022,0.35325
2002,Bremen,West,Not at all,0.56457,111,153,0.48575,0.64340
2002,North Rhine-Westphalia,West,Strong,0.11755,451,4858,0.10849,0.12661
2002,North Rhine-Westphalia,West,A Little,0.29035,1306,4858,0.27759,0.30312
2002,North Rhine-Westphalia,West,Not at all,0.59210,3101,4858,0.57827,0.60592
2002,Hesse,West,Strong,0.14256,184,1637,0.12561,0.15950
2002,Hesse,West,A Little,0.26519,409,1637,0.24380,0.28658
2002,Hesse,West,Not at all,0.59225,1044,1637,0.56844,0.61606
2002,"Rhineland-Palatinate, Saarland",West,Strong,0.10919,136,1374,0.09269,0.12569
2002,"Rhineland-Palatinate, Saarland",West,A Little,0.28736,360,1374,0.26342,0.31129
2002,"Rhineland-Palatinate, Saarland",West,Not at all,0.60345,878,1374,0.57758,0.62933
2002,Baden-Wuerttemberg,West,Strong,0.10768,242,2787,0.09617,0.11919
2002,Baden-Wuerttemberg,West,A Little,0.29305,725,2787,0.27615,0.30995
2002,Baden-Wuerttemberg,West,Not at all,0.59927,1820,2787,0.58107,0.61746
2002,Bavaria,West,Strong,0.10666,255,3247,0.09604,0.11728
2002,Bavaria,West,A Little,0.29844,887,3247,0.28269,0.31418
2002,Bavaria,West,Not at all,0.59490,2105,3247,0.57801,0.61179
2002,Berlin,West,Strong,0.11893,47,462,0.08938,0.14848
2002,Berlin,West,A Little,0.34785,144,462,0.30437,0.39132
2002,Berlin,West,Not at all,0.53322,271,462,0.48768,0.57876
2002,Berlin,East,Strong,0.09302,32,365,0.06318,0.12286
2002,Berlin,East,A Little,0.32249,120,365,0.27447,0.37051
2002,Berlin,East,Not at all,0.58449,213,365,0.53386,0.63512
2002,Brandenburg,East,Strong,0.14000,120,959,0.11803,0.16197
2002,Brandenburg,East,A Little,0.35532,323,959,0.32501,0.38563
2002,Brandenburg,East,Not at all,0.50468,516,959,0.47302,0.53634
2002,Mecklenburg-Western Pomerania,East,Strong,0.13057,51,514,0.10141,0.15973
2002,Mecklenburg-Western Pomerania,East,A Little,0.39534,191,514,0.35303,0.43765
2002,Mecklenburg-Western Pomerania,East,Not at all,0.47409,272,514,0.43088,0.51730
2002,Saxony,East,Strong,0.12083,163,1646,0.10508,0.13658
2002,Saxony,East,A Little,0.32153,501,1646,0.29896,0.34410
2002,Saxony,East,Not at all,0.55764,982,1646,0.53364,0.58164
2002,Saxony-Anhalt,East,Strong,0.15084,123,969,0.12829,0.17338
2002,Saxony-Anhalt,East,A Little,0.34851,332,969,0.31850,0.37853
