,Unnamed: 0,year,bula_h,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2002,Schleswig-Holstein,Strong,0.12598,72,22952,0.11212,0.1442
1,1,2002,Schleswig-Holstein,A Little,0.25723,162,22952,0.23211,0.28429
2,2,2002,Schleswig-Holstein,Not at all,0.61679,482,22952,0.57279,0.65309
3,3,2002,Hamburg,Strong,0.17295,39,22952,0.14325,0.20006
4,4,2002,Hamburg,A Little,0.2506,67,22952,0.21176,0.29333
5,5,2002,Hamburg,Not at all,0.57646,219,22952,0.51022,0.64165
6,6,2002,Lower Saxony,Strong,0.11297,188,22952,0.10358,0.12391
7,7,2002,Lower Saxony,A Little,0.30429,562,22952,0.28599,0.32378
8,8,2002,Lower Saxony,Not at all,0.58274,1225,22952,0.55231,0.60685
9,9,2002,Bremen,A Little,0.33242,42,22952,0.2659,0.3845
10,10,2002,Bremen,Not at all,0.66758,111,22952,0.57465,0.76851
11,11,2002,North Rhine-Westphalia,Strong,0.11754,451,22952,0.11193,0.12361
12,12,2002,North Rhine-Westphalia,A Little,0.29033,1306,22952,0.28058,0.30052
13,13,2002,North Rhine-Westphalia,Not at all,0.59213,3101,22952,0.57712,0.6109
14,14,2002,Hesse,Strong,0.14266,184,22952,0.13016,0.15496
15,15,2002,Hesse,A Little,0.26513,409,22952,0.2472,0.28392
16,16,2002,Hesse,Not at all,0.59221,1044,22952,0.56518,0.62138
17,17,2002,"Rhineland-Palatinate, Saarland",Strong,0.1092,136,22952,0.09951,0.1206
18,18,2002,"Rhineland-Palatinate, Saarland",A Little,0.28738,360,22952,0.27038,0.30625
19,19,2002,"Rhineland-Palatinate, Saarland",Not at all,0.60342,878,22952,0.57513,0.6328
20,20,2002,Baden-Wuerttemberg,Strong,0.10766,242,22952,0.09825,0.11691
21,21,2002,Baden-Wuerttemberg,A Little,0.29306,725,22952,0.27742,0.30902
22,22,2002,Baden-Wuerttemberg,Not at all,0.59928,1820,22952,0.57518,0.6244
23,23,2002,Bavaria,Strong,0.10663,255,22952,0.09954,0.11531
24,24,2002,Bavaria,A Little,0.29846,887,22952,0.28121,0.31014
25,25,2002,Bavaria,Not at all,0.59491,2105,22952,0.57545,0.61974
26,26,2002,Berlin,Strong,0.10838,79,22952,0.09604,0.11893
27,27,2002,Berlin,A Little,0.33752,264,22952,0.31323,0.3615
28,28,2002,Berlin,Not at all,0.5541,484,22952,0.51783,0.59869
29,29,2002,Brandenburg,Strong,0.13999,120,22952,0.12623,0.15209
30,30,2002,Brandenburg,A Little,0.35531,323,22952,0.33053,0.38
31,31,2002,Brandenburg,Not at all,0.5047,516,22952,0.47275,0.53281
32,32,2002,Mecklenburg-Western Pomerania,Strong,0.13061,51,22952,0.10809,0.15145
33,33,2002,Mecklenburg-Western Pomerania,A Little,0.39526,191,22952,0.36076,0.42676
34,34,2002,Mecklenburg-Western Pomerania,Not at all,0.47413,272,22952,0.43061,0.50953
35,35,2002,Saxony,Strong,0.12083,163,22952,0.11059,0.12955
36,36,2002,Saxony,A Little,0.32151,501,22952,0.30663,0.33742
37,37,2002,Saxony,Not at all,0.55766,982,22952,0.52898,0.58079
38,38,2002,Saxony-Anhalt,Strong,0.15083,123,22952,0.13851,0.16381
39,39,2002,Saxony-Anhalt,A Little,0.34855,332,22952,0.32725,0.37079
40,40,2002,Saxony-Anhalt,Not at all,0.50063,514,22952,0.46548,0.53646
41,41,2002,Thuringa,Strong,0.10669,86,22952,0.09199,0.12225
42,42,2002,Thuringa,A Little,0.35735,304,22952,0.33329,0.38083
43,43,2002,Thuringa,Not at all,0.53596,575,22952,0.49983,0.574
44,44,2004,Schleswig-Holstein,Strong,0.11145,61,21535,0.09621,0.12879
45,45,2004,Schleswig-Holstein,A Little,0.25479,159,21535,0.22606,0.28394
46,46,2004,Schleswig-Holstein,Not at all,0.63376,449,21535,0.58787,0.68398
47,47,2004,Hamburg,Strong,0.16121,33,21535,0.13559,0.19636
48,48,2004,Hamburg,A Little,0.23541,63,21535,0.19893,0.27705
49,49,2004,Hamburg,Not at all,0.60339,197,21535,0.53893,0.69521
50,50,2004,Lower Saxony,Strong,0.11631,172,21535,0.10559,0.12873
51,51,2004,Lower Saxony,A Little,0.31398,542,21535,0.29104,0.33644
52,52,2004,Lower Saxony,Not at all,0.5697,1163,21535,0.53999,0.59488
53,53,2004,Bremen,A Little,0.32255,41,21535,0.2648,0.3912
54,54,2004,Bremen,Not at all,0.67745,109,21535,0.56923,0.78287
55,55,2004,North Rhine-Westphalia,Strong,0.13234,467,21535,0.12497,0.14021
56,56,2004,North Rhine-Westphalia,A Little,0.28759,1209,21535,0.27592,0.29906
57,57,2004,North Rhine-Westphalia,Not at all,0.58007,2856,21535,0.56179,0.59885
58,58,2004,Hesse,Strong,0.14157,154,21535,0.12742,0.1559
59,59,2004,Hesse,A Little,0.28006,388,21535,0.25725,0.29781
60,60,2004,Hesse,Not at all,0.57837,896,21535,0.5532,0.61213
61,61,2004,"Rhineland-Palatinate, Saarland",Strong,0.11879,131,21535,0.10805,0.13154
62,62,2004,"Rhineland-Palatinate, Saarland",A Little,0.28743,342,21535,0.26347,0.31083
63,63,2004,"Rhineland-Palatinate, Saarland",Not at all,0.59378,829,21535,0.56269,0.62265
64,64,2004,Baden-Wuerttemberg,Strong,0.10681,226,21535,0.09627,0.11756
65,65,2004,Baden-Wuerttemberg,A Little,0.29656,700,21535,0.27766,0.31634
66,66,2004,Baden-Wuerttemberg,Not at all,0.59663,1672,21535,0.57474,0.61925
67,67,2004,Bavaria,Strong,0.10875,254,21535,0.09963,0.11851
68,68,2004,Bavaria,A Little,0.30088,831,21535,0.28432,0.31833
69,69,2004,Bavaria,Not at all,0.59037,1946,21535,0.56376,0.61064
70,70,2004,Berlin,Strong,0.12183,86,21535,0.10882,0.13634
71,71,2004,Berlin,A Little,0.31392,247,21535,0.28694,0.34014
72,72,2004,Berlin,Not at all,0.56425,470,21535,0.51499,0.61378
73,73,2004,Brandenburg,Strong,0.15797,113,21535,0.13919,0.17588
74,74,2004,Brandenburg,A Little,0.35354,323,21535,0.32901,0.38052
75,75,2004,Brandenburg,Not at all,0.48849,465,21535,0.45657,0.53675
76,76,2004,Mecklenburg-Western Pomerania,Strong,0.10385,46,21535,0.08714,0.11978
77,77,2004,Mecklenburg-Western Pomerania,A Little,0.38533,178,21535,0.35482,0.42719
78,78,2004,Mecklenburg-Western Pomerania,Not at all,0.51083,286,21535,0.46037,0.55642
79,79,2004,Saxony,Strong,0.13437,166,21535,0.12119,0.14797
80,80,2004,Saxony,A Little,0.31843,481,21535,0.30158,0.33649
81,81,2004,Saxony,Not at all,0.5472,920,21535,0.52322,0.57218
82,82,2004,Saxony-Anhalt,Strong,0.14923,108,21535,0.13491,0.16089
83,83,2004,Saxony-Anhalt,A Little,0.34288,316,21535,0.31395,0.36452
84,84,2004,Saxony-Anhalt,Not at all,0.50789,497,21535,0.46789,0.5454
85,85,2004,Thuringa,Strong,0.1324,101,21535,0.11594,0.14689
86,86,2004,Thuringa,A Little,0.34502,308,21535,0.31459,0.37131
87,87,2004,Thuringa,Not at all,0.52258,534,21535,0.486,0.56289
88,88,2006,Schleswig-Holstein,Strong,0.12892,77,21884,0.113,0.14612
89,89,2006,Schleswig-Holstein,A Little,0.30857,195,21884,0.27809,0.33555
90,90,2006,Schleswig-Holstein,Not at all,0.56251,401,21884,0.5227,0.60294
91,91,2006,Hamburg,A Little,0.30284,68,21884,0.25244,0.35095
92,92,2006,Hamburg,Not at all,0.69716,208,21884,0.62306,0.78331
93,93,2006,Lower Saxony,Strong,0.10271,184,21884,0.09431,0.11216
94,94,2006,Lower Saxony,A Little,0.32091,577,21884,0.30219,0.34084
95,95,2006,Lower Saxony,Not at all,0.57637,1192,21884,0.54994,0.61118
96,96,2006,Bremen,A Little,0.39513,45,21884,0.30599,0.48393
97,97,2006,Bremen,Not at all,0.60487,87,21884,0.50252,0.70788
98,98,2006,North Rhine-Westphalia,Strong,0.11657,456,21884,0.11085,0.12231
