,Unnamed: 0,year,bula_h,regtyp,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2002,Schleswig-Holstein,Urban regions,A Little,0.25945,60,22729,0.21149,0.30819
1,1,2002,Schleswig-Holstein,Urban regions,Not at all,0.74055,216,22729,0.6727,0.81719
2,2,2002,Schleswig-Holstein,Rural regions,Strong,0.10905,42,22729,0.09156,0.12841
3,3,2002,Schleswig-Holstein,Rural regions,A Little,0.28159,102,22729,0.24921,0.31766
4,4,2002,Schleswig-Holstein,Rural regions,Not at all,0.60936,266,22729,0.56541,0.6611
5,5,2002,Hamburg,Urban regions,Strong,0.17295,39,22729,0.14916,0.19925
6,6,2002,Hamburg,Urban regions,A Little,0.2506,67,22729,0.21576,0.28788
7,7,2002,Hamburg,Urban regions,Not at all,0.57646,219,22729,0.50172,0.64155
8,8,2002,Lower Saxony,Urban regions,Strong,0.10046,85,22729,0.09059,0.11005
9,9,2002,Lower Saxony,Urban regions,A Little,0.29586,256,22729,0.26645,0.31733
10,10,2002,Lower Saxony,Urban regions,Not at all,0.60369,620,22729,0.55914,0.64785
11,11,2002,Lower Saxony,Rural regions,Strong,0.12482,103,22729,0.11212,0.13685
12,12,2002,Lower Saxony,Rural regions,A Little,0.31228,306,22729,0.28853,0.33848
13,13,2002,Lower Saxony,Rural regions,Not at all,0.56289,605,22729,0.53393,0.5963
14,14,2002,Bremen,Urban regions,A Little,0.33242,42,22729,0.27624,0.38997
15,15,2002,Bremen,Urban regions,Not at all,0.66758,111,22729,0.5786,0.77037
16,16,2002,North Rhine-Westphalia,Urban regions,Strong,0.11946,444,22729,0.11319,0.12692
17,17,2002,North Rhine-Westphalia,Urban regions,A Little,0.29691,1291,22729,0.28704,0.30873
18,18,2002,North Rhine-Westphalia,Urban regions,Not at all,0.58363,3005,22729,0.56767,0.59836
19,19,2002,North Rhine-Westphalia,Rural regions,Not at all,1.0,96,22729,0.88846,1.11394
20,20,2002,Hesse,Urban regions,Strong,0.15221,157,22729,0.13566,0.1677
21,21,2002,Hesse,Urban regions,A Little,0.25515,323,22729,0.232,0.27607
22,22,2002,Hesse,Urban regions,Not at all,0.59265,855,22729,0.55774,0.62575
23,23,2002,Hesse,Rural regions,A Little,0.34325,86,22729,0.29632,0.38404
24,24,2002,Hesse,Rural regions,Not at all,0.65675,189,22729,0.59496,0.7291
25,25,2002,"Rhineland-Palatinate, Saarland",Urban regions,Strong,0.11515,109,22729,0.10073,0.12652
