year,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,maennlich,1.4014680345640305,1.3519634059872392,1.4509726631408217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,537.0
1984,weiblich,1.3190542627521122,1.2821944278167228,1.3559140976875017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,732.0
1985,maennlich,1.540545540520308,1.4608833605390188,1.620207720501597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,453.0
1985,weiblich,1.409493989784378,1.3550443685864877,1.463943610982268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,695.0
1986,maennlich,1.7693244013741647,1.5957155647161791,1.9429332380321502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,517.0
1986,weiblich,1.4777408221233188,1.3871174503349792,1.5683641939116584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,650.0
1987,maennlich,1.630427681155469,1.5119079927369,1.748947369574038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,438.0
1987,weiblich,1.486408486022611,1.4147661622150818,1.5580508098301402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,695.0
1988,maennlich,1.6820707626016662,1.5536758999351028,1.8104656252682296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,460.0
1988,weiblich,1.5099294313767615,1.4335560568449195,1.5863028059086035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,639.0
1989,maennlich,1.7563669413523642,1.5882583444549168,1.9244755382498115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,400.0
1989,weiblich,1.4950815231302284,1.3851318186763504,1.6050312275841063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,633.0
1990,-1,,,,,,,,,,,,
1990,maennlich,,,,,,,,,,,,
1990,weiblich,,,,,,,,,,,,
1991,maennlich,1.4716966050625238,1.4005704861369717,1.5428227239880759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,418.0
1991,weiblich,1.6507194726621137,1.5598348002253275,1.7416041450989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,650.0
1992,maennlich,1.497092251212154,1.4351363535303225,1.5590481488939856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,550.0
1992,weiblich,1.4759470012137248,1.406525976521141,1.5453680259063085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,797.0
1993,maennlich,,,,,,,,,,,,
1993,weiblich,,,,,,,,,,,,
1994,maennlich,1.5164350067796812,1.4150386943231064,1.6178313192362561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,523.0
1994,weiblich,1.4526111931420993,1.4068820895531056,1.498340296731093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,860.0
1995,maennlich,1.6373323998240474,1.5479256112512916,1.7267391883968033,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0,562.0
1995,weiblich,1.4264228597360946,1.3923873816423795,1.4604583378298097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,885.0
1996,maennlich,1.7261290190797054,1.6257358443216285,1.8265221938377822,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,576.0
1996,weiblich,1.5341183856124962,1.4641534243236707,1.6040833469013218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,910.0
1997,maennlich,1.780216876024002,1.685042023302822,1.875391728745182,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,580.0
1997,weiblich,1.451570193958455,1.3771698956955565,1.5259704922213537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,877.0
1998,maennlich,1.6711204356874292,1.536096096776616,1.8061447745982424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,655.0
1998,weiblich,1.4078241986048496,1.3677401836016927,1.4479082136080066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,981.0
1999,maennlich,1.547446356681253,1.4897056874076533,1.6051870259548529,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,647.0
1999,weiblich,1.4983436127291399,1.4531546303942697,1.54353259506401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,940.0
2000,maennlich,1.760081814917088,1.6956018968941482,1.8245617329400279,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1158.0
2000,weiblich,1.5007408943574587,1.4621909576438368,1.5392908310710807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1604.0
2001,maennlich,1.4532901469429857,1.4243997692224994,1.482180524663472,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1056.0
2001,weiblich,1.3296751192209784,1.308694036277866,1.3506562021640907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1515.0
2002,maennlich,1.3933374124453122,1.365813716386966,1.4208611085036584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1174.0
2002,weiblich,1.3510384524021513,1.3204591844338376,1.381617720370465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1467.0
2003,maennlich,1.4533332517851647,1.4236499580694093,1.48301654550092,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1099.0
