year,bula_h,sampreg,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,West,Yes,0.10164,52,510,0.07539,0.12789
2009,Schleswig-Holstein,West,No,0.89836,458,510,0.87211,0.92461
2009,Hamburg,West,No,0.94047,252,252,0.91119,0.96974
2009,Lower Saxony,West,Yes,0.11031,179,1633,0.09511,0.12551
2009,Lower Saxony,West,No,0.88969,1454,1633,0.87449,0.90489
2009,Bremen,West,No,0.97329,118,118,0.94408,1.00251
2009,North Rhine-Westphalia,West,Yes,0.10036,341,3628,0.09059,0.11014
2009,North Rhine-Westphalia,West,No,0.89964,3287,3628,0.88986,0.90941
2009,Hesse,West,Yes,0.09747,113,1217,0.08080,0.11415
2009,Hesse,West,No,0.90253,1104,1217,0.88585,0.91920
2009,"Rhineland-Palatinate, Saarland",West,Yes,0.09112,91,1024,0.07348,0.10875
2009,"Rhineland-Palatinate, Saarland",West,No,0.90888,933,1024,0.89125,0.92652
2009,Baden-Wuerttemberg,West,Yes,0.07910,128,2107,0.06757,0.09062
2009,Baden-Wuerttemberg,West,No,0.92090,1979,2107,0.90938,0.93243
2009,Bavaria,West,Yes,0.09467,217,2609,0.08344,0.10591
2009,Bavaria,West,No,0.90533,2392,2609,0.89409,0.91656
2009,Berlin,West,Yes,0.12476,37,362,0.09067,0.15885
2009,Berlin,West,No,0.87524,325,362,0.84115,0.90933
2009,Berlin,East,Yes,0.14379,42,321,0.10535,0.18224
2009,Berlin,East,No,0.85621,279,321,0.81776,0.89465
2009,Brandenburg,East,Yes,0.12467,90,789,0.10161,0.14774
2009,Brandenburg,East,No,0.87533,699,789,0.85226,0.89839
2009,Mecklenburg-Western Pomerania,East,Yes,0.13275,53,470,0.10204,0.16346
2009,Mecklenburg-Western Pomerania,East,No,0.86725,417,470,0.83654,0.89796
2009,Saxony,East,Yes,0.09405,129,1369,0.07858,0.10952
2009,Saxony,East,No,0.90595,1240,1369,0.89048,0.92142
2009,Saxony-Anhalt,East,Yes,0.09806,77,769,0.07702,0.11909
2009,Saxony-Anhalt,East,No,0.90194,692,769,0.88091,0.92298
2009,Thuringa,East,Yes,0.10335,88,823,0.08254,0.12416
2009,Thuringa,East,No,0.89665,735,823,0.87584,0.91746
2011,Schleswig-Holstein,West,Yes,0.11213,70,651,0.08787,0.13639
2011,Schleswig-Holstein,West,No,0.88787,581,651,0.86361,0.91213
