year,bula_h,regtyp,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,No,0.90532,175,175,0.86181,0.94882
2009,Schleswig-Holstein,Rural regions,Yes,0.10519,34,317,0.07136,0.13902
2009,Schleswig-Holstein,Rural regions,No,0.89481,283,317,0.86098,0.92864
2009,Hamburg,Urban regions,No,0.94047,252,252,0.91119,0.96974
2009,Lower Saxony,Urban regions,Yes,0.12612,89,770,0.10266,0.14959
2009,Lower Saxony,Urban regions,No,0.87388,681,770,0.85041,0.89734
2009,Lower Saxony,Rural regions,Yes,0.09625,90,863,0.07656,0.11594
2009,Lower Saxony,Rural regions,No,0.90375,773,863,0.88406,0.92344
2009,Bremen,Urban regions,No,0.97329,118,118,0.94408,1.00251
2009,North Rhine-Westphalia,Urban regions,Yes,0.10124,333,3522,0.09128,0.11121
2009,North Rhine-Westphalia,Urban regions,No,0.89876,3189,3522,0.88879,0.90872
2009,North Rhine-Westphalia,Rural regions,No,0.92460,98,98,0.87206,0.97715
2009,Hesse,Urban regions,Yes,0.09688,89,997,0.07851,0.11525
2009,Hesse,Urban regions,No,0.90312,908,997,0.88475,0.92149
2009,Hesse,Rural regions,No,0.90014,196,196,0.85806,0.94222
2009,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.08630,71,775,0.06651,0.10608
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,0.91370,704,775,0.89392,0.93349
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,0.89422,229,229,0.85430,0.93414
2009,Baden-Wuerttemberg,Urban regions,Yes,0.07766,113,1917,0.06568,0.08964
2009,Baden-Wuerttemberg,Urban regions,No,0.92234,1804,1917,0.91036,0.93432
2009,Baden-Wuerttemberg,Rural regions,No,0.90929,175,175,0.86662,0.95196
2009,Bavaria,Urban regions,Yes,0.09935,112,1263,0.08285,0.11586
2009,Bavaria,Urban regions,No,0.90065,1151,1263,0.88414,0.91715
2009,Bavaria,Rural regions,Yes,0.09012,105,1346,0.07482,0.10542
2009,Bavaria,Rural regions,No,0.90988,1241,1346,0.89458,0.92518
2009,Berlin,Urban regions,Yes,0.13363,79,683,0.10809,0.15916
2009,Berlin,Urban regions,No,0.86637,604,683,0.84084,0.89191
2009,Brandenburg,Urban regions,No,0.85754,58,58,0.76681,0.94828
2009,Brandenburg,Rural regions,Yes,0.12296,83,724,0.09902,0.14689
2009,Brandenburg,Rural regions,No,0.87704,641,724,0.85311,0.90098
2009,Mecklenburg-Western Pomerania,Urban regions,No,0.89716,53,53,0.81461,0.97972
2009,Mecklenburg-Western Pomerania,Rural regions,Yes,0.13625,48,412,0.10308,0.16942
2009,Mecklenburg-Western Pomerania,Rural regions,No,0.86375,364,412,0.83058,0.89692
2009,Saxony,Urban regions,Yes,0.09450,62,695,0.07274,0.11627
2009,Saxony,Urban regions,No,0.90550,633,695,0.88373,0.92726
2009,Saxony,Rural regions,Yes,0.09365,67,674,0.07164,0.11566
2009,Saxony,Rural regions,No,0.90635,607,674,0.88434,0.92836
2009,Saxony-Anhalt,Urban regions,No,0.92469,138,138,0.88050,0.96888
2009,Saxony-Anhalt,Rural regions,Yes,0.10342,67,621,0.07945,0.12739
2009,Saxony-Anhalt,Rural regions,No,0.89658,554,621,0.87261,0.92055
2009,Thuringa,Urban regions,No,0.91962,220,220,0.88362,0.95563
2009,Thuringa,Rural regions,Yes,0.11314,62,577,0.08727,0.13901
2009,Thuringa,Rural regions,No,0.88686,515,577,0.86099,0.91273
2011,Schleswig-Holstein,Urban regions,No,0.91747,185,185,0.87771,0.95723
2011,Schleswig-Holstein,Rural regions,Yes,0.12491,50,446,0.09419,0.15563
2011,Schleswig-Holstein,Rural regions,No,0.87509,396,446,0.84437,0.90581
2011,Hamburg,Urban regions,No,0.92258,290,290,0.89177,0.95339
2011,Lower Saxony,Urban regions,Yes,0.11348,79,861,0.09228,0.13468
2011,Lower Saxony,Urban regions,No,0.88652,782,861,0.86532,0.90772
2011,Lower Saxony,Rural regions,Yes,0.09393,106,1047,0.07625,0.11161
2011,Lower Saxony,Rural regions,No,0.90607,941,1047,0.88839,0.92375
2011,Bremen,Urban regions,No,0.98026,122,122,0.95548,1.00505
2011,North Rhine-Westphalia,Urban regions,Yes,0.10244,393,3996,0.09303,0.11184
2011,North Rhine-Westphalia,Urban regions,No,0.89756,3603,3996,0.88816,0.90697
2011,North Rhine-Westphalia,Rural regions,No,0.90904,119,119,0.85716,0.96093
2011,Hesse,Urban regions,Yes,0.09605,102,1157,0.07907,0.11304
2011,Hesse,Urban regions,No,0.90395,1055,1157,0.88696,0.92093
2011,Hesse,Rural regions,No,0.90571,226,226,0.86753,0.94390
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.08126,76,878,0.06317,0.09934
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.91874,802,878,0.90066,0.93683
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90706,299,299,0.87409,0.94002
2011,Baden-Wuerttemberg,Urban regions,Yes,0.08191,161,2240,0.07055,0.09326
2011,Baden-Wuerttemberg,Urban regions,No,0.91809,2079,2240,0.90674,0.92945
