"ple0014","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2017","2","345","0.102926011219609","0.093458370491301","0.112393651947917"
"Ja","2017","3","401","0.111018086253105","0.101849483614664","0.120186688891547"
"Ja","2017","4","550","0.102145688586293","0.0948150539416987","0.109476323230887"
"Ja","2017","5 Einkommensstärkstes Quintil","578","0.0778116161325459","0.0720919667761186","0.0835312654889733"
"Nein","2017","1 Einkommensschwächstes Quintil","2827","0.883577932431134","0.872287584429838","0.894868280432431"
"Nein","2017","2","3612","0.897073988780391","0.887606348052083","0.906541629508699"
"Nein","2017","3","4109","0.888981913746895","0.879813311108453","0.898150516385336"
"Nein","2017","4","6006","0.897854311413707","0.890523676769113","0.905184946058301"
"Nein","2017","5 Einkommensstärkstes Quintil","7848","0.922188383867454","0.916468734511027","0.927908033223881"
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","","","",""
"Ja","2018","3","","","",""
"Ja","2018","4","","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","","","",""
"Nein","2018","3","","","",""
"Nein","2018","4","","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","198","0.103832447440229","0.0914357960349285","0.11622909884553"
"Ja","2019","2","308","0.133241902995436","0.121022045756364","0.145461760234507"
"Ja","2019","3","411","0.130641114171597","0.119676481333579","0.141605747009614"
"Ja","2019","4","593","0.107248322860339","0.0996075303141794","0.114889115406498"
"Ja","2019","5 Einkommensstärkstes Quintil","814","0.0789495949080351","0.0738158735024771","0.0840833163135931"
"Nein","2019","1 Einkommensschwächstes Quintil","2128","0.896167552559771","0.88377090115447","0.908564203965071"
"Nein","2019","2","2663","0.866758097004564","0.854538239765493","0.878977954243636"
"Nein","2019","3","3218","0.869358885828403","0.858394252990386","0.880323518666421"
"Nein","2019","4","5707","0.892751677139661","0.885110884593502","0.900392469685821"
"Nein","2019","5 Einkommensstärkstes Quintil","9785","0.921050405091965","0.915916683686407","0.926184126497523"
