year,sampreg,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,Strong,0.09630,1633,17553,0.09193,0.10066
2002,West,A Little,0.23875,4664,17553,0.23244,0.24506
2002,West,Not at all,0.48657,11256,17553,0.47917,0.49396
2002,East,Strong,0.10844,575,5418,0.10016,0.11672
2002,East,A Little,0.29798,1771,5418,0.28580,0.31016
2002,East,Not at all,0.45583,3072,5418,0.44257,0.46909
2004,West,Strong,0.10039,1562,16342,0.09579,0.10500
2004,West,A Little,0.24110,4410,16342,0.23455,0.24766
2004,West,Not at all,0.48442,10370,16342,0.47676,0.49208
2004,East,Strong,0.11780,573,5210,0.10905,0.12656
2004,East,A Little,0.29470,1718,5210,0.28232,0.30708
2004,East,Not at all,0.45683,2919,5210,0.44330,0.47035
2006,West,Strong,0.09555,1659,16657,0.09109,0.10002
2006,West,A Little,0.24768,4691,16657,0.24112,0.25423
2006,West,Not at all,0.48146,10307,16657,0.47387,0.48904
2006,East,Strong,0.11321,582,5265,0.10465,0.12177
2006,East,A Little,0.31171,1880,5265,0.29920,0.32422
2006,East,Not at all,0.44050,2803,5265,0.42709,0.45391
2008,West,Strong,0.09661,1484,14510,0.09180,0.10141
2008,West,A Little,0.24593,4108,14510,0.23892,0.25293
2008,West,Not at all,0.48666,8918,14510,0.47852,0.49479
2008,East,Strong,0.10543,532,4761,0.09671,0.11416
2008,East,A Little,0.30935,1650,4761,0.29622,0.32248
2008,East,Not at all,0.45990,2579,4761,0.44574,0.47405
2014,West,Strong,0.09817,2000,21444,0.09419,0.10216
2014,West,A Little,0.24961,5801,21444,0.24382,0.25540
2014,West,Not at all,0.48912,13643,21444,0.48243,0.49581
2014,East,Strong,0.12662,689,5564,0.11788,0.13536
2014,East,A Little,0.30721,1911,5564,0.29509,0.31933
2014,East,Not at all,0.41864,2964,5564,0.40567,0.43160
2016,West,Strong,0.09761,2022,21540,0.09365,0.10158
2016,West,A Little,0.25297,5867,21540,0.24717,0.25878
2016,West,Not at all,0.48228,13651,21540,0.47561,0.48895
2016,East,Strong,0.11238,659,5522,0.10405,0.12071
2016,East,A Little,0.29638,1884,5522,0.28434,0.30843
2016,East,Not at all,0.43984,2979,5522,0.42674,0.45293
2018,West,Strong,0.09880,2222,23110,0.09496,0.10265
2018,West,A Little,0.25848,6451,23110,0.25284,0.26413
2018,West,Not at all,0.48240,14437,23110,0.47595,0.48884
2018,East,Strong,0.10320,654,5991,0.09550,0.11091
2018,East,A Little,0.29834,2076,5991,0.28676,0.30993
2018,East,Not at all,0.43941,3261,5991,0.42684,0.45198
2020,West,Strong,0.09507,2136,23535,0.09132,0.09881
2020,West,A Little,0.27719,7013,23535,0.27147,0.28291
2020,West,Not at all,0.45946,14386,23535,0.45309,0.46583
2020,East,Strong,0.10814,643,5815,0.10015,0.11612
2020,East,A Little,0.29631,1993,5815,0.28457,0.30805
2020,East,Not at all,0.43965,3179,5815,0.42690,0.45241
