year,age_gr,bula_h,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Schleswig-Holstein,Not at all,0.88159,102,102,0.81857,0.94460
2002,17-29 y.,Hamburg,Not at all,0.84465,45,45,0.73762,0.95169
2002,17-29 y.,Lower Saxony,A Little,0.12457,43,343,0.08957,0.15957
2002,17-29 y.,Lower Saxony,Not at all,0.84563,300,343,0.80734,0.88392
2002,17-29 y.,North Rhine-Westphalia,A Little,0.10661,87,811,0.08536,0.12787
2002,17-29 y.,North Rhine-Westphalia,Not at all,0.87992,724,811,0.85753,0.90230
2002,17-29 y.,Hesse,A Little,0.12118,35,271,0.08226,0.16011
2002,17-29 y.,Hesse,Not at all,0.85425,236,271,0.81216,0.89634
2002,17-29 y.,"Rhineland-Palatinate, Saarland",Not at all,0.86446,196,196,0.81641,0.91250
2002,17-29 y.,Baden-Wuerttemberg,A Little,0.09555,52,531,0.07052,0.12057
2002,17-29 y.,Baden-Wuerttemberg,Not at all,0.89190,479,531,0.86546,0.91834
2002,17-29 y.,Bavaria,A Little,0.11716,60,559,0.09047,0.14384
2002,17-29 y.,Bavaria,Not at all,0.84822,499,559,0.81845,0.87799
2002,17-29 y.,Berlin,Not at all,0.79291,133,133,0.72378,0.86204
2002,17-29 y.,Brandenburg,Not at all,0.87062,165,165,0.81926,0.92199
2002,17-29 y.,Mecklenburg-Western Pomerania,Not at all,0.75050,81,81,0.65567,0.84532
2002,17-29 y.,Saxony,A Little,0.12463,38,309,0.08774,0.16152
2002,17-29 y.,Saxony,Not at all,0.86706,271,309,0.82914,0.90498
2002,17-29 y.,Saxony-Anhalt,Not at all,0.86440,156,156,0.81050,0.91829
2002,17-29 y.,Thuringa,Not at all,0.93444,190,190,0.89915,0.96973
2002,30-45 y.,Schleswig-Holstein,A Little,0.19181,35,197,0.13669,0.24693
2002,30-45 y.,Schleswig-Holstein,Not at all,0.76101,162,197,0.70130,0.82071
