year,age_gr,migback,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,No migration background,Strong,0.01491,37,3169,0.01069,0.01913
2002,17-29 y.,No migration background,A Little,0.12059,371,3169,0.10925,0.13193
2002,17-29 y.,No migration background,Not at all,0.86093,2761,3169,0.84888,0.87298
2002,17-29 y.,Direct migration background,A Little,0.09079,41,433,0.06369,0.11788
2002,17-29 y.,Direct migration background,Not at all,0.89792,392,433,0.86937,0.92647
2002,17-29 y.,Indirect migration background,A Little,0.12125,57,509,0.09286,0.14963
2002,17-29 y.,Indirect migration background,Not at all,0.85003,452,509,0.81899,0.88108
2002,30-45 y.,No migration background,Strong,0.03119,189,6270,0.02689,0.03550
2002,30-45 y.,No migration background,A Little,0.20008,1212,6270,0.19017,0.20998
2002,30-45 y.,No migration background,Not at all,0.76710,4869,6270,0.75663,0.77756
2002,30-45 y.,Direct migration background,Strong,0.04681,33,970,0.03351,0.06011
2002,30-45 y.,Direct migration background,A Little,0.25708,215,970,0.22956,0.28459
2002,30-45 y.,Direct migration background,Not at all,0.69611,722,970,0.66715,0.72507
2002,30-45 y.,Indirect migration background,A Little,0.21544,34,184,0.15587,0.27501
2002,30-45 y.,Indirect migration background,Not at all,0.75228,150,184,0.68974,0.81483
2002,46-65 y.,No migration background,Strong,0.12062,715,6762,0.11285,0.12838
2002,46-65 y.,No migration background,A Little,0.37226,2420,6762,0.36073,0.38378
2002,46-65 y.,No migration background,Not at all,0.50527,3627,6762,0.49335,0.51718
2002,46-65 y.,Direct migration background,Strong,0.14532,153,1035,0.12384,0.16680
2002,46-65 y.,Direct migration background,A Little,0.40585,411,1035,0.37592,0.43578
2002,46-65 y.,Direct migration background,Not at all,0.44639,471,1035,0.41609,0.47669
2002,66 and older,No migration background,Strong,0.31566,935,3216,0.29960,0.33173
2002,66 and older,No migration background,A Little,0.45486,1475,3216,0.43765,0.47207
2002,66 and older,No migration background,Not at all,0.22498,806,3216,0.21054,0.23941
2002,66 and older,Direct migration background,Strong,0.31440,111,346,0.26541,0.36340
2002,66 and older,Direct migration background,A Little,0.50254,180,346,0.44978,0.55530
2002,66 and older,Direct migration background,Not at all,0.17622,55,346,0.13602,0.21643
2004,17-29 y.,No migration background,Strong,0.01473,36,3066,0.01046,0.01899
2004,17-29 y.,No migration background,A Little,0.13340,399,3066,0.12136,0.14543
2004,17-29 y.,No migration background,Not at all,0.85046,2631,3066,0.83783,0.86308
