year,migback,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Strong,0.10347,1876,19417,0.09918,0.10775
2002,No migration background,A Little,0.25671,5478,19417,0.25057,0.26286
2002,No migration background,Not at all,0.48711,12063,19417,0.48008,0.49414
2002,Direct migration background,Strong,0.10726,302,2789,0.09577,0.11875
2002,Direct migration background,A Little,0.29727,847,2789,0.28030,0.31424
2002,Direct migration background,Not at all,0.53736,1640,2789,0.51885,0.55586
2002,Indirect migration background,A Little,0.06460,110,735,0.04682,0.08238
2002,Indirect migration background,Not at all,0.29387,625,735,0.26091,0.32683
2004,No migration background,Strong,0.10877,1829,18229,0.10425,0.11329
2004,No migration background,A Little,0.26030,5242,18229,0.25393,0.26667
2004,No migration background,Not at all,0.48157,11158,18229,0.47431,0.48882
2004,Direct migration background,Strong,0.12056,286,2528,0.10786,0.13326
2004,Direct migration background,A Little,0.29205,773,2528,0.27432,0.30978
2004,Direct migration background,Not at all,0.54433,1469,2528,0.52491,0.56374
2004,Indirect migration background,A Little,0.06381,113,775,0.04659,0.08103
2004,Indirect migration background,Not at all,0.34438,662,775,0.31090,0.37785
2006,No migration background,Strong,0.10260,1914,18739,0.09825,0.10694
2006,No migration background,A Little,0.26610,5658,18739,0.25978,0.27243
2006,No migration background,Not at all,0.48089,11167,18739,0.47374,0.48805
2006,Direct migration background,Strong,0.12778,307,2373,0.11435,0.14122
2006,Direct migration background,A Little,0.33421,788,2373,0.31523,0.35319
2006,Direct migration background,Not at all,0.49769,1278,2373,0.47757,0.51781
2006,Indirect migration background,A Little,0.07080,125,790,0.05291,0.08870
2006,Indirect migration background,Not at all,0.36373,665,790,0.33016,0.39730
2008,No migration background,Strong,0.10139,1738,16607,0.09680,0.10598
2008,No migration background,A Little,0.26729,5049,16607,0.26056,0.27402
2008,No migration background,Not at all,0.48397,9820,16607,0.47637,0.49157
2008,Direct migration background,Strong,0.13030,250,1900,0.11516,0.14544
2008,Direct migration background,A Little,0.31874,599,1900,0.29779,0.33970
2008,Direct migration background,Not at all,0.52360,1051,1900,0.50113,0.54606
2008,Indirect migration background,A Little,0.06882,110,736,0.05052,0.08712
2008,Indirect migration background,Not at all,0.40250,626,736,0.36704,0.43795
2014,No migration background,Strong,0.10863,2125,20081,0.10432,0.11293
2014,No migration background,A Little,0.27810,6050,20081,0.27190,0.28430
2014,No migration background,Not at all,0.47110,11906,20081,0.46419,0.47800
2014,Direct migration background,Strong,0.12709,507,5212,0.11805,0.13614
2014,Direct migration background,A Little,0.25839,1354,5212,0.24651,0.27028
2014,Direct migration background,Not at all,0.57590,3351,5212,0.56248,0.58932
2014,Indirect migration background,Strong,0.01614,57,1715,0.01017,0.02210
2014,Indirect migration background,A Little,0.08834,308,1715,0.07490,0.10177
2014,Indirect migration background,Not at all,0.38344,1350,1715,0.36042,0.40646
2016,No migration background,Strong,0.10832,1943,17770,0.10375,0.11289
2016,No migration background,A Little,0.27954,5591,17770,0.27295,0.28614
2016,No migration background,Not at all,0.46869,10236,17770,0.46136,0.47603
2016,Direct migration background,Strong,0.10652,676,7819,0.09968,0.11336
2016,Direct migration background,A Little,0.26343,1872,7819,0.25367,0.27320
2016,Direct migration background,Not at all,0.56082,5271,7819,0.54982,0.57183
2016,Indirect migration background,Strong,0.01875,62,1473,0.01182,0.02568
2016,Indirect migration background,A Little,0.08865,288,1473,0.07413,0.10317
2016,Indirect migration background,Not at all,0.39658,1123,1473,0.37159,0.42157
2018,No migration background,Strong,0.10648,2040,19423,0.10215,0.11082
2018,No migration background,A Little,0.28314,6036,19423,0.27680,0.28947
2018,No migration background,Not at all,0.47226,11347,19423,0.46524,0.47928
2018,Direct migration background,Strong,0.11513,771,8060,0.10816,0.12210
2018,Direct migration background,A Little,0.27259,2157,8060,0.26287,0.28231
2018,Direct migration background,Not at all,0.54755,5132,8060,0.53668,0.55842
2018,Indirect migration background,Strong,0.01933,65,1618,0.01262,0.02604
2018,Indirect migration background,A Little,0.10869,334,1618,0.09352,0.12386
2018,Indirect migration background,Not at all,0.38766,1219,1618,0.36391,0.41141
2020,No migration background,Strong,0.10228,1838,18537,0.09792,0.10665
2020,No migration background,A Little,0.29072,6075,18537,0.28418,0.29726
2020,No migration background,Not at all,0.46081,10624,18537,0.45363,0.46799
2020,Direct migration background,Strong,0.11935,874,9278,0.11275,0.12595
2020,Direct migration background,A Little,0.33605,2566,9278,0.32644,0.34566
2020,Direct migration background,Not at all,0.49232,5838,9278,0.48214,0.50249
2020,Indirect migration background,Strong,0.02344,67,1535,0.01587,0.03101
2020,Indirect migration background,A Little,0.11373,365,1535,0.09784,0.12962
2020,Indirect migration background,Not at all,0.36367,1103,1535,0.33959,0.38774
