year,sex,ple0004,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,male,Strong,0.07578,892,11104,0.07086,0.08070
2002,male,A Little,0.22247,2848,11104,0.21474,0.23021
2002,male,Not at all,0.52206,7364,11104,0.51276,0.53135
2002,female,Strong,0.12036,1316,11867,0.11450,0.12621
2002,female,A Little,0.27555,3587,11867,0.26751,0.28359
2002,female,Not at all,0.44148,6964,11867,0.43254,0.45041
2004,male,Strong,0.08443,896,10356,0.07908,0.08979
2004,male,A Little,0.22538,2677,10356,0.21734,0.23343
2004,male,Not at all,0.51698,6783,10356,0.50736,0.52661
2004,female,Strong,0.12188,1239,11196,0.11582,0.12794
2004,female,A Little,0.27507,3451,11196,0.26679,0.28334
2004,female,Not at all,0.44337,6506,11196,0.43417,0.45258
2006,male,Strong,0.08063,923,10450,0.07541,0.08585
2006,male,A Little,0.23114,2906,10450,0.22305,0.23922
2006,male,Not at all,0.51179,6621,10450,0.50221,0.52138
2006,female,Strong,0.11622,1318,11472,0.11035,0.12208
2006,female,A Little,0.28637,3665,11472,0.27810,0.29465
2006,female,Not at all,0.43766,6489,11472,0.42858,0.44674
2008,male,Strong,0.07977,839,9188,0.07423,0.08531
2008,male,A Little,0.23306,2566,9188,0.22442,0.24171
2008,male,Not at all,0.51670,5783,9188,0.50649,0.52692
2008,female,Strong,0.11595,1177,10083,0.10970,0.12220
2008,female,A Little,0.28059,3192,10083,0.27182,0.28936
2008,female,Not at all,0.44828,5714,10083,0.43857,0.45798
2014,male,Strong,0.08395,1070,12403,0.07907,0.08883
2014,male,A Little,0.24062,3294,12403,0.23309,0.24814
2014,male,Not at all,0.51047,8039,12403,0.50168,0.51927
2014,female,Strong,0.12172,1619,14605,0.11641,0.12702
2014,female,A Little,0.27815,4418,14605,0.27088,0.28542
2014,female,Not at all,0.44425,8568,14605,0.43619,0.45231
2016,male,Strong,0.08295,1056,12771,0.07817,0.08774
2016,male,A Little,0.23407,3346,12771,0.22673,0.24142
2016,male,Not at all,0.51073,8369,12771,0.50206,0.51940
2016,female,Strong,0.11710,1625,14291,0.11183,0.12237
2016,female,A Little,0.28655,4405,14291,0.27914,0.29396
2016,female,Not at all,0.43997,8261,14291,0.43183,0.44811
2018,male,Strong,0.07984,1163,13818,0.07532,0.08436
2018,male,A Little,0.23547,3636,13818,0.22839,0.24254
2018,male,Not at all,0.51694,9019,13818,0.50861,0.52527
2018,female,Strong,0.11892,1713,15283,0.11379,0.12406
2018,female,A Little,0.29468,4891,15283,0.28745,0.30191
2018,female,Not at all,0.43400,8679,15283,0.42614,0.44186
2020,male,Strong,0.07903,1182,14569,0.07465,0.08341
2020,male,A Little,0.25690,4028,14569,0.24981,0.26400
2020,male,Not at all,0.49156,9359,14569,0.48344,0.49968
2020,female,Strong,0.11533,1597,14773,0.11018,0.12048
2020,female,A Little,0.30381,4975,14773,0.29639,0.31123
2020,female,Not at all,0.42149,8201,14773,0.41352,0.42945
