year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Hesse,vocational + Abi,,,,,,,,,,,,
1985,Hesse,higher vocational,,,,,,,,,,,,
1985,Hesse,higher education,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1985,Baden-Wuerttemberg,in school,,,,,,,,,,,,
1985,Baden-Wuerttemberg,inadequately,,,,,,,,,,,,
1985,Baden-Wuerttemberg,general elementary,,,,,,,,,,,,
1985,Baden-Wuerttemberg,middle vocational,,,,,,,,,,,,
1985,Baden-Wuerttemberg,vocational + Abi,,,,,,,,,,,,
1985,Baden-Wuerttemberg,higher vocational,,,,,,,,,,,,
1985,Baden-Wuerttemberg,higher education,,,,,,,,,,,,
1985,Bavaria,in school,,,,,,,,,,,,
1985,Bavaria,inadequately,,,,,,,,,,,,
1985,Bavaria,general elementary,,,,,,,,,,,,
1985,Bavaria,middle vocational,,,,,,,,,,,,
1985,Bavaria,vocational + Abi,,,,,,,,,,,,
1985,Bavaria,higher vocational,,,,,,,,,,,,
1985,Bavaria,higher education,,,,,,,,,,,,
1985,Berlin,in school,,,,,,,,,,,,
1985,Berlin,inadequately,,,,,,,,,,,,
1985,Berlin,general elementary,,,,,,,,,,,,
1985,Berlin,middle vocational,,,,,,,,,,,,
1985,Berlin,vocational + Abi,,,,,,,,,,,,
1985,Berlin,higher vocational,,,,,,,,,,,,
1985,Berlin,higher education,,,,,,,,,,,,
1986,Schleswig-Holstein,in school,,,,,,,,,,,,
1986,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1986,Schleswig-Holstein,general elementary,,,,,,,,,,,,
1986,Schleswig-Holstein,middle vocational,,,,,,,,,,,,
1986,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1986,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1986,Schleswig-Holstein,higher education,,,,,,,,,,,,
1986,Hamburg,in school,,,,,,,,,,,,
1986,Hamburg,inadequately,,,,,,,,,,,,
1986,Hamburg,general elementary,,,,,,,,,,,,
1986,Hamburg,middle vocational,,,,,,,,,,,,
1986,Hamburg,vocational + Abi,,,,,,,,,,,,
1986,Hamburg,higher vocational,,,,,,,,,,,,
1986,Hamburg,higher education,,,,,,,,,,,,
1986,Lower Saxony,in school,,,,,,,,,,,,
1986,Lower Saxony,inadequately,,,,,,,,,,,,
1986,Lower Saxony,general elementary,,,,,,,,,,,,
1986,Lower Saxony,middle vocational,,,,,,,,,,,,
1986,Lower Saxony,vocational + Abi,,,,,,,,,,,,
1986,Lower Saxony,higher vocational,,,,,,,,,,,,
1986,Lower Saxony,higher education,,,,,,,,,,,,
1986,Bremen,inadequately,,,,,,,,,,,,
1986,Bremen,general elementary,,,,,,,,,,,,
1986,Bremen,middle vocational,,,,,,,,,,,,
1986,Bremen,vocational + Abi,,,,,,,,,,,,
1986,Bremen,higher vocational,,,,,,,,,,,,
1986,Bremen,higher education,,,,,,,,,,,,
1986,North Rhine-Westphalia,in school,,,,,,,,,,,,
1986,North Rhine-Westphalia,inadequately,,,,,,,,,,,,
1986,North Rhine-Westphalia,general elementary,,,,,,,,,,,,
1986,North Rhine-Westphalia,middle vocational,,,,,,,,,,,,
1986,North Rhine-Westphalia,vocational + Abi,,,,,,,,,,,,
1986,North Rhine-Westphalia,higher vocational,,,,,,,,,,,,
1986,North Rhine-Westphalia,higher education,,,,,,,,,,,,
1986,Hesse,in school,,,,,,,,,,,,
1986,Hesse,inadequately,,,,,,,,,,,,
1986,Hesse,general elementary,,,,,,,,,,,,
1986,Hesse,middle vocational,,,,,,,,,,,,
1986,Hesse,vocational + Abi,,,,,,,,,,,,
1986,Hesse,higher vocational,,,,,,,,,,,,
1986,Hesse,higher education,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1986,Baden-Wuerttemberg,in school,,,,,,,,,,,,
1986,Baden-Wuerttemberg,inadequately,,,,,,,,,,,,
1986,Baden-Wuerttemberg,general elementary,,,,,,,,,,,,
1986,Baden-Wuerttemberg,middle vocational,,,,,,,,,,,,
1986,Baden-Wuerttemberg,vocational + Abi,,,,,,,,,,,,
1986,Baden-Wuerttemberg,higher vocational,,,,,,,,,,,,
1986,Baden-Wuerttemberg,higher education,,,,,,,,,,,,
1986,Bavaria,in school,,,,,,,,,,,,
1986,Bavaria,inadequately,,,,,,,,,,,,
1986,Bavaria,general elementary,,,,,,,,,,,,
1986,Bavaria,middle vocational,,,,,,,,,,,,
1986,Bavaria,vocational + Abi,,,,,,,,,,,,
1986,Bavaria,higher vocational,,,,,,,,,,,,
1986,Bavaria,higher education,,,,,,,,,,,,
1986,Berlin,in school,,,,,,,,,,,,
1986,Berlin,inadequately,,,,,,,,,,,,
1986,Berlin,general elementary,,,,,,,,,,,,
1986,Berlin,middle vocational,,,,,,,,,,,,
1986,Berlin,vocational + Abi,,,,,,,,,,,,
1986,Berlin,higher vocational,,,,,,,,,,,,
1986,Berlin,higher education,,,,,,,,,,,,
1987,Schleswig-Holstein,in school,,,,,,,,,,,,
1987,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1987,Schleswig-Holstein,general elementary,,,,,,,,,,,,
1987,Schleswig-Holstein,middle vocational,,,,,,,,,,,,
1987,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1987,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1987,Schleswig-Holstein,higher education,,,,,,,,,,,,
1987,Hamburg,in school,,,,,,,,,,,,
1987,Hamburg,inadequately,,,,,,,,,,,,
1987,Hamburg,general elementary,,,,,,,,,,,,
1987,Hamburg,middle vocational,,,,,,,,,,,,
1987,Hamburg,vocational + Abi,,,,,,,,,,,,
1987,Hamburg,higher vocational,,,,,,,,,,,,
1987,Hamburg,higher education,,,,,,,,,,,,
1987,Lower Saxony,in school,,,,,,,,,,,,
1987,Lower Saxony,inadequately,,,,,,,,,,,,
1987,Lower Saxony,general elementary,,,,,,,,,,,,
1987,Lower Saxony,middle vocational,,,,,,,,,,,,
1987,Lower Saxony,vocational + Abi,,,,,,,,,,,,
1987,Lower Saxony,higher vocational,,,,,,,,,,,,
1987,Lower Saxony,higher education,,,,,,,,,,,,
1987,Bremen,in school,,,,,,,,,,,,
1987,Bremen,inadequately,,,,,,,,,,,,
1987,Bremen,general elementary,,,,,,,,,,,,
1987,Bremen,middle vocational,,,,,,,,,,,,
1987,Bremen,vocational + Abi,,,,,,,,,,,,
1987,Bremen,higher vocational,,,,,,,,,,,,
1987,Bremen,higher education,,,,,,,,,,,,
1987,North Rhine-Westphalia,in school,,,,,,,,,,,,
1987,North Rhine-Westphalia,inadequately,,,,,,,,,,,,
1987,North Rhine-Westphalia,general elementary,,,,,,,,,,,,
1987,North Rhine-Westphalia,middle vocational,,,,,,,,,,,,
1987,North Rhine-Westphalia,vocational + Abi,,,,,,,,,,,,
1987,North Rhine-Westphalia,higher vocational,,,,,,,,,,,,
1987,North Rhine-Westphalia,higher education,,,,,,,,,,,,
1987,Hesse,in school,,,,,,,,,,,,
1987,Hesse,inadequately,,,,,,,,,,,,
1987,Hesse,general elementary,,,,,,,,,,,,
1987,Hesse,middle vocational,,,,,,,,,,,,
1987,Hesse,vocational + Abi,,,,,,,,,,,,
1987,Hesse,higher vocational,,,,,,,,,,,,
1987,Hesse,higher education,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1987,Baden-Wuerttemberg,in school,,,,,,,,,,,,
1987,Baden-Wuerttemberg,inadequately,,,,,,,,,,,,
1987,Baden-Wuerttemberg,general elementary,,,,,,,,,,,,
1987,Baden-Wuerttemberg,middle vocational,,,,,,,,,,,,
1987,Baden-Wuerttemberg,vocational + Abi,,,,,,,,,,,,
1987,Baden-Wuerttemberg,higher vocational,,,,,,,,,,,,
1987,Baden-Wuerttemberg,higher education,,,,,,,,,,,,
1987,Bavaria,in school,,,,,,,,,,,,
1987,Bavaria,inadequately,,,,,,,,,,,,
1987,Bavaria,general elementary,,,,,,,,,,,,
1987,Bavaria,middle vocational,,,,,,,,,,,,
1987,Bavaria,vocational + Abi,,,,,,,,,,,,
1987,Bavaria,higher vocational,,,,,,,,,,,,
1987,Bavaria,higher education,,,,,,,,,,,,
1987,Berlin,in school,,,,,,,,,,,,
1987,Berlin,inadequately,,,,,,,,,,,,
1987,Berlin,general elementary,,,,,,,,,,,,
1987,Berlin,middle vocational,,,,,,,,,,,,
1987,Berlin,vocational + Abi,,,,,,,,,,,,
1987,Berlin,higher vocational,,,,,,,,,,,,
1987,Berlin,higher education,,,,,,,,,,,,
1988,Schleswig-Holstein,in school,,,,,,,,,,,,
1988,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1988,Schleswig-Holstein,general elementary,,,,,,,,,,,,
1988,Schleswig-Holstein,middle vocational,,,,,,,,,,,,
1988,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1988,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1988,Schleswig-Holstein,higher education,,,,,,,,,,,,
1988,Hamburg,in school,,,,,,,,,,,,
1988,Hamburg,inadequately,,,,,,,,,,,,
1988,Hamburg,general elementary,,,,,,,,,,,,
1988,Hamburg,middle vocational,,,,,,,,,,,,
1988,Hamburg,vocational + Abi,,,,,,,,,,,,
1988,Hamburg,higher vocational,,,,,,,,,,,,
1988,Hamburg,higher education,,,,,,,,,,,,
1988,Lower Saxony,in school,,,,,,,,,,,,
1988,Lower Saxony,inadequately,,,,,,,,,,,,
1988,Lower Saxony,general elementary,,,,,,,,,,,,
1988,Lower Saxony,middle vocational,,,,,,,,,,,,
1988,Lower Saxony,vocational + Abi,,,,,,,,,,,,
1988,Lower Saxony,higher vocational,,,,,,,,,,,,
1988,Lower Saxony,higher education,,,,,,,,,,,,
1988,Bremen,inadequately,,,,,,,,,,,,
1988,Bremen,general elementary,,,,,,,,,,,,
1988,Bremen,middle vocational,,,,,,,,,,,,
1988,Bremen,vocational + Abi,,,,,,,,,,,,
1988,Bremen,higher vocational,,,,,,,,,,,,
1988,Bremen,higher education,,,,,,,,,,,,
1988,North Rhine-Westphalia,in school,,,,,,,,,,,,
1988,North Rhine-Westphalia,inadequately,,,,,,,,,,,,
1988,North Rhine-Westphalia,general elementary,,,,,,,,,,,,
1988,North Rhine-Westphalia,middle vocational,,,,,,,,,,,,
1988,North Rhine-Westphalia,vocational + Abi,,,,,,,,,,,,
1988,North Rhine-Westphalia,higher vocational,,,,,,,,,,,,
1988,North Rhine-Westphalia,higher education,,,,,,,,,,,,
1988,Hesse,in school,,,,,,,,,,,,
1988,Hesse,inadequately,,,,,,,,,,,,
1988,Hesse,general elementary,,,,,,,,,,,,
1988,Hesse,middle vocational,,,,,,,,,,,,
1988,Hesse,vocational + Abi,,,,,,,,,,,,
1988,Hesse,higher vocational,,,,,,,,,,,,
1988,Hesse,higher education,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1988,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1988,Baden-Wuerttemberg,in school,,,,,,,,,,,,
1988,Baden-Wuerttemberg,inadequately,,,,,,,,,,,,
1988,Baden-Wuerttemberg,general elementary,,,,,,,,,,,,
1988,Baden-Wuerttemberg,middle vocational,,,,,,,,,,,,
1988,Baden-Wuerttemberg,vocational + Abi,,,,,,,,,,,,
1988,Baden-Wuerttemberg,higher vocational,,,,,,,,,,,,
1988,Baden-Wuerttemberg,higher education,,,,,,,,,,,,
1988,Bavaria,in school,,,,,,,,,,,,
1988,Bavaria,inadequately,,,,,,,,,,,,
1988,Bavaria,general elementary,,,,,,,,,,,,
1988,Bavaria,middle vocational,,,,,,,,,,,,
1988,Bavaria,vocational + Abi,,,,,,,,,,,,
1988,Bavaria,higher vocational,,,,,,,,,,,,
1988,Bavaria,higher education,,,,,,,,,,,,
1988,Berlin,in school,,,,,,,,,,,,
1988,Berlin,inadequately,,,,,,,,,,,,
1988,Berlin,general elementary,,,,,,,,,,,,
1988,Berlin,middle vocational,,,,,,,,,,,,
1988,Berlin,vocational + Abi,,,,,,,,,,,,
1988,Berlin,higher vocational,,,,,,,,,,,,
1988,Berlin,higher education,,,,,,,,,,,,
1989,Schleswig-Holstein,in school,,,,,,,,,,,,
1989,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1989,Schleswig-Holstein,general elementary,,,,,,,,,,,,
1989,Schleswig-Holstein,middle vocational,,,,,,,,,,,,
