,Unnamed: 0,year,bula_h,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,Not Disabled (<= 30%),1.0,362,12068,0.95965,1.03746
1,1,1984,Hamburg,Not Disabled (<= 30%),1.0,284,12068,0.93613,1.06583
2,2,1984,Lower Saxony,Not Disabled (<= 30%),0.89435,1120,12068,0.87085,0.92097
3,3,1984,Lower Saxony,Disabled (> 30%),0.10565,112,12068,0.10016,0.11116
4,4,1984,Bremen,Not Disabled (<= 30%),1.0,114,12068,0.90952,1.0868
5,5,1984,North Rhine-Westphalia,Not Disabled (<= 30%),0.8597,2905,12068,0.84116,0.87988
6,6,1984,North Rhine-Westphalia,Disabled (> 30%),0.1403,336,12068,0.13502,0.1453
7,7,1984,Hesse,Not Disabled (<= 30%),0.89283,1142,12068,0.85781,0.92885
8,8,1984,Hesse,Disabled (> 30%),0.10717,100,12068,0.09797,0.11448
9,9,1984,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.89958,773,12068,0.87035,0.92904
10,10,1984,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.10042,75,12068,0.09246,0.10642
11,11,1984,Baden-Wuerttemberg,Not Disabled (<= 30%),0.91564,2104,12068,0.8885,0.93888
12,12,1984,Baden-Wuerttemberg,Disabled (> 30%),0.08436,148,12068,0.07699,0.09104
13,13,1984,Bavaria,Not Disabled (<= 30%),0.89548,1910,12068,0.87677,0.91215
14,14,1984,Bavaria,Disabled (> 30%),0.10452,175,12068,0.10044,0.10881
15,15,1984,Berlin,Not Disabled (<= 30%),0.82932,354,12068,0.77245,0.88184
16,16,1984,Berlin,Disabled (> 30%),0.17068,54,12068,0.15414,0.18759
17,17,1985,Schleswig-Holstein,Not Disabled (<= 30%),1.0,324,10922,0.95647,1.05014
18,18,1985,Hamburg,Not Disabled (<= 30%),1.0,261,10922,0.92596,1.06158
19,19,1985,Lower Saxony,Not Disabled (<= 30%),0.899,1002,10922,0.87602,0.92025
