"m11124","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Hamburg","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Niedersachsen","93","0.964940920091117","0.928148098584361","1.00173374159787"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Bremen","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Nordrhein-Westfalen","381","0.927908220245643","0.902625112866349","0.953191327624936"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Hessen","132","0.932043513384797","0.890649506101465","0.97343752066813"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","68","0.886989964570933","0.814854291263312","0.959125637878555"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Baden-Wuerttemberg","317","0.956945519686584","0.935177062998687","0.978713976374482"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Bayern","127","0.964051921759184","0.932173229691724","0.995930613826644"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Berlin","46","0.895049979672451","0.808345331687593","0.981754627657309"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Sachsen","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Thueringen","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Schleswig-Holstein","209","0.924472492234228","0.889868703205005","0.959076281263451"
"Nicht beeinträchtigt","1984","Hauptschule","Hamburg","145","0.876550776866702","0.82589566207433","0.927205891659075"
"Nicht beeinträchtigt","1984","Hauptschule","Niedersachsen","664","0.878196853049869","0.854727351284152","0.901666354815586"
"Nicht beeinträchtigt","1984","Hauptschule","Bremen","77","0.802611584791547","0.721278411051303","0.883944758531792"
"Nicht beeinträchtigt","1984","Hauptschule","Nordrhein-Westfalen","1618","0.827671871942909","0.81051787074806","0.844825873137757"
"Nicht beeinträchtigt","1984","Hauptschule","Hessen","638","0.874801357549824","0.850302625027709","0.899300090071939"
"Nicht beeinträchtigt","1984","Hauptschule","Rheinland-Pfalz,Saarland","531","0.884979227163992","0.859256972738805","0.910701481589178"
"Nicht beeinträchtigt","1984","Hauptschule","Baden-Wuerttemberg","1259","0.90562080799153","0.890054351319543","0.921187264663516"
"Nicht beeinträchtigt","1984","Hauptschule","Bayern","1157","0.882693087175918","0.865064814009201","0.900321360342635"
"Nicht beeinträchtigt","1984","Hauptschule","Berlin","180","0.838145136311298","0.788330044460906","0.887960228161689"
"Nicht beeinträchtigt","1984","Hauptschule","Brandenburg","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Sachsen","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Thueringen","","","",""
"Nicht beeinträchtigt","1984","Realschule","Schleswig-Holstein","89","0.975558200913492","0.943831817247195","1.00728458457979"
"Nicht beeinträchtigt","1984","Realschule","Hamburg","53","0.952360433285154","0.8960678317691","1.00865303480121"
"Nicht beeinträchtigt","1984","Realschule","Niedersachsen","215","0.930434527311745","0.897411229066153","0.963457825557336"
"Nicht beeinträchtigt","1984","Realschule","Bremen","","","",""
"Nicht beeinträchtigt","1984","Realschule","Nordrhein-Westfalen","425","0.901260247196189","0.874028923416395","0.928491570975983"
"Nicht beeinträchtigt","1984","Realschule","Hessen","174","0.913728089389584","0.873594097138895","0.953862081640274"
"Nicht beeinträchtigt","1984","Realschule","Rheinland-Pfalz,Saarland","104","0.9517549217615","0.911527341016105","0.991982502506894"
"Nicht beeinträchtigt","1984","Realschule","Baden-Wuerttemberg","266","0.93275822209746","0.903528298931476","0.961988145263443"
"Nicht beeinträchtigt","1984","Realschule","Bayern","346","0.921474094019114","0.894064962681318","0.948883225356909"
"Nicht beeinträchtigt","1984","Realschule","Berlin","66","0.831724451230343","0.747615631789038","0.915833270671648"
"Nicht beeinträchtigt","1984","Realschule","Brandenburg","","","",""
"Nicht beeinträchtigt","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Nicht beeinträchtigt","1984","Realschule","Sachsen","","","",""
"Nicht beeinträchtigt","1984","Realschule","Sachsen-Anhalt","","","",""
"Nicht beeinträchtigt","1984","Realschule","Thueringen","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Hamburg","43","0.958925023369189","0.900283837910999","1.01756620882738"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Niedersachsen","72","0.893068956889831","0.824924749598812","0.96121316418085"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Bremen","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Nordrhein-Westfalen","248","0.937392776036742","0.908002689677159","0.966782862396324"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Hessen","101","0.924901080171815","0.874729284265243","0.975072876078387"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","31","0.943931736162555","0.865440716824506","1.0224227555006"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Baden-Wuerttemberg","126","0.943752702596839","0.904887481651071","0.982617923542606"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Bayern","128","0.930078022738762","0.887375419725451","0.972780625752074"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Berlin","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Brandenburg","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Sachsen","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Thueringen","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Schleswig-Holstein","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Hamburg","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Niedersachsen","71","0.891457269703289","0.822425115519666","0.960489423886911"
"Nicht beeinträchtigt","1984","AkademikerIn","Bremen","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Nordrhein-Westfalen","207","0.910284988156971","0.872944664180671","0.947625312133272"
"Nicht beeinträchtigt","1984","AkademikerIn","Hessen","85","0.91510664042502","0.85845932532872","0.97175395552132"
"Nicht beeinträchtigt","1984","AkademikerIn","Rheinland-Pfalz,Saarland","34","0.935929635065835","0.855937546002059","1.01592172412961"
"Nicht beeinträchtigt","1984","AkademikerIn","Baden-Wuerttemberg","117","0.924560748569096","0.878263040129149","0.970858457009042"
"Nicht beeinträchtigt","1984","AkademikerIn","Bayern","144","0.896410143055649","0.848743972514853","0.944076313596445"
"Nicht beeinträchtigt","1984","AkademikerIn","Berlin","32","0.845026197011263","0.728422730784739","0.961629663237788"
"Nicht beeinträchtigt","1984","AkademikerIn","Brandenburg","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Sachsen","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Thueringen","","","",""
"Beeinträchtigt","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
