year,migback,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Not Disabled (<= 30%),0.68201,1250,1436,0.65791,0.70610
1984,No migration background,1st Quintile,Disabled (> 30%),0.11563,186,1436,0.09909,0.13218
1984,No migration background,2nd Quintile,Not Disabled (<= 30%),0.70487,1417,1594,0.68247,0.72727
1984,No migration background,2nd Quintile,Disabled (> 30%),0.10062,177,1594,0.08585,0.11540
1984,No migration background,3rd Quintile,Not Disabled (<= 30%),0.73660,1552,1723,0.71580,0.75741
1984,No migration background,3rd Quintile,Disabled (> 30%),0.08879,171,1723,0.07535,0.10222
1984,No migration background,4th Quintile,Not Disabled (<= 30%),0.76773,1678,1861,0.74854,0.78692
1984,No migration background,4th Quintile,Disabled (> 30%),0.09178,183,1861,0.07866,0.10491
1984,No migration background,5th Quintile,Not Disabled (<= 30%),0.80210,1817,2012,0.78468,0.81951
1984,No migration background,5th Quintile,Disabled (> 30%),0.09674,195,2012,0.08382,0.10966
1984,Direct migration background,1st Quintile,Not Disabled (<= 30%),0.79830,975,1013,0.77358,0.82303
1984,Direct migration background,1st Quintile,Disabled (> 30%),0.03069,38,1013,0.02007,0.04132
1984,Direct migration background,2nd Quintile,Not Disabled (<= 30%),0.79907,721,763,0.77062,0.82752
1984,Direct migration background,2nd Quintile,Disabled (> 30%),0.09909,42,763,0.07788,0.12031
1984,Direct migration background,3rd Quintile,Not Disabled (<= 30%),0.83178,577,577,0.80124,0.86233
1984,Direct migration background,4th Quintile,Not Disabled (<= 30%),0.86519,569,569,0.83710,0.89327
1984,Direct migration background,5th Quintile,Not Disabled (<= 30%),0.89072,372,372,0.85898,0.92247
1984,Indirect migration background,2nd Quintile,Not Disabled (<= 30%),0.11086,31,31,-0.00149,0.22321
1985,No migration background,1st Quintile,Not Disabled (<= 30%),0.69474,1147,1298,0.66968,0.71980
1985,No migration background,1st Quintile,Disabled (> 30%),0.10340,151,1298,0.08683,0.11997
1985,No migration background,2nd Quintile,Not Disabled (<= 30%),0.70690,1305,1468,0.68361,0.73020
1985,No migration background,2nd Quintile,Disabled (> 30%),0.10262,163,1468,0.08709,0.11815
1985,No migration background,3rd Quintile,Not Disabled (<= 30%),0.74722,1443,1617,0.72603,0.76841
1985,No migration background,3rd Quintile,Disabled (> 30%),0.10110,174,1617,0.08641,0.11580
1985,No migration background,4th Quintile,Not Disabled (<= 30%),0.80178,1563,1703,0.78284,0.82072
1985,No migration background,4th Quintile,Disabled (> 30%),0.07912,140,1703,0.06630,0.09194
1985,No migration background,5th Quintile,Not Disabled (<= 30%),0.80984,1677,1857,0.79199,0.82769
1985,No migration background,5th Quintile,Disabled (> 30%),0.09829,180,1857,0.08474,0.11183
1985,Direct migration background,1st Quintile,Not Disabled (<= 30%),0.80438,875,875,0.77808,0.83068
1985,Direct migration background,2nd Quintile,Not Disabled (<= 30%),0.82158,613,646,0.79203,0.85113
1985,Direct migration background,2nd Quintile,Disabled (> 30%),0.09173,33,646,0.06945,0.11400
1985,Direct migration background,3rd Quintile,Not Disabled (<= 30%),0.85702,536,536,0.82736,0.88668
1985,Direct migration background,4th Quintile,Not Disabled (<= 30%),0.87454,457,457,0.84414,0.90495
