"m11124","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nicht beeinträchtigt","1984","17-34","(noch) kein Abschluss","502","0.962476998149727","0.946079892035223","0.978874104264232"
"Nicht beeinträchtigt","1984","17-34","Hauptschule","2182","0.97468845882038","0.96816203474685","0.98121488289391"
"Nicht beeinträchtigt","1984","17-34","Realschule","992","0.984489469504719","0.976849635479621","0.992129303529817"
"Nicht beeinträchtigt","1984","17-34","(Fach-)Abitur","566","0.990359010266035","0.982344312022003","0.998373708510066"
"Nicht beeinträchtigt","1984","17-34","AkademikerIn","242","0.981589957302627","0.964791361187913","0.998388553417341"
"Nicht beeinträchtigt","1984","35-65","(noch) kein Abschluss","697","0.909840022840786","0.889287360262043","0.93039268541953"
"Nicht beeinträchtigt","1984","35-65","Hauptschule","3543","0.851358590715988","0.840394599320638","0.862322582111337"
"Nicht beeinträchtigt","1984","35-65","Realschule","623","0.877962605132781","0.853731481394174","0.902193728871388"
"Nicht beeinträchtigt","1984","35-65","(Fach-)Abitur","213","0.831821259317547","0.78527092476804","0.878371593867054"
"Nicht beeinträchtigt","1984","35-65","AkademikerIn","431","0.882538771273386","0.853735511654158","0.911342030892614"
"Nicht beeinträchtigt","1984","66 +","(noch) kein Abschluss","14","","",""
"Nicht beeinträchtigt","1984","66 +","Hauptschule","753","0.798026499087297","0.772550586110852","0.823502412063742"
"Nicht beeinträchtigt","1984","66 +","Realschule","144","0.807079708486195","0.748948597009959","0.865210819962431"
"Nicht beeinträchtigt","1984","66 +","(Fach-)Abitur","33","0.685838437928895","0.554523265902621","0.81715360995517"
"Nicht beeinträchtigt","1984","66 +","AkademikerIn","52","0.840927424263249","0.750613496356134","0.931241352170363"
"Beeinträchtigt","1984","17-34","(noch) kein Abschluss","14","","",""
"Beeinträchtigt","1984","17-34","Hauptschule","43","0.0253115411796198","0.0187851171060897","0.0318379652531499"
"Beeinträchtigt","1984","17-34","Realschule","13","","",""
"Beeinträchtigt","1984","17-34","(Fach-)Abitur","5","","",""
"Beeinträchtigt","1984","17-34","AkademikerIn","4","","",""
"Beeinträchtigt","1984","35-65","(noch) kein Abschluss","49","0.0901599771592136","0.06960731458047","0.110712639737957"
"Beeinträchtigt","1984","35-65","Hauptschule","501","0.148641409284012","0.137677417888663","0.159605400679362"
"Beeinträchtigt","1984","35-65","Realschule","78","0.122037394867219","0.0978062711286122","0.146268518605826"
"Beeinträchtigt","1984","35-65","(Fach-)Abitur","35","0.168178740682453","0.121628406132946","0.21472907523196"
"Beeinträchtigt","1984","35-65","AkademikerIn","49","0.117461228726614","0.0886579691073862","0.146264488345842"
"Beeinträchtigt","1984","66 +","(noch) kein Abschluss","4","","",""
"Beeinträchtigt","1984","66 +","Hauptschule","201","0.201973500912703","0.176497587936258","0.227449413889148"
"Beeinträchtigt","1984","66 +","Realschule","33","0.192920291513805","0.13478918003757","0.251051402990041"
"Beeinträchtigt","1984","66 +","(Fach-)Abitur","15","","",""
"Beeinträchtigt","1984","66 +","AkademikerIn","11","","",""
"Nicht beeinträchtigt","1985","17-34","(noch) kein Abschluss","419","0.950376772390117","0.929969081221082","0.970784463559152"
"Nicht beeinträchtigt","1985","17-34","Hauptschule","1887","0.977636319421644","0.971025859091897","0.984246779751392"
"Nicht beeinträchtigt","1985","17-34","Realschule","958","0.987350602638817","0.980314100597008","0.994387104680626"
"Nicht beeinträchtigt","1985","17-34","(Fach-)Abitur","514","0.985236450944959","0.974870430991402","0.995602470898515"
"Nicht beeinträchtigt","1985","17-34","AkademikerIn","233","0.982842316354609","0.966309563659102","0.999375069050115"
"Nicht beeinträchtigt","1985","35-65","(noch) kein Abschluss","594","0.897225000994731","0.873550328721633","0.92089967326783"
"Nicht beeinträchtigt","1985","35-65","Hauptschule","3228","0.851534563160538","0.840029525210459","0.863039601110617"
"Nicht beeinträchtigt","1985","35-65","Realschule","601","0.873997028348116","0.848999381489467","0.898994675206765"
"Nicht beeinträchtigt","1985","35-65","(Fach-)Abitur","192","0.837906141047621","0.789427261778882","0.88638502031636"
"Nicht beeinträchtigt","1985","35-65","AkademikerIn","415","0.889247522930184","0.860474993218111","0.918020052642257"
"Nicht beeinträchtigt","1985","66 +","(noch) kein Abschluss","12","","",""
"Nicht beeinträchtigt","1985","66 +","Hauptschule","658","0.814464170956964","0.787906006246225","0.841022335667704"
"Nicht beeinträchtigt","1985","66 +","Realschule","134","0.814923971309342","0.755486571879134","0.87436137073955"
"Nicht beeinträchtigt","1985","66 +","(Fach-)Abitur","30","0.709572249210801","0.573887439443861","0.845257058977741"
"Nicht beeinträchtigt","1985","66 +","AkademikerIn","46","0.835745253863595","0.738705429757402","0.932785077969788"
"Beeinträchtigt","1985","17-34","(noch) kein Abschluss","16","","",""
"Beeinträchtigt","1985","17-34","Hauptschule","35","0.0223636805783557","0.0157532202486084","0.0289741409081031"
"Beeinträchtigt","1985","17-34","Realschule","11","","",""
"Beeinträchtigt","1985","17-34","(Fach-)Abitur","6","","",""
"Beeinträchtigt","1985","17-34","AkademikerIn","4","","",""
"Beeinträchtigt","1985","35-65","(noch) kein Abschluss","38","0.102774999005269","0.0791003267321699","0.126449671278367"
"Beeinträchtigt","1985","35-65","Hauptschule","441","0.148465436839462","0.136960398889383","0.159970474789541"
"Beeinträchtigt","1985","35-65","Realschule","76","0.126002971651884","0.101005324793235","0.151000618510533"
"Beeinträchtigt","1985","35-65","(Fach-)Abitur","30","0.162093858952379","0.11361497968364","0.210572738221118"
"Beeinträchtigt","1985","35-65","AkademikerIn","42","0.110752477069816","0.0819799473577428","0.139525006781889"
"Beeinträchtigt","1985","66 +","(noch) kein Abschluss","5","","",""
"Beeinträchtigt","1985","66 +","Hauptschule","165","0.185535829043036","0.158977664332296","0.212093993753775"
"Beeinträchtigt","1985","66 +","Realschule","30","0.185076028690658","0.12563862926045","0.244513428120866"
"Beeinträchtigt","1985","66 +","(Fach-)Abitur","13","","",""
"Beeinträchtigt","1985","66 +","AkademikerIn","10","","",""
"Nicht beeinträchtigt","1986","17-34","(noch) kein Abschluss","418","0.994777469729881","0.987892365862689","1.00166257359707"
"Nicht beeinträchtigt","1986","17-34","Hauptschule","1848","0.999781412473376","0.999107590991371","1.00045523395538"
"Nicht beeinträchtigt","1986","17-34","Realschule","955","1","1","1"
"Nicht beeinträchtigt","1986","17-34","(Fach-)Abitur","552","1","1","1"
"Nicht beeinträchtigt","1986","17-34","AkademikerIn","228","1","1","1"
"Nicht beeinträchtigt","1986","35-65","(noch) kein Abschluss","586","1","1","1"
