"m11124","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","Staedtischer Raum","891","0.930212415742178","0.913924545054111","0.946500286430244"
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","Laendlicher Raum","134","0.878911232717286","0.82562791220172","0.932194553232852"
"Nicht beeinträchtigt","1985","Hauptschule","Staedtischer Raum","4349","0.863013522390975","0.853344846874765","0.872682197907184"
"Nicht beeinträchtigt","1985","Hauptschule","Laendlicher Raum","1424","0.900792753578874","0.885939300303013","0.915646206854734"
"Nicht beeinträchtigt","1985","Realschule","Staedtischer Raum","1306","0.916480644762448","0.90200378155576","0.930957507969137"
"Nicht beeinträchtigt","1985","Realschule","Laendlicher Raum","387","0.934819376525906","0.910838006266425","0.958800746785387"
"Nicht beeinträchtigt","1985","(Fach-)Abitur","Staedtischer Raum","631","0.916824329604276","0.895976571345126","0.937672087863427"
"Nicht beeinträchtigt","1985","(Fach-)Abitur","Laendlicher Raum","105","0.949340670484312","0.908543751714086","0.990137589254538"
"Nicht beeinträchtigt","1985","AkademikerIn","Staedtischer Raum","583","0.911947208099058","0.889802029727669","0.934092386470447"
"Nicht beeinträchtigt","1985","AkademikerIn","Laendlicher Raum","111","0.901423974760698","0.848310390546567","0.954537558974828"
"Beeinträchtigt","1985","(noch) kein Abschluss","Staedtischer Raum","49","0.0697875842578222","0.0534997135697557","0.0860754549458887"
"Beeinträchtigt","1985","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Beeinträchtigt","1985","Hauptschule","Staedtischer Raum","509","0.136986477609025","0.127317802092816","0.146655153125235"
"Beeinträchtigt","1985","Hauptschule","Laendlicher Raum","132","0.0992072464211264","0.0843537931452659","0.114060699696987"
"Beeinträchtigt","1985","Realschule","Staedtischer Raum","97","0.0835193552375516","0.0690424920308629","0.0979962184442404"
"Beeinträchtigt","1985","Realschule","Laendlicher Raum","20","","",""
"Beeinträchtigt","1985","(Fach-)Abitur","Staedtischer Raum","43","0.0831756703957236","0.0623279121365734","0.104023428654874"
"Beeinträchtigt","1985","(Fach-)Abitur","Laendlicher Raum","6","","",""
"Beeinträchtigt","1985","AkademikerIn","Staedtischer Raum","46","0.0880527919009422","0.0659076135295534","0.110197970272331"
"Beeinträchtigt","1985","AkademikerIn","Laendlicher Raum","10","","",""
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","Staedtischer Raum","898","0.997834588683412","0.994797717892902","1.00087145947392"
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","Laendlicher Raum","127","0.991942885135324","0.976455567087547","1.0074302031831"
"Nicht beeinträchtigt","1986","Hauptschule","Staedtischer Raum","4615","0.999841889070344","0.999479216455293","1.00020456168539"
"Nicht beeinträchtigt","1986","Hauptschule","Laendlicher Raum","1472","0.999824035320612","0.999146672655888","1.00050139798534"
"Nicht beeinträchtigt","1986","Realschule","Staedtischer Raum","1379","0.999714713129993","0.998823693069601","1.00060573319038"
"Nicht beeinträchtigt","1986","Realschule","Laendlicher Raum","391","0.999192894302012","0.996381673662756","1.00200411494127"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Staedtischer Raum","686","1","1","1"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Laendlicher Raum","122","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","Staedtischer Raum","624","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","Laendlicher Raum","125","1","1","1"
"Beeinträchtigt","1986","(noch) kein Abschluss","Staedtischer Raum","2","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Beeinträchtigt","1986","Hauptschule","Staedtischer Raum","2","","",""
"Beeinträchtigt","1986","Hauptschule","Laendlicher Raum","1","","",""
"Beeinträchtigt","1986","Realschule","Staedtischer Raum","1","","",""
"Beeinträchtigt","1986","Realschule","Laendlicher Raum","1","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beeinträchtigt","1986","AkademikerIn","Staedtischer Raum","","","",""
"Beeinträchtigt","1986","AkademikerIn","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Staedtischer Raum","817","0.917492824759386","0.899231299592376","0.935754349926397"
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Laendlicher Raum","117","0.906365924338112","0.855090885622828","0.957640963053396"
"Nicht beeinträchtigt","1987","Hauptschule","Staedtischer Raum","4082","0.866680162588681","0.856800037805108","0.876560287372253"
"Nicht beeinträchtigt","1987","Hauptschule","Laendlicher Raum","1307","0.891116328450757","0.875033416666854","0.90719924023466"
"Nicht beeinträchtigt","1987","Realschule","Staedtischer Raum","1258","0.9099266908452","0.894672103846943","0.925181277843456"
"Nicht beeinträchtigt","1987","Realschule","Laendlicher Raum","381","0.937644314969293","0.913888844017335","0.961399785921251"
"Nicht beeinträchtigt","1987","(Fach-)Abitur","Staedtischer Raum","624","0.914966268659702","0.893829762902979","0.936102774416426"
"Nicht beeinträchtigt","1987","(Fach-)Abitur","Laendlicher Raum","103","0.946117217969386","0.903730253044276","0.988504182894496"
"Nicht beeinträchtigt","1987","AkademikerIn","Staedtischer Raum","571","0.917412432104746","0.895657878202669","0.939166986006824"
"Nicht beeinträchtigt","1987","AkademikerIn","Laendlicher Raum","114","0.895967383448316","0.842231040216135","0.949703726680497"
"Beeinträchtigt","1987","(noch) kein Abschluss","Staedtischer Raum","55","0.0825071752406138","0.0642456500736032","0.100768700407624"
"Beeinträchtigt","1987","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Beeinträchtigt","1987","Hauptschule","Staedtischer Raum","465","0.133319837411319","0.123439712627747","0.143199962194892"
"Beeinträchtigt","1987","Hauptschule","Laendlicher Raum","134","0.108883671549243","0.0928007597653396","0.124966583333146"
"Beeinträchtigt","1987","Realschule","Staedtischer Raum","95","0.0900733091548003","0.0748187221565438","0.105327896153057"
"Beeinträchtigt","1987","Realschule","Laendlicher Raum","17","","",""
"Beeinträchtigt","1987","(Fach-)Abitur","Staedtischer Raum","45","0.0850337313402976","0.0638972255835742","0.106170237097021"
"Beeinträchtigt","1987","(Fach-)Abitur","Laendlicher Raum","6","","",""
"Beeinträchtigt","1987","AkademikerIn","Staedtischer Raum","44","0.0825875678952537","0.060833013993176","0.104342121797331"
"Beeinträchtigt","1987","AkademikerIn","Laendlicher Raum","10","","",""
