"m11124","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","1213","","",""
"Nicht beeinträchtigt","1984","Hauptschule","6478","0.869746887258942","0.861984777482453","0.877508997035431"
"Nicht beeinträchtigt","1984","Realschule","1759","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","812","0.92299362686381","0.905247596179398","0.940739657548222"
"Nicht beeinträchtigt","1984","AkademikerIn","725","0.905539371067698","0.885131924197779","0.925946817937616"
"Beeinträchtigt","1984","(noch) kein Abschluss","67","0.0615370434228283","0.0483720699977035","0.074702016847953"
"Beeinträchtigt","1984","Hauptschule","745","0.130253112741058","0.122491002964569","0.138015222517547"
"Beeinträchtigt","1984","Realschule","124","","",""
"Beeinträchtigt","1984","(Fach-)Abitur","55","0.07700637313619","0.0592603424517781","0.0947524038206018"
"Beeinträchtigt","1984","AkademikerIn","64","0.0944606289323023","0.0740531820623839","0.114868075802221"
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","1025","","",""
"Nicht beeinträchtigt","1985","Hauptschule","5773","0.873314198985735","0.865174040795641","0.881454357175829"
"Nicht beeinträchtigt","1985","Realschule","1693","","",""
"Nicht beeinträchtigt","1985","(Fach-)Abitur","736","0.922090508290603","0.903340769408569","0.940840247172637"
"Nicht beeinträchtigt","1985","AkademikerIn","694","0.910086081329593","0.889613521057016","0.930558641602169"
"Beeinträchtigt","1985","(noch) kein Abschluss","59","0.080465989078507","0.0642731304056976","0.0966588477513165"
"Beeinträchtigt","1985","Hauptschule","641","0.126685801014265","0.118545642824171","0.134825959204359"
"Beeinträchtigt","1985","Realschule","117","","",""
"Beeinträchtigt","1985","(Fach-)Abitur","49","0.077909491709397","0.0591597528273629","0.0966592305914311"
"Beeinträchtigt","1985","AkademikerIn","56","0.0899139186704073","0.0694413583978307","0.110386478942984"
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","1025","","",""
"Nicht beeinträchtigt","1986","Hauptschule","6087","0.999837082967897","0.999516539220567","1.00015762671523"
"Nicht beeinträchtigt","1986","Realschule","1770","","",""
"Nicht beeinträchtigt","1986","(Fach-)Abitur","808","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","749","1","1","1"
"Beeinträchtigt","1986","(noch) kein Abschluss","3","","",""
"Beeinträchtigt","1986","Hauptschule","3","","",""
"Beeinträchtigt","1986","Realschule","2","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","","","",""
"Beeinträchtigt","1986","AkademikerIn","","","",""
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","934","0.915742032175289","0.898491182676104","0.932992881674475"
"Nicht beeinträchtigt","1987","Hauptschule","5389","0.873166914226708","0.864737990767639","0.881595837685777"
"Nicht beeinträchtigt","1987","Realschule","1639","","",""
"Nicht beeinträchtigt","1987","(Fach-)Abitur","727","0.919866583550096","0.900788816425036","0.938944350675156"
"Nicht beeinträchtigt","1987","AkademikerIn","685","0.913566565330454","0.893306685927748","0.93382644473316"
"Beeinträchtigt","1987","(noch) kein Abschluss","62","0.0842579678247108","0.0670071183255253","0.101508817323896"
"Beeinträchtigt","1987","Hauptschule","599","0.126833085773292","0.118404162314223","0.135262009232361"
"Beeinträchtigt","1987","Realschule","112","","",""
"Beeinträchtigt","1987","(Fach-)Abitur","51","0.0801334164499041","0.0610556493248442","0.099211183574964"
"Beeinträchtigt","1987","AkademikerIn","54","0.0864334346695458","0.0661735552668398","0.106693314072252"
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","839","0.915780765113646","0.897687155909128","0.933874374318164"
"Nicht beeinträchtigt","1988","Hauptschule","5065","0.855249945006197","0.846130216456426","0.864369673555968"
"Nicht beeinträchtigt","1988","Realschule","1582","","",""
"Nicht beeinträchtigt","1988","(Fach-)Abitur","684","0.912233003372429","0.891804673795998","0.93266133294886"
"Nicht beeinträchtigt","1988","AkademikerIn","647","0.909578284801574","0.888333346059034","0.930823223544114"
"Beeinträchtigt","1988","(noch) kein Abschluss","66","0.084219234886354","0.066125625681836","0.102312844090872"
"Beeinträchtigt","1988","Hauptschule","653","0.144750054993803","0.135630326444032","0.153869783543574"
"Beeinträchtigt","1988","Realschule","110","","",""
"Beeinträchtigt","1988","(Fach-)Abitur","53","0.0877669966275711","0.0673386670511404","0.108195326204002"
"Beeinträchtigt","1988","AkademikerIn","53","0.0904217151984258","0.0691767764558859","0.111666653940966"
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","814","0.910518288701968","0.891712656715562","0.929323920688373"
"Nicht beeinträchtigt","1989","Hauptschule","4826","0.84759428566035","0.838068764089906","0.857119807230794"
"Nicht beeinträchtigt","1989","Realschule","1537","","",""
"Nicht beeinträchtigt","1989","(Fach-)Abitur","706","0.922709713807757","0.903635545654135","0.941783881961379"
"Nicht beeinträchtigt","1989","AkademikerIn","638","0.907223300638335","0.885623087794376","0.928823513482294"
"Beeinträchtigt","1989","(noch) kein Abschluss","71","0.0894817112980324","0.070676079311627","0.108287343284438"
"Beeinträchtigt","1989","Hauptschule","643","0.15240571433965","0.142880192769206","0.161931235910094"
"Beeinträchtigt","1989","Realschule","107","","",""
"Beeinträchtigt","1989","(Fach-)Abitur","47","0.077290286192243","0.0582161180386209","0.096364454345865"
"Beeinträchtigt","1989","AkademikerIn","55","0.0927766993616645","0.0711764865177056","0.114376912205623"
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","","","",""
"Nicht beeinträchtigt","1990","Realschule","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","","","",""
"Beeinträchtigt","1990","Hauptschule","","","",""
"Beeinträchtigt","1990","Realschule","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","","","",""
"Beeinträchtigt","1990","AkademikerIn","","","",""
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","796","0.899686075569667","0.879757921180618","0.919614229958715"
"Nicht beeinträchtigt","1991","Hauptschule","6088","0.864428890564002","0.856251928263663","0.872605852864342"
"Nicht beeinträchtigt","1991","Realschule","3035","0.941652233296371","0.933454920411014","0.949849546181727"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","832","0.923091199864313","0.905546677338235","0.940635722390391"
"Nicht beeinträchtigt","1991","AkademikerIn","1620","","",""
"Beeinträchtigt","1991","(noch) kein Abschluss","77","0.100313924430333","0.0803857700412848","0.120242078819382"
"Beeinträchtigt","1991","Hauptschule","645","0.135571109435998","0.127394147135658","0.143748071736337"
"Beeinträchtigt","1991","Realschule","106","","",""
"Beeinträchtigt","1991","(Fach-)Abitur","54","0.076908800135687","0.0593642776096088","0.0944533226617652"
"Beeinträchtigt","1991","AkademikerIn","57","0.0559751383882158","0.0449731580707564","0.0669771187056752"
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","786","0.893302832784665","0.872705143936408","0.913900521632923"
"Nicht beeinträchtigt","1992","Hauptschule","5700","0.845789640366884","0.836997086534096","0.854582194199673"
"Nicht beeinträchtigt","1992","Realschule","2928","","",""
"Nicht beeinträchtigt","1992","(Fach-)Abitur","843","0.919017685345687","0.901144843981186","0.936890526710189"
"Nicht beeinträchtigt","1992","AkademikerIn","1538","","",""
"Beeinträchtigt","1992","(noch) kein Abschluss","77","0.106697167215335","0.0860994783670775","0.127294856063592"
"Beeinträchtigt","1992","Hauptschule","781","0.154210359633116","0.145417805800327","0.163002913465904"
"Beeinträchtigt","1992","Realschule","159","","",""
"Beeinträchtigt","1992","(Fach-)Abitur","52","0.0809823146543128","0.0631094732898114","0.0988551560188143"
"Beeinträchtigt","1992","AkademikerIn","105","","",""
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","","","",""
"Nicht beeinträchtigt","1993","Realschule","","","",""
