"m11124","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Westdeutschland","1213","","",""
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","Westdeutschland","6478","0.869746887258942","0.861984777482453","0.877508997035431"
"Nicht beeinträchtigt","1984","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1984","Realschule","Westdeutschland","1759","","",""
"Nicht beeinträchtigt","1984","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Westdeutschland","812","0.92299362686381","0.905247596179398","0.940739657548222"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","Westdeutschland","725","0.905539371067698","0.885131924197779","0.925946817937616"
"Nicht beeinträchtigt","1984","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1984","(noch) kein Abschluss","Westdeutschland","67","0.0615370434228283","0.0483720699977035","0.074702016847953"
"Beeinträchtigt","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1984","Hauptschule","Westdeutschland","745","0.130253112741058","0.122491002964569","0.138015222517547"
"Beeinträchtigt","1984","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1984","Realschule","Westdeutschland","124","","",""
"Beeinträchtigt","1984","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1984","(Fach-)Abitur","Westdeutschland","55","0.07700637313619","0.0592603424517781","0.0947524038206018"
"Beeinträchtigt","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1984","AkademikerIn","Westdeutschland","64","0.0944606289323023","0.0740531820623839","0.114868075802221"
"Beeinträchtigt","1984","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","Westdeutschland","1025","","",""
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1985","Hauptschule","Westdeutschland","5773","0.873314198985735","0.865174040795641","0.881454357175829"
"Nicht beeinträchtigt","1985","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1985","Realschule","Westdeutschland","1693","","",""
"Nicht beeinträchtigt","1985","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1985","(Fach-)Abitur","Westdeutschland","736","0.922090508290603","0.903340769408569","0.940840247172637"
"Nicht beeinträchtigt","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1985","AkademikerIn","Westdeutschland","694","0.910086081329593","0.889613521057016","0.930558641602169"
"Nicht beeinträchtigt","1985","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1985","(noch) kein Abschluss","Westdeutschland","59","0.080465989078507","0.0642731304056976","0.0966588477513165"
"Beeinträchtigt","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1985","Hauptschule","Westdeutschland","641","0.126685801014265","0.118545642824171","0.134825959204359"
"Beeinträchtigt","1985","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1985","Realschule","Westdeutschland","117","","",""
"Beeinträchtigt","1985","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1985","(Fach-)Abitur","Westdeutschland","49","0.077909491709397","0.0591597528273629","0.0966592305914311"
"Beeinträchtigt","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1985","AkademikerIn","Westdeutschland","56","0.0899139186704073","0.0694413583978307","0.110386478942984"
"Beeinträchtigt","1985","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","Westdeutschland","1025","","",""
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","Hauptschule","Westdeutschland","6087","0.999837082967897","0.999516539220567","1.00015762671523"
"Nicht beeinträchtigt","1986","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","Realschule","Westdeutschland","1770","","",""
"Nicht beeinträchtigt","1986","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Westdeutschland","808","1","1","1"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","AkademikerIn","Westdeutschland","749","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","Westdeutschland","3","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1986","Hauptschule","Westdeutschland","3","","",""
"Beeinträchtigt","1986","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1986","Realschule","Westdeutschland","2","","",""
"Beeinträchtigt","1986","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Westdeutschland","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1986","AkademikerIn","Westdeutschland","","","",""
"Beeinträchtigt","1986","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Westdeutschland","934","0.915742032175289","0.898491182676104","0.932992881674475"
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
