"m11124","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","maennlich","536","0.921813495241312","0.899831950426816","0.943795040055807"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","weiblich","677","0.95363388805051","0.938133964302109","0.969133811798911"
"Nicht beeinträchtigt","1984","Hauptschule","maennlich","3054","0.83819396057322","0.825981071130006","0.850406850016433"
"Nicht beeinträchtigt","1984","Hauptschule","weiblich","3424","0.895972375254672","0.886174874036898","0.905769876472445"
"Nicht beeinträchtigt","1984","Realschule","maennlich","722","0.905876936846968","0.885450345979372","0.926303527714565"
"Nicht beeinträchtigt","1984","Realschule","weiblich","1037","0.929647555124634","0.914520803222302","0.944774307026966"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","maennlich","473","0.902831974578662","0.877276238482189","0.928387710675135"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","weiblich","339","0.951999922451889","0.929636721886766","0.974363123017013"
"Nicht beeinträchtigt","1984","AkademikerIn","maennlich","482","0.887157490696785","0.860321712605454","0.913993268788116"
"Nicht beeinträchtigt","1984","AkademikerIn","weiblich","243","0.943085424654691","0.914649636692092","0.97152121261729"
"Beeinträchtigt","1984","(noch) kein Abschluss","maennlich","37","0.0781865047586882","0.0562049599441928","0.100168049573184"
"Beeinträchtigt","1984","(noch) kein Abschluss","weiblich","30","0.0463661119494898","0.0308661882010887","0.0618660356978909"
"Beeinträchtigt","1984","Hauptschule","maennlich","439","0.16180603942678","0.149593149983567","0.174018928869994"
"Beeinträchtigt","1984","Hauptschule","weiblich","306","0.104027624745328","0.0942301235275551","0.113825125963101"
"Beeinträchtigt","1984","Realschule","maennlich","63","0.0941230631530319","0.0736964722854354","0.114549654020628"
"Beeinträchtigt","1984","Realschule","weiblich","61","0.070352444875366","0.0552256929730341","0.0854791967776978"
"Beeinträchtigt","1984","(Fach-)Abitur","maennlich","43","0.097168025421338","0.0716122893248648","0.122723761517811"
"Beeinträchtigt","1984","(Fach-)Abitur","weiblich","12","","",""
"Beeinträchtigt","1984","AkademikerIn","maennlich","52","0.112842509303215","0.0860067312118835","0.139678287394546"
"Beeinträchtigt","1984","AkademikerIn","weiblich","12","","",""
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","maennlich","463","0.893685957221866","0.866613903500537","0.920758010943195"
"Nicht beeinträchtigt","1985","(noch) kein Abschluss","weiblich","562","0.948087928610643","0.930125801279607","0.966050055941679"
"Nicht beeinträchtigt","1985","Hauptschule","maennlich","2724","0.835523423784236","0.82250941686536","0.848537430703112"
"Nicht beeinträchtigt","1985","Hauptschule","weiblich","3049","0.904774193238889","0.894754923930205","0.914793462547573"
"Nicht beeinträchtigt","1985","Realschule","maennlich","697","0.914778060344089","0.894822094678681","0.934734026009497"
"Nicht beeinträchtigt","1985","Realschule","weiblich","996","0.924711801996856","0.908812725141067","0.940610878852645"
"Nicht beeinträchtigt","1985","(Fach-)Abitur","maennlich","424","0.906237684271351","0.879628421052085","0.932846947490617"
"Nicht beeinträchtigt","1985","(Fach-)Abitur","weiblich","312","0.943931148929708","0.918881215665437","0.968981082193979"
"Nicht beeinträchtigt","1985","AkademikerIn","maennlich","464","0.900129329167405","0.874030828924333","0.926227829410477"
"Nicht beeinträchtigt","1985","AkademikerIn","weiblich","230","0.930244899775466","0.898216769485031","0.9622730300659"
"Beeinträchtigt","1985","(noch) kein Abschluss","maennlich","35","0.106314042778134","0.0792419890568045","0.133386096499463"
"Beeinträchtigt","1985","(noch) kein Abschluss","weiblich","24","","",""
"Beeinträchtigt","1985","Hauptschule","maennlich","393","0.164476576215764","0.151462569296888","0.17749058313464"
"Beeinträchtigt","1985","Hauptschule","weiblich","248","0.0952258067611114","0.0852065374524275","0.105245076069795"
"Beeinträchtigt","1985","Realschule","maennlich","55","0.0852219396559109","0.0652659739905027","0.105177905321319"
"Beeinträchtigt","1985","Realschule","weiblich","62","0.075288198003144","0.0593891211473553","0.0911872748589326"
"Beeinträchtigt","1985","(Fach-)Abitur","maennlich","37","0.0937623157286489","0.0671530525093831","0.120371578947915"
"Beeinträchtigt","1985","(Fach-)Abitur","weiblich","12","","",""
