year,bula_h,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Tenant,No,0.98293,153,153,0.96235,1.00352
2005,Lower Saxony,Tenant,No,0.99333,376,376,0.98509,1.00157
2005,North Rhine-Westphalia,Owner,No,0.99883,1086,1086,0.99680,1.00086
2005,North Rhine-Westphalia,Tenant,No,0.99540,1273,1273,0.99168,0.99912
2005,Hesse,Tenant,No,0.99266,393,393,0.98421,1.00111
2005,"Rhineland-Palatinate, Saarland",Tenant,No,0.99533,290,290,0.98746,1.00319
2005,Baden-Wuerttemberg,Tenant,No,0.99838,648,648,0.99529,1.00148
2005,Bavaria,Owner,No,0.99892,853,853,0.99672,1.00113
2005,Bavaria,Tenant,No,0.99760,698,698,0.99396,1.00123
2005,Brandenburg,Tenant,No,0.99856,284,284,0.99414,1.00298
2005,Saxony,Owner,No,0.99885,324,324,0.99516,1.00255
2005,Saxony-Anhalt,Owner,No,0.99170,222,222,0.97975,1.00366
2005,Saxony-Anhalt,Tenant,No,0.99257,247,247,0.98184,1.00330
2005,Thuringa,Owner,No,0.99817,229,229,0.99263,1.00372
2005,Thuringa,Tenant,No,0.99362,230,230,0.98330,1.00393
2006,Schleswig-Holstein,Tenant,No,0.98468,172,172,0.96626,1.00309
2006,Hamburg,Tenant,No,0.99257,145,145,0.97855,1.00660
2006,Lower Saxony,Tenant,No,0.99288,431,431,0.98493,1.00082
2006,North Rhine-Westphalia,Owner,No,0.99878,1202,1202,0.99681,1.00075
2006,North Rhine-Westphalia,Tenant,No,0.98809,1326,1326,0.98224,0.99393
2006,Hesse,Tenant,No,0.99375,417,417,0.98618,1.00132
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.99098,317,317,0.98055,1.00140
2006,Baden-Wuerttemberg,Tenant,No,0.99835,686,686,0.99531,1.00139
2006,Bavaria,Tenant,No,0.99276,755,755,0.98671,0.99881
2006,Berlin,Tenant,No,0.99348,396,396,0.98554,1.00142
2006,Mecklenburg-Western Pomerania,Tenant,No,0.99462,165,165,0.98342,1.00582
2006,Saxony,Tenant,No,0.99701,533,533,0.99236,1.00165
2007,Schleswig-Holstein,Tenant,No,0.97122,164,164,0.94556,0.99689
2007,Lower Saxony,Owner,No,0.99832,593,593,0.99502,1.00162
2007,Lower Saxony,Tenant,No,0.99174,408,408,0.98295,1.00053
2007,North Rhine-Westphalia,Owner,No,0.99905,1114,1114,0.99724,1.00086
2007,North Rhine-Westphalia,Tenant,No,0.98572,1216,1216,0.97905,0.99239
2007,Hesse,Tenant,No,0.99001,392,392,0.98016,0.99987
2007,"Rhineland-Palatinate, Saarland",Owner,No,0.99575,380,380,0.98920,1.00230
2007,Baden-Wuerttemberg,Tenant,No,0.99224,616,616,0.98530,0.99918
2007,Bavaria,Owner,No,0.99881,925,925,0.99659,1.00103
2007,Bavaria,Tenant,No,0.98313,708,708,0.97363,0.99262
2007,Berlin,Tenant,No,0.99528,372,372,0.98831,1.00225
2007,Brandenburg,Tenant,No,0.99790,297,297,0.99269,1.00312
2007,Saxony,Owner,No,0.99686,325,325,0.99076,1.00295
2007,Saxony,Tenant,No,0.99683,507,507,0.99194,1.00173
2007,Saxony-Anhalt,Owner,No,0.99664,215,215,0.98890,1.00439
2007,Thuringa,Tenant,No,0.99855,240,240,0.99374,1.00337
2008,Schleswig-Holstein,Tenant,No,0.96388,147,147,0.93361,0.99415
2008,Hamburg,Tenant,No,0.99542,138,138,0.98412,1.00673
2008,Lower Saxony,Owner,No,0.99506,583,583,0.98936,1.00075
2008,Lower Saxony,Tenant,No,0.98492,376,376,0.97259,0.99726
2008,Bremen,Tenant,No,0.97261,47,47,0.92544,1.01978
2008,North Rhine-Westphalia,Owner,No,0.99197,1050,1050,0.98656,0.99737
2008,North Rhine-Westphalia,Tenant,No,0.97958,1111,1111,0.97125,0.98790
2008,Hesse,Tenant,No,0.99606,353,353,0.98951,1.00260
2008,"Rhineland-Palatinate, Saarland",Owner,No,0.99524,355,355,0.98807,1.00241
2008,"Rhineland-Palatinate, Saarland",Tenant,No,0.98749,261,261,0.97398,1.00100
2008,Baden-Wuerttemberg,Owner,No,0.99603,710,710,0.99139,1.00066
2008,Baden-Wuerttemberg,Tenant,No,0.99510,571,571,0.98937,1.00083
2008,Bavaria,Owner,No,0.99528,870,870,0.99072,0.99984
2008,Bavaria,Tenant,No,0.98338,657,657,0.97359,0.99316
2008,Berlin,Tenant,No,0.98739,357,357,0.97580,0.99898
2008,Brandenburg,Tenant,No,0.98569,271,271,0.97152,0.99985
2008,Mecklenburg-Western Pomerania,Tenant,No,0.99576,148,148,0.98526,1.00626
2008,Saxony,Owner,No,0.99780,309,309,0.99257,1.00303
2008,Saxony,Tenant,No,0.99585,488,488,0.99015,1.00156
2008,Saxony-Anhalt,Owner,No,0.99663,204,204,0.98866,1.00460
2008,Thuringa,Tenant,No,0.98978,232,232,0.97681,1.00275
2009,Schleswig-Holstein,Tenant,No,0.95524,132,132,0.91983,0.99065
2009,Lower Saxony,Tenant,No,0.98167,372,372,0.96801,0.99532
2009,North Rhine-Westphalia,Owner,No,0.99375,979,979,0.98881,0.99869
2009,North Rhine-Westphalia,Tenant,No,0.98226,1035,1035,0.97421,0.99030
2009,Hesse,Tenant,No,0.99446,342,342,0.98658,1.00234
