year,quintil_oecd_hh,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,No,0.99446,1964,1964,0.99118,0.99775
2005,2nd Quintile,No,0.99675,2060,2060,0.99429,0.99921
2005,3rd Quintile,No,0.99813,2096,2096,0.99629,0.99998
2005,4th Quintile,No,0.99845,2210,2210,0.99681,1.00009
2005,5th Quintile,No,0.99952,2842,2842,0.99871,1.00032
2006,1st Quintile,No,0.98647,2080,2080,0.98151,0.99144
2006,2nd Quintile,No,0.99768,2217,2217,0.99567,0.99968
2006,3rd Quintile,No,0.99642,2381,2381,0.99402,0.99882
2006,5th Quintile,No,0.99910,3059,3059,0.99803,1.00016
2007,1st Quintile,No,0.98430,1941,1941,0.97876,0.98983
2007,2nd Quintile,No,0.99677,2104,2104,0.99434,0.99919
2007,3rd Quintile,No,0.99590,2209,2209,0.99323,0.99856
2007,4th Quintile,No,0.99545,2326,2326,0.99272,0.99819
2007,5th Quintile,No,0.99872,2828,2828,0.99741,1.00004
2008,1st Quintile,No,0.97944,1850,1850,0.97298,0.98591
2008,2nd Quintile,No,0.99129,1957,1957,0.98718,0.99541
2008,3rd Quintile,No,0.99205,2152,2152,0.98830,0.99581
2008,4th Quintile,No,0.99528,2108,2108,0.99235,0.99820
2008,5th Quintile,No,0.99603,2687,2687,0.99366,0.99841
2009,1st Quintile,Yes,0.02215,31,1794,0.01534,0.02897
2009,1st Quintile,No,0.97785,1763,1794,0.97103,0.98466
2009,2nd Quintile,No,0.98337,1862,1862,0.97756,0.98918
2009,3rd Quintile,No,0.99556,1944,1944,0.99260,0.99852
2009,4th Quintile,No,0.99583,2057,2057,0.99305,0.99862
2009,5th Quintile,No,0.99764,2480,2480,0.99574,0.99955
2010,1st Quintile,Yes,0.03352,46,3146,0.02723,0.03981
2010,1st Quintile,No,0.96620,3100,3146,0.95989,0.97252
2010,2nd Quintile,Yes,0.02113,34,2919,0.01591,0.02635
2010,2nd Quintile,No,0.97872,2885,2919,0.97348,0.98395
2010,3rd Quintile,No,0.99593,2544,2544,0.99345,0.99840
2010,4th Quintile,No,0.98775,2436,2436,0.98338,0.99212
2010,5th Quintile,No,0.99754,2707,2707,0.99567,0.99940
2011,1st Quintile,Yes,0.03150,58,3646,0.02583,0.03717
2011,1st Quintile,No,0.93715,3588,3646,0.92927,0.94503
2011,2nd Quintile,Yes,0.02231,55,3359,0.01732,0.02731
2011,2nd Quintile,No,0.95304,3304,3359,0.94588,0.96020
2011,3rd Quintile,Yes,0.01072,35,3170,0.00713,0.01430
2011,3rd Quintile,No,0.97252,3135,3170,0.96683,0.97821
2011,4th Quintile,Yes,0.01377,31,3003,0.00960,0.01794
2011,4th Quintile,No,0.96473,2972,3003,0.95813,0.97132
2011,5th Quintile,No,0.96056,3101,3101,0.95371,0.96741
2012,1st Quintile,Yes,0.03228,68,3514,0.02644,0.03813
2012,1st Quintile,No,0.93226,3446,3514,0.92395,0.94057
2012,2nd Quintile,Yes,0.02587,63,3250,0.02041,0.03133
2012,2nd Quintile,No,0.94666,3187,3250,0.93893,0.95438
2012,3rd Quintile,Yes,0.01467,39,3134,0.01046,0.01888
2012,3rd Quintile,No,0.96039,3095,3134,0.95356,0.96722
2012,4th Quintile,No,0.96562,2930,2930,0.95902,0.97222
2012,5th Quintile,No,0.97001,3079,3079,0.96398,0.97603
2013,1st Quintile,Yes,0.02963,79,4160,0.02448,0.03479
2013,1st Quintile,No,0.93196,4081,4160,0.92431,0.93962
2013,2nd Quintile,Yes,0.02698,77,3793,0.02182,0.03214
2013,2nd Quintile,No,0.94577,3716,3793,0.93856,0.95297
2013,3rd Quintile,Yes,0.01727,42,3319,0.01284,0.02170
2013,3rd Quintile,No,0.95863,3277,3319,0.95186,0.96541
2013,4th Quintile,Yes,0.01080,31,3055,0.00713,0.01446
2013,4th Quintile,No,0.97391,3024,3055,0.96825,0.97956
2013,5th Quintile,No,0.97062,3173,3173,0.96474,0.97649
2014,1st Quintile,Yes,0.03353,91,3424,0.02749,0.03956
2014,1st Quintile,No,0.94975,3333,3424,0.94243,0.95706
2014,2nd Quintile,Yes,0.02646,64,3287,0.02097,0.03195
2014,2nd Quintile,No,0.95732,3223,3287,0.95040,0.96423
2014,3rd Quintile,Yes,0.01177,35,3080,0.00796,0.01558
2014,3rd Quintile,No,0.97506,3045,3080,0.96955,0.98056
2014,4th Quintile,No,0.97275,2861,2861,0.96679,0.97872
2014,5th Quintile,No,0.98387,2974,2974,0.97935,0.98840
2015,1st Quintile,Yes,0.04090,92,3473,0.03431,0.04749
2015,1st Quintile,No,0.92009,3381,3473,0.91107,0.92911
2015,2nd Quintile,Yes,0.02444,67,3290,0.01917,0.02972
2015,2nd Quintile,No,0.93345,3223,3290,0.92493,0.94197
2015,3rd Quintile,Yes,0.01341,37,2943,0.00926,0.01757
2015,3rd Quintile,No,0.95544,2906,2943,0.94799,0.96290
2015,4th Quintile,No,0.95968,2733,2733,0.95230,0.96706
2015,5th Quintile,No,0.98133,2900,2900,0.97640,0.98626
2016,1st Quintile,Yes,0.03819,94,3067,0.03140,0.04497
2016,1st Quintile,No,0.91831,2973,3067,0.90861,0.92800
2016,2nd Quintile,Yes,0.03021,61,2997,0.02408,0.03634
2016,2nd Quintile,No,0.94930,2936,2997,0.94144,0.95715
2016,3rd Quintile,Yes,0.01327,34,2697,0.00895,0.01759
2016,3rd Quintile,No,0.96678,2663,2697,0.96001,0.97354
2016,4th Quintile,No,0.97688,2600,2600,0.97110,0.98266
2016,5th Quintile,No,0.98171,2703,2703,0.97666,0.98677
2017,1st Quintile,Yes,0.04868,115,4814,0.04260,0.05476
2017,1st Quintile,No,0.92177,4699,4814,0.91419,0.92936
2017,2nd Quintile,Yes,0.02807,69,3305,0.02244,0.03370
2017,2nd Quintile,No,0.95718,3236,3305,0.95028,0.96409
2017,3rd Quintile,No,0.98099,3047,3047,0.97614,0.98584
2017,4th Quintile,No,0.97022,2977,2977,0.96411,0.97632
2017,5th Quintile,No,0.98463,3049,3049,0.98026,0.98900
2018,1st Quintile,Yes,0.05382,150,5328,0.04776,0.05988
2018,1st Quintile,No,0.92894,5178,5328,0.92204,0.93584
2018,2nd Quintile,Yes,0.02155,63,3416,0.01668,0.02642
2018,2nd Quintile,No,0.96353,3353,3416,0.95724,0.96981
2018,3rd Quintile,Yes,0.01082,36,2969,0.00709,0.01454
2018,3rd Quintile,No,0.97600,2933,2969,0.97049,0.98150
2018,4th Quintile,No,0.98405,2858,2858,0.97945,0.98864
2018,5th Quintile,No,0.98789,2980,2980,0.98396,0.99181
2019,1st Quintile,Yes,0.06052,157,5017,0.05392,0.06712
2019,1st Quintile,No,0.92447,4860,5017,0.91716,0.93178
2019,2nd Quintile,Yes,0.01898,52,3132,0.01420,0.02376
2019,2nd Quintile,No,0.96528,3080,3132,0.95886,0.97169
2019,3rd Quintile,Yes,0.01802,39,2874,0.01316,0.02289
2019,3rd Quintile,No,0.97423,2835,2874,0.96844,0.98003
2019,4th Quintile,No,0.97739,2883,2883,0.97197,0.98282
2019,5th Quintile,No,0.99201,4317,4317,0.98935,0.99467
2020,1st Quintile,Yes,0.06406,143,6022,0.05788,0.07025
2020,1st Quintile,No,0.90329,5879,6022,0.89583,0.91076
2020,2nd Quintile,Yes,0.02182,61,3457,0.01695,0.02669
2020,2nd Quintile,No,0.95426,3396,3457,0.94730,0.96123
2020,3rd Quintile,Yes,0.00996,32,2855,0.00632,0.01360
2020,3rd Quintile,No,0.96214,2823,2855,0.95514,0.96915
2020,4th Quintile,No,0.98154,2810,2810,0.97656,0.98652
2020,5th Quintile,No,0.98523,3693,3693,0.98134,0.98912
2021,1st Quintile,Yes,0.04076,79,3200,0.03391,0.04761
2021,1st Quintile,No,0.94678,3121,3200,0.93901,0.95456
2021,2nd Quintile,Yes,0.02100,43,2353,0.01521,0.02680
2021,2nd Quintile,No,0.97078,2310,2353,0.96397,0.97759
2021,3rd Quintile,No,0.97321,2032,2032,0.96618,0.98023
2021,4th Quintile,Yes,0.01360,31,2084,0.00863,0.01857
2021,4th Quintile,No,0.98002,2053,2084,0.97401,0.98603
2021,5th Quintile,No,0.98548,2696,2696,0.98097,0.99000
2022,1st Quintile,Yes,0.03877,101,5177,0.03351,0.04403
2022,1st Quintile,No,0.93728,5076,5177,0.93067,0.94388
2022,2nd Quintile,Yes,0.02515,73,4128,0.02037,0.02992
2022,2nd Quintile,No,0.96016,4055,4128,0.95419,0.96613
2022,3rd Quintile,Yes,0.02035,52,3456,0.01564,0.02505
2022,3rd Quintile,No,0.96701,3404,3456,0.96106,0.97297
2022,4th Quintile,Yes,0.01086,40,3419,0.00738,0.01433
2022,4th Quintile,No,0.97391,3379,3419,0.96857,0.97926
2022,5th Quintile,Yes,0.00843,31,3796,0.00552,0.01134
2022,5th Quintile,No,0.97782,3765,3796,0.97313,0.98251
