year,sex,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,At least once per week,0.08694,705,6697,0.08019,0.09368
1990,male,At least once per month,0.06678,548,6697,0.06081,0.07276
1990,male,Seldom,0.23202,1764,6697,0.22191,0.24213
1990,male,Never,0.42040,3680,6697,0.40857,0.43222
1990,female,At least once per week,0.12249,912,7023,0.11482,0.13016
1990,female,At least once per month,0.09975,772,7023,0.09274,0.10676
1990,female,Seldom,0.23518,1898,7023,0.22526,0.24510
1990,female,Never,0.36814,3441,7023,0.35686,0.37942
1992,male,At least once per week,0.07851,612,6409,0.07193,0.08510
1992,male,At least once per month,0.05539,483,6409,0.04979,0.06099
1992,male,Seldom,0.21612,1587,6409,0.20605,0.22620
1992,male,Never,0.45592,3727,6409,0.44373,0.46812
1992,female,At least once per week,0.10477,774,6782,0.09748,0.11206
1992,female,At least once per month,0.08339,649,6782,0.07681,0.08997
1992,female,Seldom,0.23201,1786,6782,0.22197,0.24206
1992,female,Never,0.40219,3573,6782,0.39052,0.41386
1994,male,At least once per week,0.07268,585,6174,0.06621,0.07916
1994,male,At least once per month,0.06384,505,6174,0.05774,0.06994
1994,male,Seldom,0.22351,1609,6174,0.21312,0.23391
1994,male,Never,0.44426,3475,6174,0.43186,0.45665
1994,female,At least once per week,0.10845,752,6614,0.10096,0.11595
1994,female,At least once per month,0.08245,668,6614,0.07582,0.08907
1994,female,Seldom,0.23257,1812,6614,0.22239,0.24275
1994,female,Never,0.40064,3382,6614,0.38883,0.41245
1995,male,At least once per week,0.07692,650,6371,0.07038,0.08346
1995,male,At least once per month,0.06761,556,6371,0.06145,0.07378
1995,male,Seldom,0.21395,1598,6371,0.20388,0.22402
1995,male,Never,0.44528,3567,6371,0.43307,0.45749
1995,female,At least once per week,0.11577,868,6820,0.10818,0.12337
1995,female,At least once per month,0.08696,706,6820,0.08027,0.09365
1995,female,Seldom,0.22668,1825,6820,0.21674,0.23662
1995,female,Never,0.39573,3421,6820,0.38413,0.40734
1996,male,At least once per week,0.07338,582,6271,0.06693,0.07984
1996,male,At least once per month,0.06698,523,6271,0.06080,0.07317
1996,male,Seldom,0.23280,1686,6271,0.22234,0.24326
1996,male,Never,0.43355,3480,6271,0.42128,0.44582
1996,female,At least once per week,0.10492,739,6729,0.09759,0.11224
1996,female,At least once per month,0.08199,675,6729,0.07544,0.08855
1996,female,Seldom,0.25127,1924,6729,0.24091,0.26164
1996,female,Never,0.38945,3391,6729,0.37780,0.40110
1997,male,At least once per week,0.07349,568,6175,0.06698,0.08000
1997,male,At least once per month,0.06040,477,6175,0.05445,0.06634
1997,male,Seldom,0.23469,1696,6175,0.22412,0.24527
1997,male,Never,0.43710,3434,6175,0.42473,0.44948
1997,female,At least once per week,0.10506,727,6577,0.09764,0.11247
1997,female,At least once per month,0.08187,649,6577,0.07524,0.08850
1997,female,Seldom,0.24996,1941,6577,0.23949,0.26042
1997,female,Never,0.38937,3260,6577,0.37758,0.40115
1998,male,At least once per week,0.07620,632,6851,0.06992,0.08249
1998,male,At least once per month,0.06923,556,6851,0.06322,0.07524
1998,male,Seldom,0.23648,1939,6851,0.22642,0.24654
1998,male,Never,0.42950,3724,6851,0.41777,0.44122
1998,female,At least once per week,0.10134,811,7293,0.09441,0.10827
1998,female,At least once per month,0.09126,772,7293,0.08465,0.09787
1998,female,Seldom,0.25261,2190,7293,0.24264,0.26258
1998,female,Never,0.38146,3520,7293,0.37031,0.39261
1999,male,At least once per week,0.07150,549,6578,0.06527,0.07773
1999,male,At least once per month,0.05909,494,6578,0.05339,0.06479
1999,male,Seldom,0.25215,1948,6578,0.24165,0.26264
1999,male,Never,0.43214,3587,6578,0.42017,0.44411
1999,female,At least once per week,0.09492,693,7027,0.08807,0.10178
1999,female,At least once per month,0.08299,695,7027,0.07654,0.08945
1999,female,Seldom,0.26691,2187,7027,0.25657,0.27725
1999,female,Never,0.38564,3452,7027,0.37425,0.39702
2001,male,At least once per week,0.06751,852,10448,0.06270,0.07232
2001,male,At least once per month,0.06703,877,10448,0.06223,0.07183
2001,male,Seldom,0.23967,3048,10448,0.23149,0.24786
2001,male,Never,0.43940,5671,10448,0.42988,0.44891
2001,female,At least once per week,0.09498,1176,11303,0.08957,0.10039
2001,female,At least once per month,0.08918,1229,11303,0.08392,0.09443
2001,female,Seldom,0.25034,3394,11303,0.24235,0.25833
2001,female,Never,0.39271,5504,11303,0.38370,0.40171
2003,male,At least once per week,0.06732,856,10608,0.06255,0.07209
2003,male,At least once per month,0.06591,874,10608,0.06118,0.07063
2003,male,Seldom,0.24209,3130,10608,0.23393,0.25024
2003,male,Never,0.44398,5748,10608,0.43453,0.45344
2003,female,At least once per week,0.09626,1179,11416,0.09085,0.10167
2003,female,At least once per month,0.08857,1221,11416,0.08336,0.09378
2003,female,Seldom,0.25744,3549,11416,0.24942,0.26546
2003,female,Never,0.39101,5467,11416,0.38206,0.39996
2005,male,At least once per week,0.06147,739,9844,0.05672,0.06621
2005,male,At least once per month,0.05745,750,9844,0.05286,0.06205
2005,male,Seldom,0.25143,2966,9844,0.24286,0.26000
2005,male,Never,0.45701,5389,9844,0.44717,0.46685
2005,female,At least once per week,0.08872,1022,10740,0.08334,0.09409
2005,female,At least once per month,0.08777,1148,10740,0.08242,0.09312
2005,female,Seldom,0.25903,3333,10740,0.25074,0.26732
2005,female,Never,0.40767,5237,10740,0.39838,0.41697
2007,male,At least once per week,0.05945,754,9727,0.05475,0.06415
2007,male,At least once per month,0.05838,741,9727,0.05372,0.06304
2007,male,Seldom,0.22638,2754,9727,0.21806,0.23470
2007,male,Never,0.47589,5478,9727,0.46596,0.48582
2007,female,At least once per week,0.08262,1010,10677,0.07739,0.08784
2007,female,At least once per month,0.08355,1090,10677,0.07830,0.08880
2007,female,Seldom,0.24774,3246,10677,0.23955,0.25593
2007,female,Never,0.42232,5331,10677,0.41295,0.43169
2008,male,At least once per week,0.05811,680,9172,0.05333,0.06290
2008,male,At least once per month,0.05526,677,9172,0.05059,0.05994
2008,male,Seldom,0.24339,2722,9172,0.23460,0.25217
2008,male,Never,0.47144,5093,9172,0.46122,0.48165
2008,female,At least once per week,0.07893,894,10062,0.07366,0.08420
2008,female,At least once per month,0.08774,1068,10062,0.08221,0.09327
2008,female,Seldom,0.25424,3084,10062,0.24573,0.26275
2008,female,Never,0.42161,5016,10062,0.41196,0.43125
2009,male,At least once per week,0.05400,606,8561,0.04921,0.05878
2009,male,At least once per month,0.05567,638,8561,0.05081,0.06053
2009,male,Seldom,0.23541,2432,8561,0.22643,0.24440
2009,male,Never,0.48526,4885,8561,0.47467,0.49585
2009,female,At least once per week,0.07365,797,9364,0.06836,0.07894
2009,female,At least once per month,0.08498,951,9364,0.07933,0.09063
2009,female,Seldom,0.25167,2854,9364,0.24288,0.26046
2009,female,Never,0.43282,4762,9364,0.42278,0.44286
2011,male,At least once per week,0.05732,991,12805,0.05329,0.06134
