year,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,At least once per week,0.10525,1617,13720,0.10011,0.11038
1990,At least once per month,0.08377,1320,13720,0.07913,0.08840
1990,Seldom,0.23358,3662,13720,0.22650,0.24066
1990,Never,0.39332,7121,13720,0.38514,0.40149
1992,At least once per week,0.09202,1386,13191,0.08709,0.09695
1992,At least once per month,0.06980,1132,13191,0.06545,0.07415
1992,Seldom,0.22430,3373,13191,0.21718,0.23142
1992,Never,0.42828,7300,13191,0.41983,0.43672
1994,At least once per week,0.09103,1337,12788,0.08604,0.09601
1994,At least once per month,0.07338,1173,12788,0.06886,0.07790
1994,Seldom,0.22816,3421,12788,0.22088,0.23543
1994,Never,0.42189,6857,12788,0.41333,0.43045
1995,At least once per week,0.09683,1518,13191,0.09178,0.10188
1995,At least once per month,0.07753,1262,13191,0.07296,0.08209
1995,Seldom,0.22047,3423,13191,0.21340,0.22755
1995,Never,0.41989,6988,13191,0.41147,0.42831
1996,At least once per week,0.08952,1321,13000,0.08461,0.09443
1996,At least once per month,0.07466,1198,13000,0.07015,0.07918
1996,Seldom,0.24225,3610,13000,0.23489,0.24962
1996,Never,0.41098,6871,13000,0.40252,0.41944
1997,At least once per week,0.08963,1295,12752,0.08467,0.09459
1997,At least once per month,0.07138,1126,12752,0.06691,0.07585
1997,Seldom,0.24250,3637,12752,0.23506,0.24994
1997,Never,0.41269,6694,12752,0.40415,0.42124
1998,At least once per week,0.08906,1443,14144,0.08436,0.09375
1998,At least once per month,0.08050,1328,14144,0.07601,0.08498
1998,Seldom,0.24473,4129,14144,0.23764,0.25181
1998,Never,0.40494,7244,14144,0.39685,0.41303
1999,At least once per week,0.08346,1242,13605,0.07882,0.08811
1999,At least once per month,0.07130,1189,13605,0.06698,0.07563
1999,Seldom,0.25969,4135,13605,0.25232,0.26706
1999,Never,0.40838,7039,13605,0.40012,0.41664
2001,At least once per week,0.08153,2028,21751,0.07789,0.08516
2001,At least once per month,0.07833,2106,21751,0.07476,0.08190
2001,Seldom,0.24512,6442,21751,0.23940,0.25083
2001,Never,0.41557,11175,21751,0.40902,0.42212
2003,At least once per week,0.08207,2035,22024,0.07845,0.08570
2003,At least once per month,0.07746,2095,22024,0.07393,0.08099
2003,Seldom,0.24991,6679,22024,0.24419,0.25563
2003,Never,0.41699,11215,22024,0.41047,0.42350
2005,At least once per week,0.07535,1761,20584,0.07174,0.07896
2005,At least once per month,0.07290,1898,20584,0.06934,0.07645
2005,Seldom,0.25530,6299,20584,0.24934,0.26126
2005,Never,0.43187,10626,20584,0.42511,0.43864
2007,At least once per week,0.07124,1764,20404,0.06771,0.07477
2007,At least once per month,0.07119,1831,20404,0.06766,0.07472
2007,Seldom,0.23725,6000,20404,0.23141,0.24309
2007,Never,0.44863,10809,20404,0.44180,0.45545
2008,At least once per week,0.06871,1574,19234,0.06513,0.07228
2008,At least once per month,0.07179,1745,19234,0.06814,0.07544
2008,Seldom,0.24891,5806,19234,0.24280,0.25502
2008,Never,0.44608,10109,19234,0.43905,0.45310
2009,At least once per week,0.06399,1403,17925,0.06041,0.06758
2009,At least once per month,0.07057,1589,17925,0.06683,0.07432
2009,Seldom,0.24368,5286,17925,0.23740,0.24997
2009,Never,0.45859,9647,17925,0.45130,0.46589
2011,At least once per week,0.06711,2421,28293,0.06419,0.07002
2011,At least once per month,0.07174,2735,28293,0.06873,0.07474
2011,Seldom,0.22592,7616,28293,0.22104,0.23079
2011,Never,0.46957,15521,28293,0.46375,0.47538
2013,At least once per week,0.06232,2136,25381,0.05935,0.06530
2013,At least once per month,0.06334,2363,25381,0.06034,0.06634
2013,Seldom,0.20317,6887,25381,0.19822,0.20812
2013,Never,0.42970,13995,25381,0.42361,0.43579
2015,At least once per week,0.06508,2114,26697,0.06212,0.06803
2015,At least once per month,0.06505,2456,26697,0.06210,0.06801
2015,Seldom,0.21553,6870,26697,0.21059,0.22046
2015,Never,0.49540,15257,26697,0.48940,0.50140
2017,At least once per week,0.06479,2719,30405,0.06202,0.06755
2017,At least once per month,0.06894,2635,30405,0.06609,0.07179
2017,Seldom,0.20319,7176,30405,0.19867,0.20772
2017,Never,0.49899,17875,30405,0.49337,0.50461
2018,At least once per week,0.00099,528,3166,-0.00010,0.00209
2018,At least once per month,0.00058,288,3166,-0.00026,0.00142
2018,Seldom,0.00096,568,3166,-0.00012,0.00204
2018,Never,0.00302,1782,3166,0.00111,0.00494
2019,At least once per week,0.06113,2276,28697,0.05836,0.06391
2019,At least once per month,0.06140,2329,28697,0.05862,0.06417
2019,Seldom,0.21313,7370,28697,0.20839,0.21787
2019,Never,0.49827,16722,28697,0.49248,0.50405
