year,bula_h,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Seldom,0.30693,107,260,0.25076,0.36310
1990,Schleswig-Holstein,Never,0.42982,153,260,0.36953,0.49011
1990,Hamburg,Seldom,0.20959,40,149,0.14402,0.27517
1990,Hamburg,Never,0.61426,109,149,0.53583,0.69268
1990,Lower Saxony,At least once per week,0.06799,85,972,0.05216,0.08383
1990,Lower Saxony,At least once per month,0.06712,73,972,0.05138,0.08286
1990,Lower Saxony,Seldom,0.28986,337,972,0.26132,0.31839
1990,Lower Saxony,Never,0.42459,477,972,0.39350,0.45568
1990,Bremen,Never,0.59741,70,70,0.48169,0.71313
1990,North Rhine-Westphalia,At least once per week,0.13131,417,2544,0.11818,0.14443
1990,North Rhine-Westphalia,At least once per month,0.08938,274,2544,0.07829,0.10046
1990,North Rhine-Westphalia,Seldom,0.23991,737,2544,0.22332,0.25651
1990,North Rhine-Westphalia,Never,0.35710,1116,2544,0.33848,0.37573
1990,Hesse,At least once per week,0.09239,119,974,0.07420,0.11059
1990,Hesse,At least once per month,0.10334,132,974,0.08422,0.12247
1990,Hesse,Seldom,0.32975,352,974,0.30021,0.35929
1990,Hesse,Never,0.31515,371,974,0.28596,0.34434
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.15885,120,670,0.13115,0.18655
1990,"Rhineland-Palatinate, Saarland",At least once per month,0.11576,83,670,0.09152,0.14001
1990,"Rhineland-Palatinate, Saarland",Seldom,0.29989,236,670,0.26517,0.33461
1990,"Rhineland-Palatinate, Saarland",Never,0.28065,231,670,0.24661,0.31470
1990,Baden-Wuerttemberg,At least once per week,0.15843,344,1772,0.14142,0.17544
1990,Baden-Wuerttemberg,At least once per month,0.10992,262,1772,0.09536,0.12449
1990,Baden-Wuerttemberg,Seldom,0.26786,578,1772,0.24724,0.28849
1990,Baden-Wuerttemberg,Never,0.27074,588,1772,0.25004,0.29143
1990,Bavaria,At least once per week,0.17230,318,1590,0.15373,0.19087
1990,Bavaria,At least once per month,0.13558,258,1590,0.11874,0.15241
1990,Bavaria,Seldom,0.24727,478,1590,0.22606,0.26848
1990,Bavaria,Never,0.27663,536,1590,0.25463,0.29862
1990,Berlin,At least once per week,0.05261,34,596,0.03467,0.07055
1990,Berlin,Seldom,0.14417,94,596,0.11595,0.17240
1990,Berlin,Never,0.59667,468,596,0.55725,0.63609
1990,Brandenburg,Seldom,0.10658,94,674,0.08326,0.12989
1990,Brandenburg,Never,0.60814,580,674,0.57126,0.64502
1990,Mecklenburg-Western Pomerania,Seldom,0.12911,79,460,0.09844,0.15979
1990,Mecklenburg-Western Pomerania,Never,0.58300,381,460,0.53790,0.62811
1990,Saxony,At least once per week,0.03067,44,1294,0.02127,0.04007
1990,Saxony,At least once per month,0.04839,74,1294,0.03669,0.06008
1990,Saxony,Seldom,0.14051,254,1294,0.12156,0.15945
1990,Saxony,Never,0.54380,922,1294,0.51665,0.57094
1990,Saxony-Anhalt,At least once per month,0.04290,39,763,0.02851,0.05729
1990,Saxony-Anhalt,Seldom,0.09614,105,763,0.07521,0.11707
1990,Saxony-Anhalt,Never,0.61175,619,763,0.57715,0.64636
1990,Thuringa,At least once per week,0.06101,51,740,0.04375,0.07826
1990,Thuringa,At least once per month,0.03976,35,740,0.02567,0.05385
1990,Thuringa,Seldom,0.13760,154,740,0.11276,0.16243
1990,Thuringa,Never,0.52868,500,740,0.49269,0.56467
1992,Schleswig-Holstein,Seldom,0.24116,80,246,0.18760,0.29473
1992,Schleswig-Holstein,Never,0.45679,166,246,0.39441,0.51917
1992,Hamburg,Never,0.60981,91,91,0.50903,0.71059
1992,Lower Saxony,At least once per week,0.06408,75,958,0.04857,0.07960
1992,Lower Saxony,At least once per month,0.05159,55,958,0.03758,0.06560
1992,Lower Saxony,Seldom,0.27370,306,958,0.24546,0.30195
1992,Lower Saxony,Never,0.43447,522,958,0.40307,0.46588
1992,Bremen,Never,0.59325,59,59,0.46682,0.71967
1992,North Rhine-Westphalia,At least once per week,0.11517,356,2500,0.10266,0.12769
1992,North Rhine-Westphalia,At least once per month,0.06735,212,2500,0.05752,0.07717
1992,North Rhine-Westphalia,Seldom,0.23896,684,2500,0.22224,0.25568
1992,North Rhine-Westphalia,Never,0.38842,1248,2500,0.36931,0.40753
1992,Hesse,At least once per week,0.09527,107,950,0.07659,0.11395
1992,Hesse,At least once per month,0.08540,137,950,0.06762,0.10319
1992,Hesse,Seldom,0.28113,290,950,0.25253,0.30974
1992,Hesse,Never,0.38323,416,950,0.35230,0.41416
1992,"Rhineland-Palatinate, Saarland",At least once per week,0.11382,83,657,0.08952,0.13813
1992,"Rhineland-Palatinate, Saarland",At least once per month,0.08095,71,657,0.06008,0.10183
1992,"Rhineland-Palatinate, Saarland",Seldom,0.28802,230,657,0.25337,0.32268
1992,"Rhineland-Palatinate, Saarland",Never,0.35420,273,657,0.31760,0.39080
1992,Baden-Wuerttemberg,At least once per week,0.12430,289,1744,0.10881,0.13979
1992,Baden-Wuerttemberg,At least once per month,0.11999,267,1744,0.10474,0.13525
1992,Baden-Wuerttemberg,Seldom,0.27266,581,1744,0.25175,0.29356
