year,age_gr,migback,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,At least once per week,0.08130,219,2861,0.07128,0.09132
1990,17-29 y.,No migration background,At least once per month,0.06670,186,2861,0.05755,0.07584
1990,17-29 y.,No migration background,Seldom,0.27948,729,2861,0.26303,0.29593
1990,17-29 y.,No migration background,Never,0.56431,1727,2861,0.54614,0.58248
1990,17-29 y.,Direct migration background,At least once per week,0.09784,98,693,0.07570,0.11997
1990,17-29 y.,Direct migration background,At least once per month,0.09466,78,693,0.07284,0.11647
1990,17-29 y.,Direct migration background,Seldom,0.25349,171,693,0.22108,0.28590
1990,17-29 y.,Direct migration background,Never,0.53790,346,693,0.50075,0.57505
1990,17-29 y.,Indirect migration background,Seldom,0.30815,88,204,0.24463,0.37167
1990,17-29 y.,Indirect migration background,Never,0.46051,116,204,0.39194,0.52908
1990,30-45 y.,No migration background,At least once per week,0.08112,242,3378,0.07192,0.09033
1990,30-45 y.,No migration background,At least once per month,0.08235,243,3378,0.07308,0.09162
1990,30-45 y.,No migration background,Seldom,0.32252,970,3378,0.30675,0.33828
1990,30-45 y.,No migration background,Never,0.50887,1923,3378,0.49201,0.52574
1990,30-45 y.,Direct migration background,At least once per week,0.14262,123,862,0.11926,0.16598
1990,30-45 y.,Direct migration background,At least once per month,0.11004,110,862,0.08914,0.13095
1990,30-45 y.,Direct migration background,Seldom,0.29235,252,862,0.26197,0.32274
1990,30-45 y.,Direct migration background,Never,0.44317,377,862,0.40999,0.47635
1990,46-65 y.,No migration background,At least once per week,0.15040,420,3227,0.13807,0.16274
1990,46-65 y.,No migration background,At least once per month,0.11006,323,3227,0.09926,0.12086
1990,46-65 y.,No migration background,Seldom,0.29832,888,3227,0.28254,0.31411
1990,46-65 y.,No migration background,Never,0.43449,1596,3227,0.41738,0.45159
1990,46-65 y.,Direct migration background,At least once per week,0.16367,200,973,0.14041,0.18693
1990,46-65 y.,Direct migration background,At least once per month,0.13178,147,973,0.11051,0.15304
1990,46-65 y.,Direct migration background,Seldom,0.25529,231,973,0.22787,0.28270
1990,46-65 y.,Direct migration background,Never,0.42819,395,973,0.39708,0.45930
1990,66 and older,No migration background,At least once per week,0.20347,256,1331,0.18183,0.22511
1990,66 and older,No migration background,At least once per month,0.15515,194,1331,0.13569,0.17461
1990,66 and older,No migration background,Seldom,0.21735,295,1331,0.19518,0.23952
1990,66 and older,No migration background,Never,0.41153,586,1331,0.38508,0.43798
1990,66 and older,Direct migration background,Never,0.39669,41,41,0.24508,0.54830
1992,17-29 y.,No migration background,At least once per week,0.06506,163,2561,0.05551,0.07462
1992,17-29 y.,No migration background,At least once per month,0.05411,142,2561,0.04535,0.06288
1992,17-29 y.,No migration background,Seldom,0.27084,649,2561,0.25362,0.28805
1992,17-29 y.,No migration background,Never,0.60580,1607,2561,0.58687,0.62473
1992,17-29 y.,Direct migration background,At least once per week,0.14943,89,626,0.12148,0.17738
1992,17-29 y.,Direct migration background,At least once per month,0.09630,80,626,0.07318,0.11943
1992,17-29 y.,Direct migration background,Seldom,0.22102,126,626,0.18849,0.25355
1992,17-29 y.,Direct migration background,Never,0.53066,331,626,0.49154,0.56979
1992,17-29 y.,Indirect migration background,At least once per month,0.09636,43,336,0.06476,0.12796
1992,17-29 y.,Indirect migration background,Seldom,0.27281,111,336,0.22512,0.32051
1992,17-29 y.,Indirect migration background,Never,0.52890,182,336,0.47545,0.58235
1992,30-45 y.,No migration background,At least once per week,0.06875,220,3422,0.06027,0.07723
1992,30-45 y.,No migration background,At least once per month,0.06645,202,3422,0.05810,0.07479
1992,30-45 y.,No migration background,Seldom,0.30508,925,3422,0.28965,0.32051
1992,30-45 y.,No migration background,Never,0.55427,2075,3422,0.53761,0.57092
1992,30-45 y.,Direct migration background,At least once per week,0.09477,91,781,0.07422,0.11533
1992,30-45 y.,Direct migration background,At least once per month,0.13343,116,781,0.10957,0.15729
1992,30-45 y.,Direct migration background,Seldom,0.23684,204,781,0.20700,0.26668
1992,30-45 y.,Direct migration background,Never,0.51586,370,781,0.48079,0.55093
1992,46-65 y.,No migration background,At least once per week,0.13091,340,2993,0.11882,0.14299
1992,46-65 y.,No migration background,At least once per month,0.08252,237,2993,0.07266,0.09238
1992,46-65 y.,No migration background,Seldom,0.28621,798,2993,0.27002,0.30241
1992,46-65 y.,No migration background,Never,0.48571,1618,2993,0.46780,0.50362
1992,46-65 y.,Direct migration background,At least once per week,0.16432,201,982,0.14113,0.18751
1992,46-65 y.,Direct migration background,At least once per month,0.12362,137,982,0.10302,0.14422
1992,46-65 y.,Direct migration background,Seldom,0.22971,218,982,0.20339,0.25603
1992,46-65 y.,Direct migration background,Never,0.46429,426,982,0.43308,0.49550
1992,66 and older,No migration background,At least once per week,0.18037,224,1292,0.15939,0.20134
1992,66 and older,No migration background,At least once per month,0.12357,152,1292,0.10561,0.14152
1992,66 and older,No migration background,Seldom,0.23219,300,1292,0.20916,0.25523
1992,66 and older,No migration background,Never,0.44386,616,1292,0.41675,0.47096
1992,66 and older,Direct migration background,Never,0.46425,59,59,0.33590,0.59260
1994,17-29 y.,No migration background,At least once per week,0.05711,135,2369,0.04776,0.06645
1994,17-29 y.,No migration background,At least once per month,0.05232,138,2369,0.04335,0.06129
1994,17-29 y.,No migration background,Seldom,0.24486,553,2369,0.22754,0.26218
1994,17-29 y.,No migration background,Never,0.63864,1543,2369,0.61929,0.65799
1994,17-29 y.,Direct migration background,At least once per week,0.12115,76,516,0.09297,0.14933
1994,17-29 y.,Direct migration background,At least once per month,0.10057,67,516,0.07460,0.12655
1994,17-29 y.,Direct migration background,Seldom,0.26064,139,516,0.22273,0.29856
1994,17-29 y.,Direct migration background,Never,0.50503,234,516,0.46185,0.54821
1994,17-29 y.,Indirect migration background,At least once per week,0.06604,32,435,0.04267,0.08940
1994,17-29 y.,Indirect migration background,At least once per month,0.15163,58,435,0.11788,0.18537
1994,17-29 y.,Indirect migration background,Seldom,0.27233,134,435,0.23045,0.31422
1994,17-29 y.,Indirect migration background,Never,0.50390,211,435,0.45686,0.55094
1994,30-45 y.,No migration background,At least once per week,0.06946,219,3381,0.06089,0.07803
1994,30-45 y.,No migration background,At least once per month,0.07813,243,3381,0.06908,0.08718
1994,30-45 y.,No migration background,Seldom,0.30430,946,3381,0.28879,0.31981
1994,30-45 y.,No migration background,Never,0.54576,1973,3381,0.52897,0.56255
1994,30-45 y.,Direct migration background,At least once per week,0.12018,103,712,0.09627,0.14408
1994,30-45 y.,Direct migration background,At least once per month,0.15709,111,712,0.13034,0.18384
1994,30-45 y.,Direct migration background,Seldom,0.27205,214,712,0.23934,0.30476
1994,30-45 y.,Direct migration background,Never,0.45056,284,712,0.41399,0.48713
1994,46-65 y.,No migration background,At least once per week,0.11538,305,2905,0.10376,0.12700
1994,46-65 y.,No migration background,At least once per month,0.08434,226,2905,0.07423,0.09445
1994,46-65 y.,No migration background,Seldom,0.30669,832,2905,0.28992,0.32346
1994,46-65 y.,No migration background,Never,0.47846,1542,2905,0.46029,0.49662
1994,46-65 y.,Direct migration background,At least once per week,0.15338,182,948,0.13043,0.17633
1994,46-65 y.,Direct migration background,At least once per month,0.12879,153,948,0.10746,0.15013
1994,46-65 y.,Direct migration background,Seldom,0.26191,237,948,0.23390,0.28991
1994,46-65 y.,Direct migration background,Never,0.44495,376,948,0.41330,0.47660
1994,66 and older,No migration background,At least once per week,0.19889,237,1300,0.17719,0.22060
