year,age_gr,bula_h,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Schleswig-Holstein,Never,0.65393,51,51,0.52207,0.78579
1990,17-29 y.,Lower Saxony,Seldom,0.31246,86,249,0.25477,0.37014
1990,17-29 y.,Lower Saxony,Never,0.59999,163,249,0.53902,0.66097
1990,17-29 y.,North Rhine-Westphalia,At least once per week,0.09128,79,734,0.07043,0.11213
1990,17-29 y.,North Rhine-Westphalia,At least once per month,0.08104,66,734,0.06128,0.10080
1990,17-29 y.,North Rhine-Westphalia,Seldom,0.27718,203,734,0.24478,0.30958
1990,17-29 y.,North Rhine-Westphalia,Never,0.54781,386,734,0.51178,0.58384
1990,17-29 y.,Hesse,Seldom,0.37654,84,208,0.31054,0.44255
1990,17-29 y.,Hesse,Never,0.50368,124,208,0.43557,0.57180
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.37794,68,150,0.30008,0.45579
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.41870,82,150,0.33949,0.49792
1990,17-29 y.,Baden-Wuerttemberg,At least once per week,0.13809,82,535,0.10883,0.16735
1990,17-29 y.,Baden-Wuerttemberg,At least once per month,0.08807,56,535,0.06403,0.11210
1990,17-29 y.,Baden-Wuerttemberg,Seldom,0.37884,192,535,0.33769,0.41998
1990,17-29 y.,Baden-Wuerttemberg,Never,0.38579,205,535,0.34451,0.42708
1990,17-29 y.,Bavaria,At least once per week,0.13246,65,472,0.10184,0.16307
1990,17-29 y.,Bavaria,At least once per month,0.14978,75,472,0.11756,0.18201
1990,17-29 y.,Bavaria,Seldom,0.30944,149,472,0.26769,0.35119
1990,17-29 y.,Bavaria,Never,0.40379,183,472,0.35948,0.44810
1990,17-29 y.,Berlin,Never,0.79316,138,138,0.72533,0.86098
1990,17-29 y.,Brandenburg,Never,0.81466,144,144,0.75097,0.87835
1990,17-29 y.,Mecklenburg-Western Pomerania,Never,0.84085,125,125,0.77646,0.90524
1990,17-29 y.,Saxony,Seldom,0.16062,55,280,0.11754,0.20371
1990,17-29 y.,Saxony,Never,0.71036,225,280,0.65713,0.76358
1990,17-29 y.,Saxony-Anhalt,Never,0.80776,173,173,0.74886,0.86665
1990,17-29 y.,Thuringa,Seldom,0.15233,34,184,0.10027,0.20440
1990,17-29 y.,Thuringa,Never,0.74705,150,184,0.68406,0.81003
1990,30-45 y.,Schleswig-Holstein,Seldom,0.42342,34,74,0.31007,0.53676
1990,30-45 y.,Schleswig-Holstein,Never,0.54703,40,74,0.43283,0.66122
1990,30-45 y.,Hamburg,Never,0.70231,32,32,0.54135,0.86327
1990,30-45 y.,Lower Saxony,Seldom,0.38499,94,215,0.31980,0.45019
1990,30-45 y.,Lower Saxony,Never,0.50350,121,215,0.43651,0.57049
1990,30-45 y.,North Rhine-Westphalia,At least once per week,0.12120,110,821,0.09886,0.14354
1990,30-45 y.,North Rhine-Westphalia,At least once per month,0.09117,74,821,0.07147,0.11088
