year,age_gr,pgisced97,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Pre-primary Level,At least once per week,0.17811,34,169,0.12025,0.23596
1990,17-29 y.,Pre-primary Level,Seldom,0.36441,55,169,0.29163,0.43718
1990,17-29 y.,Pre-primary Level,Never,0.33298,80,169,0.26172,0.40425
1990,17-29 y.,Primary Level,Never,0.53450,61,61,0.40829,0.66072
1990,17-29 y.,Lower Secondary Level,At least once per week,0.08221,94,968,0.06490,0.09952
1990,17-29 y.,Lower Secondary Level,At least once per month,0.05639,68,968,0.04185,0.07093
1990,17-29 y.,Lower Secondary Level,Seldom,0.30250,275,968,0.27355,0.33146
1990,17-29 y.,Lower Secondary Level,Never,0.55417,531,968,0.52284,0.58550
1990,17-29 y.,Upper Secondary Level,At least once per week,0.07825,159,1953,0.06633,0.09016
1990,17-29 y.,Upper Secondary Level,At least once per month,0.06921,140,1953,0.05795,0.08047
1990,17-29 y.,Upper Secondary Level,Seldom,0.25897,472,1953,0.23953,0.27840
1990,17-29 y.,Upper Secondary Level,Never,0.58705,1182,1953,0.56521,0.60889
1990,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.27769,45,138,0.20269,0.35268
1990,17-29 y.,Post-secondary Non-tertiary Level,Never,0.58768,93,138,0.50525,0.67011
1990,17-29 y.,First Stage of Tertiary Education,Seldom,0.33204,37,83,0.23010,0.43397
1990,17-29 y.,First Stage of Tertiary Education,Never,0.45862,46,83,0.35077,0.56647
1990,17-29 y.,Second Stage of Tertiary Education,Seldom,0.27764,50,195,0.21462,0.34066
1990,17-29 y.,Second Stage of Tertiary Education,Never,0.55445,145,195,0.48451,0.62439
1990,30-45 y.,Primary Level,At least once per week,0.13116,32,177,0.08129,0.18103
1990,30-45 y.,Primary Level,Seldom,0.27807,47,177,0.21187,0.34426
1990,30-45 y.,Primary Level,Never,0.48688,98,177,0.41303,0.56072
1990,30-45 y.,Lower Secondary Level,At least once per week,0.08183,60,527,0.05841,0.10526
1990,30-45 y.,Lower Secondary Level,At least once per month,0.12728,66,527,0.09879,0.15576
1990,30-45 y.,Lower Secondary Level,Seldom,0.33999,159,527,0.29951,0.38048
1990,30-45 y.,Lower Secondary Level,Never,0.44343,242,527,0.40097,0.48588
1990,30-45 y.,Upper Secondary Level,At least once per week,0.08150,174,2263,0.07023,0.09278
1990,30-45 y.,Upper Secondary Level,At least once per month,0.08411,183,2263,0.07267,0.09555
1990,30-45 y.,Upper Secondary Level,Seldom,0.33793,695,2263,0.31844,0.35742
1990,30-45 y.,Upper Secondary Level,Never,0.49098,1211,2263,0.47038,0.51158
1990,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.25989,33,105,0.17560,0.34418
1990,30-45 y.,Post-secondary Non-tertiary Level,Never,0.57326,72,105,0.47820,0.66832
1990,30-45 y.,First Stage of Tertiary Education,Seldom,0.33243,93,248,0.27368,0.39118
1990,30-45 y.,First Stage of Tertiary Education,Never,0.48170,155,248,0.41939,0.54402
1990,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.09066,58,803,0.07078,0.11053
1990,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.06714,43,803,0.04982,0.08446
1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.26495,192,803,0.23441,0.29549
1990,30-45 y.,Second Stage of Tertiary Education,Never,0.56833,510,803,0.53405,0.60261
1990,46-65 y.,Primary Level,At least once per week,0.20584,74,296,0.15970,0.25197
1990,46-65 y.,Primary Level,At least once per month,0.11906,47,296,0.08210,0.15601
1990,46-65 y.,Primary Level,Seldom,0.21895,61,296,0.17176,0.26614
1990,46-65 y.,Primary Level,Never,0.43709,114,296,0.38048,0.49369
1990,46-65 y.,Lower Secondary Level,At least once per week,0.19202,181,949,0.16695,0.21710
1990,46-65 y.,Lower Secondary Level,At least once per month,0.15441,149,949,0.13141,0.17741
1990,46-65 y.,Lower Secondary Level,Seldom,0.28624,250,949,0.25746,0.31501
1990,46-65 y.,Lower Secondary Level,Never,0.36351,369,949,0.33289,0.39413
1990,46-65 y.,Upper Secondary Level,At least once per week,0.12922,256,2093,0.11484,0.14359
1990,46-65 y.,Upper Secondary Level,At least once per month,0.10246,201,2093,0.08946,0.11545
1990,46-65 y.,Upper Secondary Level,Seldom,0.30191,576,2093,0.28224,0.32158
1990,46-65 y.,Upper Secondary Level,Never,0.45836,1060,2093,0.43700,0.47971
1990,46-65 y.,First Stage of Tertiary Education,At least once per week,0.19274,40,244,0.14315,0.24234
1990,46-65 y.,First Stage of Tertiary Education,Seldom,0.31615,84,244,0.25769,0.37462
1990,46-65 y.,First Stage of Tertiary Education,Never,0.41599,120,244,0.35402,0.47796
1990,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.13004,53,529,0.10135,0.15873
1990,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.09720,44,529,0.07193,0.12246
1990,46-65 y.,Second Stage of Tertiary Education,Seldom,0.26928,127,529,0.23144,0.30712
1990,46-65 y.,Second Stage of Tertiary Education,Never,0.48608,305,529,0.44345,0.52871
1990,66 and older,Lower Secondary Level,At least once per week,0.27239,131,506,0.23357,0.31122
1990,66 and older,Lower Secondary Level,At least once per month,0.15007,69,506,0.11892,0.18122
1990,66 and older,Lower Secondary Level,Seldom,0.18840,104,506,0.15429,0.22250
1990,66 and older,Lower Secondary Level,Never,0.37732,202,506,0.33504,0.41959
1990,66 and older,Upper Secondary Level,At least once per week,0.16885,108,682,0.14071,0.19698
1990,66 and older,Upper Secondary Level,At least once per month,0.16188,103,682,0.13422,0.18955
1990,66 and older,Upper Secondary Level,Seldom,0.22291,154,682,0.19165,0.25417
1990,66 and older,Upper Secondary Level,Never,0.43297,317,682,0.39576,0.47019
1990,66 and older,First Stage of Tertiary Education,Never,0.49366,48,48,0.35073,0.63660
1990,66 and older,Second Stage of Tertiary Education,Never,0.37186,47,47,0.23219,0.51152
1992,17-29 y.,Pre-primary Level,Seldom,0.31242,45,145,0.23672,0.38812
1992,17-29 y.,Pre-primary Level,Never,0.47403,100,145,0.39248,0.55559
1992,17-29 y.,Primary Level,Never,0.61956,79,79,0.51181,0.72730
1992,17-29 y.,Lower Secondary Level,At least once per week,0.08784,87,925,0.06959,0.10609
