year,migback,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,At least once per week,0.10439,1137,10797,0.09863,0.11016
1990,No migration background,At least once per month,0.08388,946,10797,0.07865,0.08910
1990,No migration background,Seldom,0.23864,2882,10797,0.23060,0.24668
1990,No migration background,Never,0.40180,5832,10797,0.39256,0.41105
1990,Direct migration background,At least once per week,0.14743,449,2631,0.13388,0.16098
1990,Direct migration background,At least once per month,0.10865,343,2631,0.09676,0.12054
1990,Direct migration background,Seldom,0.25158,680,2631,0.23500,0.26816
1990,Direct migration background,Never,0.43206,1159,2631,0.41313,0.45099
1990,Indirect migration background,At least once per week,0.02337,31,292,0.00601,0.04072
1990,Indirect migration background,At least once per month,0.02000,31,292,0.00392,0.03609
1990,Indirect migration background,Seldom,0.06162,100,292,0.03399,0.08925
1990,Indirect migration background,Never,0.08360,130,292,0.05180,0.11540
1992,No migration background,At least once per week,0.09032,947,10268,0.08477,0.09586
1992,No migration background,At least once per month,0.06633,733,10268,0.06151,0.07114
1992,No migration background,Seldom,0.23202,2672,10268,0.22386,0.24019
1992,No migration background,Never,0.43672,5916,10268,0.42713,0.44631
1992,Direct migration background,At least once per week,0.14060,408,2522,0.12703,0.15417
1992,Direct migration background,At least once per month,0.12143,352,2522,0.10868,0.13418
1992,Direct migration background,Seldom,0.21887,576,2522,0.20273,0.23502
1992,Direct migration background,Never,0.48157,1186,2522,0.46207,0.50108
1992,Indirect migration background,At least once per week,0.01870,31,401,0.00543,0.03198
1992,Indirect migration background,At least once per month,0.02680,47,401,0.01097,0.04262
1992,Indirect migration background,Seldom,0.07374,125,401,0.04813,0.09936
1992,Indirect migration background,Never,0.13053,198,401,0.09751,0.16354
1994,No migration background,At least once per week,0.08846,896,9955,0.08288,0.09404
1994,No migration background,At least once per month,0.06802,754,9955,0.06307,0.07297
1994,No migration background,Seldom,0.23298,2642,9955,0.22468,0.24129
1994,No migration background,Never,0.43324,5663,9955,0.42351,0.44298
1994,Direct migration background,At least once per week,0.14634,406,2347,0.13204,0.16064
1994,Direct migration background,At least once per month,0.13379,358,2347,0.12001,0.14756
1994,Direct migration background,Seldom,0.25319,626,2347,0.23559,0.27078
1994,Direct migration background,Never,0.44823,957,2347,0.42810,0.46835
1994,Indirect migration background,At least once per week,0.02217,35,486,0.00907,0.03527
1994,Indirect migration background,At least once per month,0.04350,61,486,0.02535,0.06166
1994,Indirect migration background,Seldom,0.09096,153,486,0.06536,0.11655
1994,Indirect migration background,Never,0.16633,237,486,0.13319,0.19948
1995,No migration background,At least once per week,0.09116,921,9929,0.08550,0.09682
1995,No migration background,At least once per month,0.07355,787,9929,0.06841,0.07868
1995,No migration background,Seldom,0.22900,2601,9929,0.22073,0.23726
1995,No migration background,Never,0.43109,5620,9929,0.42135,0.44083
1995,Direct migration background,At least once per week,0.16284,553,2760,0.14906,0.17662
1995,Direct migration background,At least once per month,0.12199,423,2760,0.10978,0.13420
1995,Direct migration background,Seldom,0.21435,675,2760,0.19903,0.22966
1995,Direct migration background,Never,0.43166,1109,2760,0.41318,0.45015
1995,Indirect migration background,At least once per week,0.02221,44,502,0.00931,0.03512
1995,Indirect migration background,At least once per month,0.03023,52,502,0.01524,0.04522
1995,Indirect migration background,Seldom,0.08198,147,502,0.05795,0.10600
1995,Indirect migration background,Never,0.18464,259,502,0.15066,0.21862
1996,No migration background,At least once per week,0.08488,829,9873,0.07938,0.09037
1996,No migration background,At least once per month,0.07235,774,9873,0.06724,0.07746
1996,No migration background,Seldom,0.24879,2734,9873,0.24026,0.25732
1996,No migration background,Never,0.42298,5536,9873,0.41324,0.43273
1996,Direct migration background,At least once per week,0.15019,459,2587,0.13642,0.16396
1996,Direct migration background,At least once per month,0.10961,374,2587,0.09757,0.12165
1996,Direct migration background,Seldom,0.24855,702,2587,0.23189,0.26521
1996,Direct migration background,Never,0.42893,1052,2587,0.40985,0.44800
1996,Indirect migration background,At least once per week,0.01735,33,540,0.00632,0.02837
1996,Indirect migration background,At least once per month,0.02703,50,540,0.01334,0.04072
1996,Indirect migration background,Seldom,0.11628,174,540,0.08922,0.14334
1996,Indirect migration background,Never,0.16390,283,540,0.13265,0.19516
1997,No migration background,At least once per week,0.08524,815,9730,0.07969,0.09079
1997,No migration background,At least once per month,0.06976,762,9730,0.06470,0.07482
1997,No migration background,Seldom,0.24689,2727,9730,0.23832,0.25546
1997,No migration background,Never,0.42460,5426,9730,0.41478,0.43442
1997,Direct migration background,At least once per week,0.14738,439,2457,0.13336,0.16140
1997,Direct migration background,At least once per month,0.10508,326,2457,0.09295,0.11721
1997,Direct migration background,Seldom,0.26585,720,2457,0.24837,0.28332
1997,Direct migration background,Never,0.42070,972,2457,0.40117,0.44022
1997,Indirect migration background,At least once per week,0.02463,41,565,0.01184,0.03742
1997,Indirect migration background,At least once per month,0.01824,38,565,0.00720,0.02929
1997,Indirect migration background,Seldom,0.11730,190,565,0.09074,0.14386
1997,Indirect migration background,Never,0.20285,296,565,0.16966,0.23604
1998,No migration background,At least once per week,0.08192,943,11166,0.07683,0.08701
1998,No migration background,At least once per month,0.07712,954,11166,0.07217,0.08207
1998,No migration background,Seldom,0.25039,3232,11166,0.24235,0.25843
1998,No migration background,Never,0.42214,6037,11166,0.41298,0.43130
1998,Direct migration background,At least once per week,0.16938,452,2384,0.15432,0.18444
1998,Direct migration background,At least once per month,0.12765,325,2384,0.11425,0.14105
1998,Direct migration background,Seldom,0.26074,693,2384,0.24312,0.27837
1998,Direct migration background,Never,0.37931,914,2384,0.35982,0.39879
