"ple0098_v5","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","Staedtischer Raum","16","","",""
"Ja","1999","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Ja","1999","Hauptschule","Staedtischer Raum","223","","",""
"Ja","1999","Hauptschule","Laendlicher Raum","84","0.0469229258966432","0.037572672781698","0.0562731790115883"
"Ja","1999","Realschule","Staedtischer Raum","201","","",""
"Ja","1999","Realschule","Laendlicher Raum","104","","",""
"Ja","1999","(Fach-)Abitur","Staedtischer Raum","71","0.135388248132993","0.11053498300365","0.160241513262335"
"Ja","1999","(Fach-)Abitur","Laendlicher Raum","28","","",""
"Ja","1999","AkademikerIn","Staedtischer Raum","133","","",""
"Ja","1999","AkademikerIn","Laendlicher Raum","39","0.0811891240899568","0.0591877791853172","0.103190468994596"
"Nein","1999","(noch) kein Abschluss","Staedtischer Raum","544","0.956469576358858","0.93956959970712","0.973369553010595"
"Nein","1999","(noch) kein Abschluss","Laendlicher Raum","157","","",""
"Nein","1999","Hauptschule","Staedtischer Raum","3494","0.930993436415561","0.922845074308961","0.939141798522162"
"Nein","1999","Hauptschule","Laendlicher Raum","1881","","",""
"Nein","1999","Realschule","Staedtischer Raum","1480","","",""
"Nein","1999","Realschule","Laendlicher Raum","1276","","",""
"Nein","1999","(Fach-)Abitur","Staedtischer Raum","657","0.864611751867007","0.839758486737665","0.88946501699635"
"Nein","1999","(Fach-)Abitur","Laendlicher Raum","199","","",""
"Nein","1999","AkademikerIn","Staedtischer Raum","789","0.816309368410265","0.791314346340232","0.841304390480299"
"Nein","1999","AkademikerIn","Laendlicher Raum","553","0.918810875910043","0.896809531005404","0.940812220814683"
"Ja","2000","(noch) kein Abschluss","Staedtischer Raum","28","","",""
"Ja","2000","(noch) kein Abschluss","Laendlicher Raum","8","0.0299035894972401","0.00798698812759688","0.0518201908668832"
"Ja","2000","Hauptschule","Staedtischer Raum","420","0.0680553257395138","0.0619456605907028","0.0741649908883249"
"Ja","2000","Hauptschule","Laendlicher Raum","152","","",""
"Ja","2000","Realschule","Staedtischer Raum","431","0.145261542844529","0.13303959066009","0.157483495028968"
"Ja","2000","Realschule","Laendlicher Raum","175","","",""
"Ja","2000","(Fach-)Abitur","Staedtischer Raum","181","","",""
"Ja","2000","(Fach-)Abitur","Laendlicher Raum","50","0.118310343102749","0.0897134217502765","0.146907264455222"
"Ja","2000","AkademikerIn","Staedtischer Raum","344","0.20734767119519","0.188732593395059","0.225962748995321"
"Ja","2000","AkademikerIn","Laendlicher Raum","78","0.0978179238818038","0.0786842258573777","0.11695162190623"
"Nein","2000","(noch) kein Abschluss","Staedtischer Raum","562","0.945279406081931","0.926927651844493","0.963631160319369"
"Nein","2000","(noch) kein Abschluss","Laendlicher Raum","224","","",""
"Nein","2000","Hauptschule","Staedtischer Raum","6107","0.931944674260486","0.925835009111675","0.938054339409297"
"Nein","2000","Hauptschule","Laendlicher Raum","3403","0.953630465372168","0.946717972196241","0.960542958548095"
"Nein","2000","Realschule","Staedtischer Raum","2762","","",""
"Nein","2000","Realschule","Laendlicher Raum","2265","","",""
"Nein","2000","(Fach-)Abitur","Staedtischer Raum","1339","","",""
