"ple0098_v5","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","Westdeutschland","19","","",""
"Ja","1999","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Ja","1999","Hauptschule","Westdeutschland","285","","",""
"Ja","1999","Hauptschule","Ostdeutschland","22","","",""
"Ja","1999","Realschule","Westdeutschland","242","","",""
"Ja","1999","Realschule","Ostdeutschland","63","0.0580353040701394","0.0454506936951805","0.0706199144450984"
"Ja","1999","(Fach-)Abitur","Westdeutschland","87","0.139116929011545","0.114923418321259","0.163310439701831"
"Ja","1999","(Fach-)Abitur","Ostdeutschland","12","","",""
"Ja","1999","AkademikerIn","Westdeutschland","129","","",""
"Ja","1999","AkademikerIn","Ostdeutschland","43","0.0529469240402621","0.0372321436392658","0.0686617044412584"
"Nein","1999","(noch) kein Abschluss","Westdeutschland","596","0.953050154381513","0.936332109168315","0.969768199594712"
"Nein","1999","(noch) kein Abschluss","Ostdeutschland","105","","",""
"Nein","1999","Hauptschule","Westdeutschland","4252","0.930669603096039","0.923278260897396","0.938060945294682"
"Nein","1999","Hauptschule","Ostdeutschland","1123","","",""
"Nein","1999","Realschule","Westdeutschland","1493","","",""
"Nein","1999","Realschule","Ostdeutschland","1263","","",""
"Nein","1999","(Fach-)Abitur","Westdeutschland","699","0.860883070988455","0.836689560298169","0.885076581678741"
"Nein","1999","(Fach-)Abitur","Ostdeutschland","157","","",""
"Nein","1999","AkademikerIn","Westdeutschland","605","0.791904603764698","0.762537052801675","0.821272154727722"
"Nein","1999","AkademikerIn","Ostdeutschland","737","0.947053075959738","0.931338295558742","0.962767856360734"
"Ja","2000","(noch) kein Abschluss","Westdeutschland","29","","",""
"Ja","2000","(noch) kein Abschluss","Ostdeutschland","7","0.0407874371699594","0.0093427748692371","0.0722320994706818"
"Ja","2000","Hauptschule","Westdeutschland","546","0.068699273673655","0.0632664594777929","0.0741320878695171"
"Ja","2000","Hauptschule","Ostdeutschland","26","","",""
"Ja","2000","Realschule","Westdeutschland","506","0.15090327690308","0.139047829778623","0.162758724027537"
"Ja","2000","Realschule","Ostdeutschland","100","","",""
"Ja","2000","(Fach-)Abitur","Westdeutschland","213","","",""
"Ja","2000","(Fach-)Abitur","Ostdeutschland","18","","",""
"Ja","2000","AkademikerIn","Westdeutschland","356","0.233929438370856","0.213244849420889","0.254614027320822"
"Ja","2000","AkademikerIn","Ostdeutschland","66","0.0551854981726158","0.0419246290765647","0.0684463672686669"
"Nein","2000","(noch) kein Abschluss","Westdeutschland","641","0.950680740891643","0.934284801299322","0.967076680483964"
"Nein","2000","(noch) kein Abschluss","Ostdeutschland","145","","",""
"Nein","2000","Hauptschule","Westdeutschland","7781","0.931300726326345","0.925867912130483","0.936733540522207"
"Nein","2000","Hauptschule","Ostdeutschland","1729","","",""
"Nein","2000","Realschule","Westdeutschland","2996","","",""
"Nein","2000","Realschule","Ostdeutschland","2031","","",""
"Nein","2000","(Fach-)Abitur","Westdeutschland","1474","","",""
"Nein","2000","(Fach-)Abitur","Ostdeutschland","305","0.936876167790639","0.910355490926349","0.963396844654929"
"Nein","2000","AkademikerIn","Westdeutschland","1253","","",""
"Nein","2000","AkademikerIn","Ostdeutschland","1073","","",""
"Ja","2001","(noch) kein Abschluss","Westdeutschland","25","","",""
"Ja","2001","(noch) kein Abschluss","Ostdeutschland","11","","",""
"Ja","2001","Hauptschule","Westdeutschland","502","0.0720839223052363","0.0661490825433401","0.0780187620671325"
"Ja","2001","Hauptschule","Ostdeutschland","26","","",""
