year,bula_h,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,West,No,0.64733,257,257,0.58880,0.70586
1999,Hamburg,West,No,0.72851,118,118,0.64793,0.80910
1999,Lower Saxony,West,Yes,0.07670,93,1027,0.06041,0.09298
1999,Lower Saxony,West,No,0.63760,934,1027,0.60819,0.66702
1999,Bremen,West,No,0.81794,78,78,0.73174,0.90413
1999,North Rhine-Westphalia,West,Yes,0.09496,256,2360,0.08313,0.10679
1999,North Rhine-Westphalia,West,No,0.62070,2104,2360,0.60112,0.64028
1999,Hesse,West,Yes,0.06708,58,789,0.04961,0.08454
1999,Hesse,West,No,0.64128,731,789,0.60779,0.67477
1999,"Rhineland-Palatinate, Saarland",West,Yes,0.03537,34,678,0.02145,0.04928
1999,"Rhineland-Palatinate, Saarland",West,No,0.67432,644,678,0.63902,0.70963
1999,Baden-Wuerttemberg,West,Yes,0.06789,116,1552,0.05537,0.08041
1999,Baden-Wuerttemberg,West,No,0.64944,1436,1552,0.62570,0.67319
1999,Bavaria,West,Yes,0.09311,187,1563,0.07870,0.10752
1999,Bavaria,West,No,0.60603,1376,1563,0.58180,0.63027
1999,Berlin,West,No,0.64133,228,228,0.57894,0.70372
1999,Berlin,East,No,0.76286,197,197,0.70331,0.82241
1999,Brandenburg,East,No,0.75971,545,545,0.72381,0.79561
1999,Mecklenburg-Western Pomerania,East,No,0.74496,354,354,0.69949,0.79044
1999,Saxony,East,Yes,0.04374,60,1098,0.03164,0.05584
1999,Saxony,East,No,0.76466,1038,1098,0.73955,0.78976
1999,Saxony-Anhalt,East,Yes,0.04366,31,665,0.02812,0.05921
1999,Saxony-Anhalt,East,No,0.80637,634,665,0.77632,0.83643
1999,Thuringa,East,No,0.76913,669,669,0.73718,0.80109
2000,Schleswig-Holstein,West,Yes,0.05415,47,584,0.03578,0.07252
2000,Schleswig-Holstein,West,No,0.64185,537,584,0.60293,0.68077
2000,Hamburg,West,No,0.69890,237,237,0.64037,0.75742
2000,Lower Saxony,West,Yes,0.07020,165,1794,0.05838,0.08203
2000,Lower Saxony,West,No,0.64822,1629,1794,0.62611,0.67032
2000,Bremen,West,No,0.74993,165,165,0.68365,0.81621
2000,North Rhine-Westphalia,West,Yes,0.09923,585,4472,0.09047,0.10799
2000,North Rhine-Westphalia,West,No,0.62485,3887,4472,0.61066,0.63904
2000,Hesse,West,Yes,0.06573,121,1467,0.05304,0.07842
2000,Hesse,West,No,0.64909,1346,1467,0.62466,0.67352
2000,"Rhineland-Palatinate, Saarland",West,Yes,0.04851,81,1277,0.03673,0.06030
2000,"Rhineland-Palatinate, Saarland",West,No,0.65794,1196,1277,0.63191,0.68397
2000,Baden-Wuerttemberg,West,Yes,0.08113,264,2584,0.07060,0.09166
2000,Baden-Wuerttemberg,West,No,0.61523,2320,2584,0.59647,0.63400
2000,Bavaria,West,Yes,0.08335,333,2865,0.07322,0.09347
2000,Bavaria,West,No,0.61788,2532,2865,0.60008,0.63568
2000,Berlin,West,No,0.63596,336,336,0.58444,0.68749
2000,Berlin,East,No,0.70656,322,322,0.65675,0.75637
2000,Brandenburg,East,Yes,0.03215,44,962,0.02100,0.04331
2000,Brandenburg,East,No,0.78229,918,962,0.75620,0.80838
2000,Mecklenburg-Western Pomerania,East,No,0.76430,510,510,0.72743,0.80118
2000,Saxony,East,Yes,0.03539,66,1660,0.02650,0.04429
2000,Saxony,East,No,0.75088,1594,1660,0.73006,0.77169
2000,Saxony-Anhalt,East,No,0.81307,985,985,0.78871,0.83743
2000,Thuringa,East,Yes,0.03634,44,998,0.02472,0.04795
2000,Thuringa,East,No,0.77013,954,998,0.74401,0.79625
2001,Schleswig-Holstein,West,Yes,0.06327,46,547,0.04285,0.08369
2001,Schleswig-Holstein,West,No,0.64326,501,547,0.60307,0.68344
2001,Hamburg,West,No,0.68191,207,207,0.61831,0.74551
2001,Lower Saxony,West,Yes,0.07252,153,1635,0.05995,0.08510
2001,Lower Saxony,West,No,0.65289,1482,1635,0.62980,0.67597
2001,Bremen,West,No,0.74329,135,135,0.66933,0.81725
2001,North Rhine-Westphalia,West,Yes,0.09607,505,4013,0.08695,0.10519
2001,North Rhine-Westphalia,West,No,0.62105,3508,4013,0.60603,0.63606
2001,Hesse,West,Yes,0.06034,105,1284,0.04731,0.07337
2001,Hesse,West,No,0.64108,1179,1284,0.61483,0.66732
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.04657,75,1168,0.03448,0.05866
2001,"Rhineland-Palatinate, Saarland",West,No,0.64622,1093,1168,0.61879,0.67365
2001,Baden-Wuerttemberg,West,Yes,0.09486,262,2278,0.08282,0.10689
2001,Baden-Wuerttemberg,West,No,0.59963,2016,2278,0.57951,0.61976
2001,Bavaria,West,Yes,0.08339,292,2613,0.07279,0.09399
2001,Bavaria,West,No,0.62951,2321,2613,0.61099,0.64803
2001,Berlin,West,Yes,0.05130,31,359,0.02845,0.07415
2001,Berlin,West,No,0.62031,328,359,0.57003,0.67058
2001,Berlin,East,No,0.70176,305,305,0.65033,0.75319
2001,Brandenburg,East,Yes,0.03945,43,903,0.02674,0.05215
2001,Brandenburg,East,No,0.77584,860,903,0.74862,0.80305
2001,Mecklenburg-Western Pomerania,East,No,0.76547,459,459,0.72666,0.80427
2001,Saxony,East,Yes,0.03576,74,1539,0.02648,0.04504
2001,Saxony,East,No,0.75976,1465,1539,0.73840,0.78111
2001,Saxony-Anhalt,East,Yes,0.03095,36,960,0.01999,0.04191
2001,Saxony-Anhalt,East,No,0.81289,924,960,0.78821,0.83758
