"ple0098_v5","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja","1999","(noch) kein Abschluss","Hamburg","","","",""
"Ja","1999","(noch) kein Abschluss","Niedersachsen","3","","",""
"Ja","1999","(noch) kein Abschluss","Bremen","1","","",""
"Ja","1999","(noch) kein Abschluss","Nordrhein-Westfalen","8","0.0548698996420268","0.0222306498468098","0.0875091494372438"
"Ja","1999","(noch) kein Abschluss","Hessen","1","","",""
"Ja","1999","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja","1999","(noch) kein Abschluss","Baden-Wuerttemberg","1","","",""
"Ja","1999","(noch) kein Abschluss","Bayern","4","0.0897256041914885","0.0212942634602401","0.158156944922737"
"Ja","1999","(noch) kein Abschluss","Saarland","","","",""
"Ja","1999","(noch) kein Abschluss","Berlin","2","","",""
"Ja","1999","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","1999","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Ja","1999","(noch) kein Abschluss","Sachsen","3","","",""
"Ja","1999","(noch) kein Abschluss","Sachsen-Anhalt","4","0.168926983596303","0.0123579557197195","0.325496011472887"
"Ja","1999","(noch) kein Abschluss","Thueringen","","","",""
"Ja","1999","Hauptschule","Schleswig-Holstein","4","0.023453063601192","-0.0024623888091627","0.0493685160115467"
"Ja","1999","Hauptschule","Hamburg","2","","",""
"Ja","1999","Hauptschule","Niedersachsen","28","","",""
"Ja","1999","Hauptschule","Bremen","2","","",""
"Ja","1999","Hauptschule","Nordrhein-Westfalen","90","0.0844142606870214","0.0685318186132882","0.100296702760755"
"Ja","1999","Hauptschule","Hessen","15","","",""
"Ja","1999","Hauptschule","Rheinland-Pfalz,Saarland","16","","",""
"Ja","1999","Hauptschule","Baden-Wuerttemberg","50","0.0655746393994725","0.0490306924293559","0.0821185863695891"
"Ja","1999","Hauptschule","Bayern","75","0.0962502128121312","0.0766069286956111","0.115893496928651"
"Ja","1999","Hauptschule","Saarland","","","",""
"Ja","1999","Hauptschule","Berlin","4","0.024097625649231","-0.00380913390139479","0.0520043851998569"
"Ja","1999","Hauptschule","Brandenburg","4","0.0173300509010268","-0.00205992295939851","0.0367200247614521"
"Ja","1999","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Ja","1999","Hauptschule","Sachsen","7","0.0129993072955874","0.00113252697440877","0.0248660876167661"
"Ja","1999","Hauptschule","Sachsen-Anhalt","6","0.0436024917313439","0.01760396189513","0.0696010215675579"
"Ja","1999","Hauptschule","Thueringen","4","0.0137838921292339","-0.000668843724429814","0.0282366279828977"
"Ja","1999","Realschule","Schleswig-Holstein","3","","",""
"Ja","1999","Realschule","Hamburg","5","0.179136551916804","0.0317394376302843","0.326533666203323"
"Ja","1999","Realschule","Niedersachsen","34","0.122856389703836","0.0841981181051773","0.161514661302495"
"Ja","1999","Realschule","Bremen","2","","",""
"Ja","1999","Realschule","Nordrhein-Westfalen","65","0.175642273861795","0.140087809969946","0.211196737753644"
"Ja","1999","Realschule","Hessen","17","","",""
"Ja","1999","Realschule","Rheinland-Pfalz,Saarland","14","","",""
"Ja","1999","Realschule","Baden-Wuerttemberg","38","0.151499198565749","0.107232297826006","0.195766099305492"
"Ja","1999","Realschule","Bayern","60","0.207936190334461","0.163609502452005","0.252262878216916"
"Ja","1999","Realschule","Saarland","","","",""
"Ja","1999","Realschule","Berlin","5","0.0339405408815072","0.00293254117077212","0.0649485405922423"
"Ja","1999","Realschule","Brandenburg","9","0.064704825696288","0.0312730760334295","0.0981365753591465"
"Ja","1999","Realschule","Mecklenburg-Vorpommern","8","0.0692956592826805","0.028101983327132","0.110489335238229"
"Ja","1999","Realschule","Sachsen","26","","",""
"Ja","1999","Realschule","Sachsen-Anhalt","10","","",""
"Ja","1999","Realschule","Thueringen","9","0.0315009898127896","0.0102698599004814","0.0527321197250977"
"Ja","1999","(Fach-)Abitur","Schleswig-Holstein","2","","",""
"Ja","1999","(Fach-)Abitur","Hamburg","","","",""
"Ja","1999","(Fach-)Abitur","Niedersachsen","11","","",""
"Ja","1999","(Fach-)Abitur","Bremen","","","",""
"Ja","1999","(Fach-)Abitur","Nordrhein-Westfalen","33","0.163636994382882","0.118407713409135","0.208866275356628"
"Ja","1999","(Fach-)Abitur","Hessen","9","0.208280468905963","0.111763519358111","0.304797418453815"
"Ja","1999","(Fach-)Abitur","Rheinland-Pfalz,Saarland","2","","",""
"Ja","1999","(Fach-)Abitur","Baden-Wuerttemberg","10","","",""
"Ja","1999","(Fach-)Abitur","Bayern","19","","",""
"Ja","1999","(Fach-)Abitur","Saarland","","","",""
"Ja","1999","(Fach-)Abitur","Berlin","1","","",""
"Ja","1999","(Fach-)Abitur","Brandenburg","4","0.261138549372233","0.0816233727227065","0.44065372602176"
"Ja","1999","(Fach-)Abitur","Mecklenburg-Vorpommern","2","","",""
"Ja","1999","(Fach-)Abitur","Sachsen","4","0.0460773784471385","-0.00834921066928038","0.100503967563557"
"Ja","1999","(Fach-)Abitur","Sachsen-Anhalt","1","","",""
"Ja","1999","(Fach-)Abitur","Thueringen","1","","",""
"Ja","1999","AkademikerIn","Schleswig-Holstein","5","0.227174072086276","0.0435399781010068","0.410808166071545"
"Ja","1999","AkademikerIn","Hamburg","1","","",""
"Ja","1999","AkademikerIn","Niedersachsen","14","","",""
"Ja","1999","AkademikerIn","Bremen","","","",""
"Ja","1999","AkademikerIn","Nordrhein-Westfalen","52","0.320040165120524","0.258257035115961","0.381823295125087"
"Ja","1999","AkademikerIn","Hessen","15","","",""
"Ja","1999","AkademikerIn","Rheinland-Pfalz,Saarland","1","","",""
"Ja","1999","AkademikerIn","Baden-Wuerttemberg","13","","",""
"Ja","1999","AkademikerIn","Bayern","21","","",""
"Ja","1999","AkademikerIn","Saarland","","","",""
"Ja","1999","AkademikerIn","Berlin","12","","",""
"Ja","1999","AkademikerIn","Brandenburg","7","0.0527725977822231","0.0151966451184194","0.0903485504460269"
"Ja","1999","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Ja","1999","AkademikerIn","Sachsen","18","","",""
"Ja","1999","AkademikerIn","Sachsen-Anhalt","9","0.0501448471497049","0.0135997050507708","0.086689989248639"
"Ja","1999","AkademikerIn","Thueringen","4","0.0375489702729946","0.00353590249163981","0.0715620380543495"
"Nein","1999","(noch) kein Abschluss","Schleswig-Holstein","13","","",""
"Nein","1999","(noch) kein Abschluss","Hamburg","8","1","1","1"
"Nein","1999","(noch) kein Abschluss","Niedersachsen","56","0.909739125381753","0.836620117436968","0.982858133326539"
"Nein","1999","(noch) kein Abschluss","Bremen","4","0.792416350112595","0.436918994409239","1.14791370581595"
"Nein","1999","(noch) kein Abschluss","Nordrhein-Westfalen","179","","",""
"Nein","1999","(noch) kein Abschluss","Hessen","69","0.978912209667301","0.94525435110031","1.01257006823429"
"Nein","1999","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","36","1","1","1"
"Nein","1999","(noch) kein Abschluss","Baden-Wuerttemberg","157","","",""
"Nein","1999","(noch) kein Abschluss","Bayern","63","0.910274395808512","0.841843055077263","0.97870573653976"
