year,age_gr,sex,ple0098_v5,proportion,n,lower_confidence,upper_confidence
1999,30-45 J.,weiblich,Nein,0.16474968969797268,17396,0.15923714660693655,0.17026223278900882
1999,30-45 J.,maennlich,Nein,0.14944145635084816,17396,0.14414337011262274,0.15473954258907358
1999,46-65 J.,weiblich,Nein,0.14729002896152255,17396,0.14202356985447706,0.15255648806856803
1999,46-65 J.,maennlich,Nein,0.13810508895324783,17396,0.1329780883201569,0.14323208958633876
1999,18-29 J.,weiblich,Nein,0.10086884567645842,17396,0.09639355323103303,0.1053441381218838
1999,18-29 J.,maennlich,Nein,0.09408357467935458,17396,0.08974514718405417,0.09842200217465498
1999,66 und älter,weiblich,Nein,0.07587918907736864,17396,0.07194407716835896,0.07981430098637832
1999,66 und älter,maennlich,Nein,0.052461729416632186,17396,0.04914850347281114,0.05577495536045323
1999,30-45 J.,weiblich,Ja,0.01696317749275962,17396,0.015044200057706248,0.018882154927812995
1999,30-45 J.,maennlich,Ja,0.01423251965246173,17396,0.012472329806010525,0.015992709498912933
1999,46-65 J.,weiblich,Ja,0.012660322714108399,17396,0.010998873560332436,0.014321771867884362
1999,46-65 J.,maennlich,Ja,0.010095159288374017,17396,0.008609618147238684,0.01158070042950935
1999,18-29 J.,weiblich,Ja,0.008357467935457179,17396,0.007004628345287189,0.009710307525627168
1999,18-29 J.,maennlich,Ja,0.006123293338849814,17396,0.004964008488583705,0.007282578189115922
1999,66 und älter,weiblich,Ja,0.0048820852296235,17396,0.0038462961624625845,0.0059178742967844165
1999,66 und älter,maennlich,Ja,0.003806371534960695,17396,0.0028912920055177422,0.004721451064403647
2000,30-45 J.,weiblich,Nein,0.16443576430238652,30607,0.16028303376387107,0.16858849484090196
2000,46-65 J.,weiblich,Nein,0.15005001667222406,30607,0.14604909178150757,0.15405094156294055
2000,30-45 J.,maennlich,Nein,0.14385747630162435,30607,0.13992573492937868,0.14778921767387002
2000,46-65 J.,maennlich,Nein,0.13842709474586767,30607,0.13455806331254816,0.1422961261791872
2000,18-29 J.,weiblich,Nein,0.08802934311437145,30607,0.08485502934770076,0.09120365688104215
2000,66 und älter,weiblich,Nein,0.08545705711427619,30607,0.08232505744536142,0.08858905678319096
2000,18-29 J.,maennlich,Nein,0.08074119944743485,30607,0.07768900508310812,0.08379339381176158
2000,66 und älter,maennlich,Nein,0.06078216548373267,30607,0.058105359223946385,0.06345897174351896
2000,46-65 J.,weiblich,Ja,0.0179583670747392,30607,0.016470568762557154,0.019446165386921246
2000,30-45 J.,weiblich,Ja,0.017815462296956127,30607,0.01633348761497022,0.019297436978942033
2000,30-45 J.,maennlich,Ja,0.015147906445005478,30607,0.013779523971825225,0.016516288918185733
2000,46-65 J.,maennlich,Ja,0.013718858667174772,30607,0.01241567674999484,0.015022040584354706
2000,18-29 J.,weiblich,Ja,0.007431048444719668,30607,0.00646888006827675,0.008393216821162586
2000,66 und älter,weiblich,Ja,0.005811460963178202,30607,0.004959886306356688,0.006663035619999717
2000,18-29 J.,maennlich,Ja,0.005525651407612061,30607,0.004695161758331441,0.006356141056892681
2000,66 und älter,maennlich,Ja,0.004811127518696708,30607,0.0040359130331354695,0.005586342004257947
2001,30-45 J.,weiblich,Nein,0.16187784581566966,27798,0.15754775839422117,0.16620793323711816
2001,46-65 J.,weiblich,Nein,0.15198618307426598,27798,0.14776579084747687,0.15620657530105508
2001,46-65 J.,maennlich,Nein,0.14026273093630606,27798,0.13618044596602905,0.14434501590658308
2001,30-45 J.,maennlich,Nein,0.13884963625896268,27798,0.13478463051187678,0.1429146420060486
2001,66 und älter,weiblich,Nein,0.08745485947558486,27798,0.08413386274861152,0.0907758562025582
2001,18-29 J.,weiblich,Nein,0.08604176479824148,27798,0.08274515818088525,0.08933837141559771
2001,18-29 J.,maennlich,Nein,0.08033704924896634,27798,0.0771416761131887,0.08353242238474398
2001,66 und älter,maennlich,Nein,0.06390328151986183,27798,0.061028060481014904,0.06677850255870875
2001,30-45 J.,weiblich,Ja,0.02004500968231538,27798,0.01839739559843322,0.02169262376619754
2001,30-45 J.,maennlich,Ja,0.016224420369498088,27798,0.014739230733054097,0.017709610005942077
2001,46-65 J.,weiblich,Ja,0.01591039933008845,27798,0.014439418011339904,0.017381380648836993
2001,46-65 J.,maennlich,Ja,0.012927199455696864,27798,0.011599266609343788,0.01425513230204994
2001,18-29 J.,weiblich,Ja,0.008426231224158686,27798,0.007351676601129868,0.009500785847187504
2001,66 und älter,weiblich,Ja,0.005652378709373528,27798,0.004771057865594479,0.006533699553152577
2001,18-29 J.,maennlich,Ja,0.005076673470455854,27798,0.004241197972134716,0.0059121489687769925
2001,66 und älter,maennlich,Ja,0.005024336630554247,27798,0.004193157003191473,0.005855516257917021
2002,30-45 J.,weiblich,Nein,0.15597713097713098,28961,0.15179828017794514,0.16015598177631682
2002,46-65 J.,weiblich,Nein,0.1498960498960499,28961,0.1457847381804482,0.1540073616116516
2002,46-65 J.,maennlich,Nein,0.13648648648648648,28961,0.1325325590862333,0.14044041388673967
2002,30-45 J.,maennlich,Nein,0.13102910602910603,28961,0.127142810718347,0.13491540133986507
2002,66 und älter,weiblich,Nein,0.08685031185031185,28961,0.08360687106742437,0.09009375263319933
2002,18-29 J.,weiblich,Nein,0.08243243243243244,28961,0.07926492691928595,0.08559993794557892
2002,18-29 J.,maennlich,Nein,0.0775987525987526,28961,0.07451743399984982,0.08068007119765537
2002,66 und älter,maennlich,Nein,0.06673596673596674,28961,0.06386167042773594,0.06961026304419754
2002,30-45 J.,weiblich,Ja,0.02338877338877339,28961,0.021648113692006074,0.025129433085540706
2002,46-65 J.,weiblich,Ja,0.023024948024948026,28961,0.02129755818578453,0.02475233786411152
2002,46-65 J.,maennlich,Ja,0.019594594594594596,28961,0.017998273383667995,0.021190915805521196
2002,30-45 J.,maennlich,Ja,0.01652806652806653,28961,0.015059676907794839,0.017996456148338218
2002,18-29 J.,weiblich,Ja,0.008627858627858628,28961,0.007562688054507782,0.009693029201209475
2002,66 und älter,weiblich,Ja,0.008004158004158005,28961,0.006977887027628985,0.009030428980687025
2002,66 und älter,maennlich,Ja,0.007068607068607069,28961,0.006103721444757603,0.008033492692456536
2002,18-29 J.,maennlich,Ja,0.006756756756756757,28961,0.0058132473237114905,0.007700266189802024
2003,30-45 J.,weiblich,Nein,0.15155440414507773,27727,0.14733354450248654,0.15577526378766893
2003,46-65 J.,weiblich,Nein,0.15074481865284975,27727,0.1465332398656375,0.154956397440062
2003,46-65 J.,maennlich,Nein,0.13725172711571676,27727,0.13320125554331064,0.14130219868812288
2003,30-45 J.,maennlich,Nein,0.12667314335060448,27727,0.12275811138960467,0.1305881753116043
2003,66 und älter,weiblich,Nein,0.08991796200345423,27727,0.08655076807907726,0.0932851559278312
2003,18-29 J.,weiblich,Nein,0.08295552677029361,27727,0.07970897381016491,0.0862020797304223
2003,18-29 J.,maennlich,Nein,0.07626295336787564,27727,0.07313877644024844,0.07938713029550284
2003,66 und älter,maennlich,Nein,0.07064982728842832,27727,0.06763369855234876,0.07366595602450789
2003,46-65 J.,weiblich,Ja,0.023801813471502592,27727,0.02200758124796908,0.025596045695036103
2003,30-45 J.,weiblich,Ja,0.02299222797927461,27727,0.02122804280555098,0.02475641315299824
2003,46-65 J.,maennlich,Ja,0.017487046632124352,27727,0.01594416713942673,0.019029926124821975
