,Unnamed: 0,year,regtyp,sampreg,ple0098_v5,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
77,77,2008,Rural regions,West,No,0.81093,2385,16467,0.78132,0.83284
78,78,2008,Rural regions,East,Yes,0.09945,332,16467,0.09004,0.10984
79,79,2008,Rural regions,East,No,0.90055,2594,16467,0.86927,0.92802
80,80,2010,Urban regions,West,Yes,0.22928,2686,20677,0.21834,0.24088
81,81,2010,Urban regions,West,No,0.77072,8795,20677,0.75177,0.79241
82,82,2010,Urban regions,East,Yes,0.14093,262,20677,0.12384,0.15858
83,83,2010,Urban regions,East,No,0.85907,1478,20677,0.80964,0.91273
84,84,2010,Rural regions,West,Yes,0.18616,862,20677,0.16988,0.20872
85,85,2010,Rural regions,West,No,0.81384,3295,20677,0.78301,0.85014
86,86,2010,Rural regions,East,Yes,0.11986,408,20677,0.10817,0.13371
87,87,2010,Rural regions,East,No,0.88014,2891,20677,0.83914,0.91947
88,88,2011,Urban regions,West,Yes,0.23857,2415,17636,0.22983,0.24694
89,89,2011,Urban regions,West,No,0.76143,7209,17636,0.74552,0.777
90,90,2011,Urban regions,East,Yes,0.16736,271,17636,0.14967,0.18314
91,91,2011,Urban regions,East,No,0.83264,1255,17636,0.7852,0.87579
92,92,2011,Rural regions,West,Yes,0.19891,771,17636,0.18457,0.21384
93,93,2011,Rural regions,West,No,0.80109,2741,17636,0.77241,0.82696
94,94,2011,Rural regions,East,Yes,0.13013,401,17636,0.1185,0.14424
95,95,2011,Rural regions,East,No,0.86987,2573,17636,0.83763,0.90226
96,96,2012,Urban regions,West,Yes,0.24535,3286,23876,0.23717,0.25399
97,97,2012,Urban regions,West,No,0.75465,9634,23876,0.74071,0.77278
98,98,2012,Urban regions,East,Yes,0.1771,345,23876,0.16092,0.19359
99,99,2012,Urban regions,East,No,0.8229,1572,23876,0.77666,0.86396
100,100,2012,Rural regions,West,Yes,0.2023,1202,23876,0.1886,0.21627
101,101,2012,Rural regions,West,No,0.7977,4070,23876,0.76922,0.82284
102,102,2012,Rural regions,East,Yes,0.13021,519,23876,0.1179,0.14233
103,103,2012,Rural regions,East,No,0.86979,3248,23876,0.8388,0.90009
104,104,2013,Urban regions,West,Yes,0.27479,2470,16066,0.26356,0.284
